# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Wed May 17 23:18:15 EDT 2017, 0.300, 4, 9, 0.150, 2, 5, 58, 535, 48, 12, 39, 90, 28.537, 25.737
Wed May 17 23:18:25 EDT 2017, 0.800, 9, 4, 0.650, 7, 9, 13, 385, 93, 2, 14, 45, 8.307, 9.470
Wed May 17 23:18:30 EDT 2017, 0.550, 2, 2, 0.400, 9, 3, 35, 460, 26, 7, 26, 23, 5.507, 3.790
Wed May 17 23:19:05 EDT 2017, 0.050, 6, 6, 0.900, 4, 7, 80, 310, 71, 16, 1, 68, 33.960, 24.783
Wed May 17 23:19:07 EDT 2017, 0.030, 4, 3, 0.260, 7, 3, 51, 577, 22, 1, 13, 47, 1.883, 2.110
Wed May 17 23:19:39 EDT 2017, 0.530, 9, 8, 0.760, 3, 8, 96, 427, 67, 10, 38, 92, 31.717, 28.640
Wed May 17 23:20:09 EDT 2017, 0.780, 2, 6, 0.010, 5, 1, 73, 502, 44, 15, 1, 69, 30.060, 23.833
Wed May 17 23:20:25 EDT 2017, 0.280, 6, 1, 0.510, 9, 6, 28, 352, 89, 5, 26, 24, 15.963, 11.517
Wed May 17 23:20:30 EDT 2017, 0.400, 1, 9, 0.390, 4, 7, 39, 390, 10, 17, 7, 80, 4.767, 3.780
Wed May 17 23:20:44 EDT 2017, 0.900, 5, 5, 0.890, 8, 2, 84, 540, 55, 8, 32, 35, 13.287, 11.757
Wed May 17 23:20:46 EDT 2017, 0.650, 3, 2, 0.140, 6, 9, 62, 315, 33, 3, 19, 13, 1.577, 1.337
Wed May 17 23:21:19 EDT 2017, 0.150, 8, 7, 0.640, 1, 4, 17, 465, 78, 12, 44, 58, 32.410, 26.267
Wed May 17 23:21:23 EDT 2017, 0.220, 2, 1, 0.950, 2, 4, 45, 333, 16, 2, 47, 75, 4.103, 3.700
Wed May 17 23:21:39 EDT 2017, 0.720, 7, 5, 0.450, 7, 8, 90, 483, 61, 11, 22, 30, 15.350, 12.600
Wed May 17 23:21:54 EDT 2017, 0.970, 5, 7, 0.700, 9, 2, 68, 408, 38, 16, 35, 52, 15.150, 11.920
Wed May 17 23:23:02 EDT 2017, 0.470, 9, 3, 0.200, 4, 6, 23, 558, 83, 6, 10, 97, 66.597, 56.337
Wed May 17 23:23:08 EDT 2017, 0.340, 4, 6, 0.820, 8, 5, 34, 521, 27, 18, 29, 19, 5.867, 4.253
Wed May 17 23:23:57 EDT 2017, 0.840, 8, 2, 0.320, 3, 1, 79, 371, 72, 9, 4, 64, 48.513, 30.700
Wed May 17 23:24:20 EDT 2017, 0.590, 1, 4, 0.570, 1, 7, 56, 596, 50, 4, 41, 86, 22.327, 21.463
Wed May 17 23:24:48 EDT 2017, 0.090, 6, 8, 0.070, 5, 3, 11, 446, 95, 14, 16, 41, 27.400, 22.520
Wed May 17 23:25:21 EDT 2017, 0.060, 1, 5, 0.170, 9, 1, 98, 361, 92, 8, 8, 72, 32.053, 27.680
Wed May 17 23:26:05 EDT 2017, 0.560, 6, 1, 0.670, 5, 5, 53, 511, 47, 18, 33, 27, 43.740, 25.773
Wed May 17 23:26:47 EDT 2017, 0.810, 3, 3, 0.420, 2, 3, 31, 436, 69, 13, 21, 50, 41.700, 28.833
Wed May 17 23:26:53 EDT 2017, 0.310, 8, 8, 0.920, 7, 8, 76, 586, 24, 3, 46, 95, 5.813, 6.367
Wed May 17 23:27:14 EDT 2017, 0.440, 4, 2, 0.040, 1, 9, 87, 474, 81, 11, 15, 16, 20.530, 12.750
Wed May 17 23:27:16 EDT 2017, 0.940, 9, 6, 0.540, 6, 4, 42, 324, 36, 1, 40, 61, 1.690, 1.950
Wed May 17 23:27:36 EDT 2017, 0.690, 2, 9, 0.290, 8, 6, 20, 549, 58, 6, 2, 83, 18.373, 18.947
Wed May 17 23:27:41 EDT 2017, 0.190, 7, 4, 0.790, 3, 2, 65, 399, 13, 15, 27, 38, 5.153, 3.437
Wed May 17 23:28:03 EDT 2017, 0.120, 3, 8, 0.600, 4, 2, 93, 530, 86, 9, 30, 44, 21.323, 19.437
Wed May 17 23:28:53 EDT 2017, 0.620, 7, 4, 0.100, 9, 7, 48, 380, 41, 19, 5, 89, 48.893, 32.533
Wed May 17 23:30:59 EDT 2017, 0.870, 1, 1, 0.850, 6, 5, 25, 455, 64, 14, 43, 66, 123.320, 83.993
Wed May 17 23:31:00 EDT 2017, 0.370, 5, 6, 0.350, 2, 9, 70, 305, 19, 5, 18, 21, 1.243, 1.180
Wed May 17 23:32:03 EDT 2017, 0.250, 2, 5, 0.730, 5, 8, 82, 418, 98, 12, 49, 78, 62.763, 48.010
Wed May 17 23:32:07 EDT 2017, 0.750, 6, 9, 0.230, 1, 4, 37, 568, 53, 2, 24, 33, 2.810, 3.157
Wed May 17 23:32:09 EDT 2017, 0.500, 4, 7, 0.980, 3, 6, 14, 343, 75, 7, 36, 10, 2.317, 2.170
Wed May 17 23:32:38 EDT 2017, 0.000, 8, 3, 0.480, 7, 1, 59, 493, 30, 17, 11, 55, 28.497, 19.173
Wed May 17 23:32:59 EDT 2017, 0.000, 2, 6, 0.500, 5, 8, 43, 516, 83, 5, 5, 57, 19.403, 20.057
Wed May 17 23:33:09 EDT 2017, 0.500, 6, 1, 0.000, 9, 3, 88, 366, 38, 15, 30, 12, 9.333, 5.543
Wed May 17 23:33:36 EDT 2017, 0.750, 4, 3, 0.750, 7, 5, 66, 591, 61, 10, 17, 35, 27.007, 20.507
Wed May 17 23:33:38 EDT 2017, 0.250, 8, 8, 0.250, 3, 1, 21, 441, 16, 1, 42, 80, 1.257, 1.253
Wed May 17 23:34:04 EDT 2017, 0.370, 3, 2, 0.630, 6, 2, 32, 328, 95, 12, 23, 24, 26.597, 16.113
Wed May 17 23:34:13 EDT 2017, 0.870, 7, 7, 0.130, 1, 6, 77, 478, 50, 3, 48, 69, 8.080, 8.667
Wed May 17 23:34:38 EDT 2017, 0.620, 1, 9, 0.880, 4, 4, 55, 403, 72, 8, 11, 91, 23.290, 23.930
Wed May 17 23:34:58 EDT 2017, 0.120, 5, 4, 0.380, 8, 9, 10, 553, 27, 17, 36, 46, 19.843, 13.920
Wed May 17 23:35:11 EDT 2017, 0.180, 4, 8, 0.190, 9, 9, 49, 385, 89, 7, 33, 40, 12.143, 11.633
Wed May 17 23:36:11 EDT 2017, 0.680, 9, 4, 0.690, 4, 5, 94, 535, 44, 16, 8, 85, 59.690, 41.363
Wed May 17 23:36:55 EDT 2017, 0.930, 2, 2, 0.440, 2, 7, 72, 310, 66, 11, 45, 63, 43.127, 27.237
Wed May 17 23:36:56 EDT 2017, 0.430, 7, 6, 0.940, 6, 2, 27, 460, 21, 2, 20, 18, 0.987, 0.937
Wed May 17 23:38:47 EDT 2017, 0.310, 1, 5, 0.060, 1, 1, 38, 572, 78, 14, 39, 97, 108.657, 83.160
Wed May 17 23:38:51 EDT 2017, 0.810, 6, 9, 0.560, 5, 6, 83, 422, 33, 4, 14, 52, 3.610, 3.893
Wed May 17 23:39:00 EDT 2017, 0.560, 3, 7, 0.310, 8, 4, 60, 497, 55, 9, 26, 29, 8.747, 8.063
Wed May 17 23:39:09 EDT 2017, 0.060, 8, 3, 0.810, 3, 8, 15, 347, 10, 18, 1, 74, 9.580, 6.500
Wed May 17 23:39:12 EDT 2017, 0.090, 4, 4, 0.910, 2, 6, 91, 413, 19, 4, 22, 38, 2.580, 2.257
Wed May 17 23:39:58 EDT 2017, 0.590, 8, 8, 0.410, 7, 1, 46, 563, 64, 13, 47, 83, 44.940, 38.240
Wed May 17 23:40:18 EDT 2017, 0.840, 1, 6, 0.660, 9, 8, 24, 338, 41, 18, 9, 60, 19.180, 14.623
Wed May 17 23:40:38 EDT 2017, 0.340, 6, 1, 0.160, 5, 3, 69, 488, 86, 8, 34, 15, 19.820, 12.690
Wed May 17 23:41:00 EDT 2017, 0.470, 2, 9, 0.780, 8, 4, 80, 525, 30, 15, 3, 94, 21.500, 18.960
Wed May 17 23:41:15 EDT 2017, 0.970, 7, 5, 0.280, 3, 9, 35, 375, 75, 6, 28, 49, 14.740, 14.190
Wed May 17 23:41:18 EDT 2017, 0.720, 5, 2, 0.530, 1, 2, 12, 450, 52, 1, 16, 26, 2.643, 2.813
Wed May 17 23:41:49 EDT 2017, 0.220, 9, 7, 0.030, 6, 7, 57, 300, 97, 11, 41, 71, 30.673, 26.947
Wed May 17 23:42:02 EDT 2017, 0.150, 1, 1, 0.340, 6, 6, 97, 469, 24, 5, 37, 55, 12.623, 8.663
Wed May 17 23:42:07 EDT 2017, 0.650, 5, 5, 0.840, 2, 2, 52, 319, 69, 14, 12, 10, 4.680, 3.510
Wed May 17 23:42:25 EDT 2017, 0.900, 3, 7, 0.090, 4, 8, 29, 544, 47, 19, 25, 32, 17.793, 13.827
Wed May 17 23:43:29 EDT 2017, 0.400, 8, 3, 0.590, 8, 4, 74, 394, 92, 10, 0, 77, 64.110, 50.133
Wed May 17 23:43:32 EDT 2017, 0.280, 4, 6, 0.470, 3, 3, 86, 356, 13, 17, 31, 21, 2.290, 1.767
Wed May 17 23:44:16 EDT 2017, 0.780, 9, 2, 0.970, 7, 7, 41, 506, 58, 7, 6, 66, 44.073, 31.653
Wed May 17 23:44:24 EDT 2017, 0.530, 2, 4, 0.220, 5, 1, 18, 431, 36, 2, 44, 88, 6.767, 7.337
Wed May 17 23:44:50 EDT 2017, 0.030, 6, 9, 0.720, 1, 5, 63, 581, 81, 12, 19, 43, 25.383, 22.213
Wed May 17 23:45:10 EDT 2017, 0.040, 4, 1, 0.080, 8, 4, 22, 324, 34, 6, 9, 70, 19.213, 13.387
Wed May 17 23:45:30 EDT 2017, 0.540, 9, 6, 0.580, 3, 9, 67, 474, 79, 16, 34, 25, 20.063, 15.123
Wed May 17 23:45:33 EDT 2017, 0.790, 2, 8, 0.330, 1, 2, 90, 399, 12, 11, 21, 48, 2.697, 2.267
Wed May 17 23:45:52 EDT 2017, 0.290, 6, 3, 0.830, 5, 7, 45, 549, 57, 2, 46, 93, 17.257, 19.120
Wed May 17 23:45:57 EDT 2017, 0.420, 1, 7, 0.200, 2, 5, 11, 511, 45, 13, 15, 14, 4.687, 3.680
Wed May 17 23:46:24 EDT 2017, 0.920, 5, 2, 0.700, 7, 1, 56, 361, 90, 4, 40, 59, 26.767, 21.480
Wed May 17 23:46:40 EDT 2017, 0.670, 3, 5, 0.450, 9, 8, 79, 586, 23, 9, 2, 81, 15.297, 12.793
Wed May 17 23:46:58 EDT 2017, 0.170, 7, 9, 0.950, 4, 3, 34, 436, 68, 18, 27, 36, 18.487, 15.667
Wed May 17 23:47:23 EDT 2017, 0.230, 2, 3, 0.640, 4, 4, 28, 567, 51, 7, 30, 53, 24.003, 19.333
Wed May 17 23:48:52 EDT 2017, 0.730, 7, 7, 0.140, 8, 8, 73, 417, 96, 17, 5, 98, 87.143, 64.663
Wed May 17 23:49:12 EDT 2017, 0.980, 5, 5, 0.890, 6, 2, 95, 492, 29, 12, 43, 76, 19.830, 16.017
Wed May 17 23:49:23 EDT 2017, 0.480, 9, 1, 0.390, 2, 6, 50, 342, 74, 3, 18, 31, 10.910, 9.173
Wed May 17 23:49:45 EDT 2017, 0.360, 3, 8, 0.520, 7, 7, 17, 380, 40, 15, 49, 87, 21.553, 17.723
Wed May 17 23:50:06 EDT 2017, 0.860, 8, 4, 0.020, 3, 3, 62, 530, 85, 5, 24, 42, 20.267, 18.330
Wed May 17 23:50:09 EDT 2017, 0.610, 1, 2, 0.770, 5, 9, 84, 305, 17, 10, 37, 19, 2.843, 1.870
Wed May 17 23:50:56 EDT 2017, 0.110, 6, 6, 0.270, 9, 5, 39, 455, 62, 19, 12, 64, 47.140, 34.553
Wed May 17 23:51:04 EDT 2017, 0.080, 1, 8, 0.480, 5, 2, 70, 539, 59, 3, 13, 50, 6.727, 7.370
Wed May 17 23:51:18 EDT 2017, 0.580, 6, 3, 0.980, 1, 7, 25, 389, 14, 13, 38, 95, 14.130, 9.970
Wed May 17 23:56:19 EDT 2017, 0.830, 4, 1, 0.230, 3, 5, 48, 464, 82, 18, 1, 73, 291.277, 227.760
Wed May 17 23:56:24 EDT 2017, 0.330, 8, 5, 0.730, 7, 9, 93, 314, 37, 8, 26, 28, 4.370, 3.770
Wed May 17 23:57:39 EDT 2017, 0.450, 5, 4, 0.360, 4, 8, 59, 427, 71, 15, 7, 84, 74.247, 50.163
Wed May 17 23:57:43 EDT 2017, 0.950, 9, 9, 0.860, 9, 3, 14, 577, 26, 6, 32, 39, 3.840, 3.780
Wed May 17 23:57:44 EDT 2017, 0.700, 3, 6, 0.110, 6, 6, 36, 352, 93, 1, 19, 17, 1.237, 1.370
Wed May 17 23:58:30 EDT 2017, 0.200, 7, 2, 0.610, 2, 1, 81, 502, 48, 10, 44, 62, 45.407, 27.787
Wed May 17 23:58:43 EDT 2017, 0.140, 3, 6, 0.800, 1, 1, 76, 371, 76, 4, 48, 67, 12.360, 12.903
Wed May 17 23:59:02 EDT 2017, 0.640, 8, 1, 0.300, 6, 5, 31, 521, 31, 14, 23, 22, 18.913, 11.660
Thu May 18 00:00:11 EDT 2017, 0.890, 1, 4, 0.550, 8, 3, 53, 446, 99, 19, 35, 45, 68.350, 44.670
Thu May 18 00:00:44 EDT 2017, 0.390, 5, 8, 0.050, 4, 7, 98, 596, 54, 9, 10, 90, 32.113, 28.960
Thu May 18 00:00:55 EDT 2017, 0.260, 2, 3, 0.920, 9, 9, 64, 483, 65, 16, 29, 11, 10.770, 7.243
Thu May 18 00:00:59 EDT 2017, 0.760, 7, 7, 0.420, 5, 4, 19, 333, 20, 7, 4, 56, 3.497, 3.323
Thu May 18 00:01:13 EDT 2017, 0.510, 4, 9, 0.670, 2, 6, 42, 558, 88, 2, 41, 78, 11.633, 13.373
Thu May 18 00:01:24 EDT 2017, 0.010, 9, 5, 0.170, 7, 2, 87, 408, 43, 12, 16, 33, 10.693, 8.593
Thu May 18 00:01:26 EDT 2017, 0.020, 3, 9, 0.310, 3, 1, 12, 312, 93, 3, 35, 19, 2.113, 2.360
Thu May 18 00:01:53 EDT 2017, 0.520, 7, 5, 0.810, 8, 6, 57, 462, 48, 12, 10, 64, 26.750, 21.177
Thu May 18 00:03:18 EDT 2017, 0.770, 1, 3, 0.060, 6, 4, 79, 387, 70, 17, 47, 86, 83.960, 54.267
Thu May 18 00:03:24 EDT 2017, 0.270, 5, 7, 0.560, 1, 8, 34, 537, 25, 8, 22, 41, 5.887, 5.260
Thu May 18 00:05:27 EDT 2017, 0.400, 2, 4, 0.430, 7, 9, 23, 499, 81, 19, 41, 75, 119.577, 82.160
Thu May 18 00:05:32 EDT 2017, 0.900, 6, 8, 0.930, 2, 5, 68, 349, 36, 10, 16, 30, 4.450, 3.917
Thu May 18 00:05:46 EDT 2017, 0.650, 4, 6, 0.180, 4, 7, 90, 574, 59, 5, 28, 52, 13.850, 13.863
Thu May 18 00:06:20 EDT 2017, 0.150, 9, 1, 0.680, 9, 2, 45, 424, 14, 15, 3, 97, 33.513, 21.217
Thu May 18 00:06:37 EDT 2017, 0.210, 1, 7, 0.990, 8, 2, 17, 593, 87, 2, 0, 81, 13.990, 17.213
Thu May 18 00:06:59 EDT 2017, 0.710, 6, 2, 0.490, 4, 6, 62, 443, 42, 11, 25, 36, 21.720, 14.173
Thu May 18 00:07:11 EDT 2017, 0.960, 4, 4, 0.740, 2, 4, 85, 518, 64, 16, 13, 13, 11.587, 7.923
Thu May 18 00:07:14 EDT 2017, 0.460, 8, 9, 0.240, 6, 9, 40, 368, 19, 6, 38, 58, 2.760, 2.767
Thu May 18 00:10:09 EDT 2017, 0.330, 5, 1, 0.870, 3, 7, 29, 406, 98, 18, 19, 47, 171.550, 117.363
Thu May 18 00:10:52 EDT 2017, 0.830, 9, 5, 0.370, 7, 3, 74, 556, 53, 9, 44, 92, 41.333, 34.233
Thu May 18 00:11:03 EDT 2017, 0.580, 2, 8, 0.620, 9, 5, 96, 331, 76, 4, 7, 69, 9.617, 10.860
Thu May 18 00:11:14 EDT 2017, 0.080, 7, 3, 0.120, 5, 1, 51, 481, 31, 14, 32, 24, 10.100, 7.013
Thu May 18 00:11:39 EDT 2017, 0.110, 3, 2, 0.150, 1, 3, 60, 546, 22, 9, 42, 78, 24.687, 16.163
Thu May 18 00:12:01 EDT 2017, 0.610, 7, 6, 0.650, 5, 8, 15, 396, 67, 19, 17, 33, 22.057, 16.443
Thu May 18 00:12:04 EDT 2017, 0.860, 5, 9, 0.400, 8, 1, 37, 471, 45, 14, 30, 10, 3.030, 2.577
Thu May 18 00:12:22 EDT 2017, 0.360, 9, 4, 0.900, 3, 6, 82, 321, 90, 5, 5, 55, 17.043, 15.823
Thu May 18 00:12:26 EDT 2017, 0.490, 4, 5, 0.020, 9, 7, 71, 434, 11, 12, 36, 44, 4.383, 3.160
Thu May 18 00:12:58 EDT 2017, 0.990, 8, 1, 0.520, 4, 2, 26, 584, 56, 2, 11, 89, 30.100, 30.003
Thu May 18 00:13:11 EDT 2017, 0.740, 2, 3, 0.270, 2, 9, 48, 359, 33, 7, 49, 66, 12.397, 10.267
Thu May 18 00:13:27 EDT 2017, 0.240, 6, 7, 0.770, 6, 4, 93, 509, 78, 17, 24, 21, 16.300, 13.267
Thu May 18 00:13:29 EDT 2017, 0.180, 4, 5, 0.590, 6, 5, 65, 340, 17, 8, 21, 16, 1.317, 1.143
Thu May 18 00:14:03 EDT 2017, 0.680, 9, 9, 0.090, 1, 9, 20, 490, 62, 18, 46, 61, 33.867, 26.747
Thu May 18 00:14:24 EDT 2017, 0.930, 2, 7, 0.840, 4, 3, 43, 415, 39, 13, 8, 83, 20.887, 17.740
Thu May 18 00:14:44 EDT 2017, 0.430, 7, 2, 0.340, 8, 7, 88, 565, 84, 3, 33, 38, 19.693, 17.713
Thu May 18 00:14:55 EDT 2017, 0.300, 1, 8, 0.710, 5, 6, 76, 453, 28, 11, 2, 72, 10.950, 9.933
Thu May 18 00:14:58 EDT 2017, 0.800, 5, 3, 0.210, 9, 2, 31, 303, 73, 1, 27, 27, 1.990, 2.337
Thu May 18 00:15:30 EDT 2017, 0.550, 3, 1, 0.960, 7, 8, 54, 528, 50, 6, 14, 50, 32.320, 22.460
Thu May 18 00:16:48 EDT 2017, 0.050, 8, 6, 0.460, 2, 4, 99, 378, 95, 15, 39, 95, 76.457, 54.127
Thu May 18 00:16:52 EDT 2017, 0.040, 1, 4, 0.850, 9, 7, 33, 495, 52, 2, 25, 31, 3.717, 3.993
