# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 19:52:16 EST 2016, 1, 0.500, 1, 0.415, 0.106419, 0.340022, 0.489978, 0.29, 0.29, 0.465, 0.56, 0.57, 34779.2, 12.4964, 34770.4, 34788, 34768, 34768, 34784, 34800, 34800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172270, 0, 172270, 172270, 172270, 172270, 172270, 172270, 172270, 196090, 0, 196090, 196090, 196090, 196090, 196090, 196090, 196090
Fri Dec 30 19:53:22 EST 2016, 2, 0.500, 1, 0.513, 0.0959218, 0.445418, 0.580582, 0.40, 0.41, 0.565, 0.62, 0.66, 34926.4, 11.2, 34918.5, 34934.3, 34912, 34912, 34928, 34944, 34944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255249, 0, 255249, 255249, 255249, 255249, 255249, 255249, 255249, 315212, 0, 315212, 315212, 315212, 315212, 315212, 315212, 315212
Fri Dec 30 19:54:23 EST 2016, 4, 0.500, 1, 0.635, 0.106701, 0.559823, 0.710177, 0.50, 0.54, 0.69, 0.76, 0.77, 35072, 7.15542, 35067, 35077, 35056, 35072, 35072, 35072, 35088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 323302, 0, 323302, 323302, 323302, 323302, 323302, 323302, 323302, 430799, 0, 430799, 430799, 430799, 430799, 430799, 430799, 430799
Fri Dec 30 19:55:24 EST 2016, 8, 0.500, 1, 0.712, 0.120565, 0.627055, 0.796945, 0.57, 0.61, 0.76, 0.87, 0.94, 35115.2, 10.245, 35108, 35122.4, 35104, 35104, 35120, 35120, 35136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 353772, 0, 353772, 353772, 353772, 353772, 353772, 353772, 353772, 488986, 0, 488986, 488986, 488986, 488986, 488986, 488986, 488986
Fri Dec 30 19:56:25 EST 2016, 0, 0.000, 2, 1.085, 0.133884, 0.990671, 1.17933, 0.88, 1.02, 1.095, 1.23, 1.36, 39638.4, 7.83837, 39632.9, 39643.9, 39632, 39632, 39640, 39648, 39648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 498610, 0, 498610, 498610, 498610, 498610, 498610, 498610, 498610, 996000, 0, 996000, 996000, 996000, 996000, 996000, 996000, 996000
Fri Dec 30 19:57:26 EST 2016, 1, 0.000, 2, 0.681, 0.146523, 0.577766, 0.784234, 0.52, 0.57, 0.67, 0.76, 1.07, 36905.6, 7.83837, 36900.1, 36911.1, 36896, 36896, 36912, 36912, 36912, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288735, 0, 288735, 288735, 288735, 288735, 288735, 288735, 288735, 392186, 0, 392186, 392186, 392186, 392186, 392186, 392186, 392186
Fri Dec 30 19:58:32 EST 2016, 2, 0.000, 2, 0.876, 0.157937, 0.764725, 0.987275, 0.66, 0.70, 0.975, 1.03, 1.08, 37692.8, 23.5151, 37676.2, 37709.4, 37648, 37664, 37712, 37712, 37712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 389772, 0, 389772, 389772, 389772, 389772, 389772, 389772, 389772, 630841, 0, 630841, 630841, 630841, 630841, 630841, 630841, 630841
Fri Dec 30 19:59:33 EST 2016, 4, 0.000, 2, 1.078, 0.121557, 0.992356, 1.16364, 0.92, 0.94, 1.13, 1.22, 1.25, 38680, 8, 38674.4, 38685.6, 38672, 38672, 38688, 38688, 38688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 458303, 0, 458303, 458303, 458303, 458303, 458303, 458303, 458303, 861962, 0, 861962, 861962, 861962, 861962, 861962, 861962, 861962
Fri Dec 30 20:00:35 EST 2016, 8, 0.000, 2, 1.182, 0.149987, 1.07633, 1.28767, 0.89, 1.06, 1.26, 1.31, 1.40, 39272, 10.7331, 39264.4, 39279.6, 39264, 39264, 39272, 39280, 39296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 491113, 0, 491113, 491113, 491113, 491113, 491113, 491113, 491113, 978018, 0, 978018, 978018, 978018, 978018, 978018, 978018, 978018
Fri Dec 30 20:01:36 EST 2016, 0, 0.250, 2, 1.031, 0.17919, 0.904751, 1.15725, 0.87, 0.90, 1.015, 1.29, 1.39, 36497.6, 19.5305, 36483.8, 36511.4, 36464, 36496, 36504, 36512, 36528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 472222, 0, 472222, 472222, 472222, 472222, 472222, 472222, 472222, 996000, 0, 996000, 996000, 996000, 996000, 996000, 996000, 996000
Fri Dec 30 20:02:37 EST 2016, 1, 0.250, 2, 0.664, 0.105754, 0.58949, 0.73851, 0.48, 0.58, 0.735, 0.75, 0.76, 35566.4, 16.7045, 35554.6, 35578.2, 35536, 35568, 35568, 35584, 35584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288361, 0, 288361, 288361, 288361, 288361, 288361, 288361, 288361, 392383, 0, 392383, 392383, 392383, 392383, 392383, 392383, 392383
Fri Dec 30 20:03:38 EST 2016, 2, 0.250, 2, 0.892, 0.15032, 0.786091, 0.997909, 0.67, 0.69, 0.965, 1.07, 1.07, 36014.4, 24.2124, 35997.3, 36031.5, 35968, 36016, 36032, 36032, 36032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 387036, 0, 387036, 387036, 387036, 387036, 387036, 387036, 387036, 630902, 0, 630902, 630902, 630902, 630902, 630902, 630902, 630902
Fri Dec 30 20:04:40 EST 2016, 4, 0.250, 2, 0.945, 0.110747, 0.866973, 1.02303, 0.82, 0.85, 0.975, 1.09, 1.09, 36406.4, 10.6132, 36398.9, 36413.9, 36400, 36400, 36400, 36416, 36432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 447769, 0, 447769, 447769, 447769, 447769, 447769, 447769, 447769, 862016, 0, 862016, 862016, 862016, 862016, 862016, 862016, 862016
Fri Dec 30 20:05:45 EST 2016, 8, 0.250, 2, 0.91, 0.0586515, 0.868677, 0.951323, 0.87, 0.88, 0.905, 0.91, 1.08, 36694.4, 7.83837, 36688.9, 36699.9, 36688, 36688, 36696, 36704, 36704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 469395, 0, 469395, 469395, 469395, 469395, 469395, 469395, 469395, 978011, 0, 978011, 978011, 978011, 978011, 978011, 978011, 978011
Fri Dec 30 20:06:47 EST 2016, 0, 0.500, 2, 1.15, 0.233195, 0.985701, 1.3143, 0.82, 0.92, 1.24, 1.37, 1.57, 36000, 21.4663, 35984.9, 36015.1, 35952, 36000, 36016, 36016, 36016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 465645, 0, 465645, 465645, 465645, 465645, 465645, 465645, 465645, 996000, 0, 996000, 996000, 996000, 996000, 996000, 996000, 996000
Fri Dec 30 20:07:48 EST 2016, 1, 0.500, 2, 0.556, 0.0885664, 0.4936, 0.6184, 0.46, 0.46, 0.615, 0.66, 0.68, 35225.6, 10.6132, 35218.1, 35233.1, 35216, 35216, 35232, 35232, 35248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 287539, 0, 287539, 287539, 287539, 287539, 287539, 287539, 287539, 392219, 0, 392219, 392219, 392219, 392219, 392219, 392219, 392219
Fri Dec 30 20:08:49 EST 2016, 2, 0.500, 2, 0.741, 0.0650308, 0.695182, 0.786818, 0.66, 0.67, 0.78, 0.80, 0.84, 35590.4, 7.83837, 35584.9, 35595.9, 35584, 35584, 35592, 35600, 35600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 385314, 0, 385314, 385314, 385314, 385314, 385314, 385314, 385314, 630940, 0, 630940, 630940, 630940, 630940, 630940, 630940, 630940
Fri Dec 30 20:09:50 EST 2016, 4, 0.500, 2, 0.909, 0.0949158, 0.842127, 0.975873, 0.80, 0.81, 0.97, 1.00, 1.06, 35942.4, 7.83837, 35936.9, 35947.9, 35936, 35936, 35944, 35952, 35952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 443537, 0, 443537, 443537, 443537, 443537, 443537, 443537, 443537, 862014, 0, 862014, 862014, 862014, 862014, 862014, 862014, 862014
