# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 16:08:42 EST 2016, 0, 0.500, 1, 11.059, 0.448407, 10.7431, 11.3749, 10.37, 10.56, 11.175, 11.43, 11.97, 183373, 11.9733, 183365, 183381, 183360, 183360, 183376, 183392, 183392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3580352, 0, 3580352, 3580352, 3580352, 3580352, 3580352, 3580352, 3580352, 4980000, 0, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000
Fri Dec 30 16:09:43 EST 2016, 1, 0.500, 1, 6.555, 0.700575, 6.06141, 7.04859, 5.94, 6.26, 6.41, 6.79, 8.56, 179864, 10.7331, 179856, 179872, 179856, 179856, 179864, 179872, 179888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1719030, 0, 1719030, 1719030, 1719030, 1719030, 1719030, 1719030, 1719030, 1957119, 0, 1957119, 1957119, 1957119, 1957119, 1957119, 1957119, 1957119
Fri Dec 30 16:10:43 EST 2016, 2, 0.500, 1, 8.895, 0.33809, 8.6568, 9.1332, 8.42, 8.70, 8.875, 9.13, 9.71, 181286, 7.83837, 181280, 181292, 181280, 181280, 181288, 181296, 181296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2550010, 0, 2550010, 2550010, 2550010, 2550010, 2550010, 2550010, 2550010, 3146693, 0, 3146693, 3146693, 3146693, 3146693, 3146693, 3146693, 3146693
Fri Dec 30 16:11:49 EST 2016, 4, 0.500, 1, 11.111, 0.687975, 10.6263, 11.5957, 10.14, 10.60, 11.325, 11.75, 12.56, 182741, 14.4, 182731, 182751, 182704, 182736, 182752, 182752, 182752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3232767, 0, 3232767, 3232767, 3232767, 3232767, 3232767, 3232767, 3232767, 4305357, 0, 4305357, 4305357, 4305357, 4305357, 4305357, 4305357, 4305357
Fri Dec 30 16:12:50 EST 2016, 8, 0.500, 1, 12.733, 1.3329, 11.7939, 13.6721, 11.05, 11.67, 12.975, 14.41, 15.09, 183448, 8, 183442, 183454, 183440, 183440, 183456, 183456, 183456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3536251, 0, 3536251, 3536251, 3536251, 3536251, 3536251, 3536251, 3536251, 4888768, 0, 4888768, 4888768, 4888768, 4888768, 4888768, 4888768, 4888768
Fri Dec 30 16:14:01 EST 2016, 0, 0.000, 2, 18.265, 1.52594, 17.1899, 19.3401, 17.02, 17.44, 17.92, 19.63, 22.36, 225034, 10.6132, 225027, 225041, 225024, 225024, 225040, 225040, 225056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4985519, 0, 4985519, 4985519, 4985519, 4985519, 4985519, 4985519, 4985519, 9960000, 0, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000
Fri Dec 30 16:14:52 EST 2016, 1, 0.000, 2, 10.662, 0.499155, 10.3103, 11.0137, 9.58, 10.31, 10.94, 11.17, 11.22, 202250, 10.6132, 202243, 202257, 202240, 202240, 202256, 202256, 202272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2883007, 0, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 3915395, 0, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395
Fri Dec 30 16:16:03 EST 2016, 2, 0.000, 2, 15.333, 1.2323, 14.4648, 16.2012, 14.23, 14.73, 15.175, 15.41, 18.88, 211085, 9.6, 211078, 211092, 211072, 211072, 211088, 211088, 211104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3891614, 0, 3891614, 3891614, 3891614, 3891614, 3891614, 3891614, 3891614, 6296628, 0, 6296628, 6296628, 6296628, 6296628, 6296628, 6296628, 6296628
Fri Dec 30 16:17:09 EST 2016, 4, 0.000, 2, 18.266, 1.56287, 17.1649, 19.3671, 17.10, 17.14, 18.165, 19.14, 22.53, 220506, 10.6132, 220499, 220513, 220496, 220496, 220512, 220512, 220528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4577612, 0, 4577612, 4577612, 4577612, 4577612, 4577612, 4577612, 4577612, 8612691, 0, 8612691, 8612691, 8612691, 8612691, 8612691, 8612691, 8612691
Fri Dec 30 16:18:10 EST 2016, 8, 0.000, 2, 20.389, 2.15391, 18.8715, 21.9065, 18.06, 19.02, 19.91, 24.03, 24.98, 226152, 8, 226146, 226158, 226144, 226144, 226160, 226160, 226160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4913987, 0, 4913987, 4913987, 4913987, 4913987, 4913987, 4913987, 4913987, 9777899, 0, 9777899, 9777899, 9777899, 9777899, 9777899, 9777899, 9777899
