# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max
Fri Dec 30 19:53:20 EST 2016, 0, 0.500, 1, 0.743, 0.11091, 0.664858, 0.821142, 0.56, 0.65, 0.835, 0.86, 0.87, 37972.8, 10.245, 37965.6, 37980, 37968, 37968, 37968, 37984, 38000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 358154, 0, 358154, 358154, 358154, 358154, 358154, 358154, 358154, 498000, 0, 498000, 498000, 498000, 498000, 498000, 498000, 498000, 0.420567, 5.26836e-09, 0.420567, 0.420567, 0.420567, 0.420567, 0.420567, 0.420567, 0.420567, 1.39326, 2.10734e-08, 1.39326, 1.39326, 1.39326, 1.39326, 1.39326, 1.39326, 1.39326, 6.41736, 8.42937e-08, 6.41736, 6.41736, 6.41736, 6.41736, 6.41736, 6.41736, 6.41736, 650928, 0, 650928, 650928, 650928, 650928, 650928, 650928, 650928
Fri Dec 30 19:54:21 EST 2016, 1, 0.500, 1, 0.455, 0.0412916, 0.425908, 0.484092, 0.34, 0.45, 0.47, 0.49, 0.49, 37817.6, 7.83837, 37812.1, 37823.1, 37808, 37808, 37824, 37824, 37824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172270, 0, 172270, 172270, 172270, 172270, 172270, 172270, 172270, 196090, 0, 196090, 196090, 196090, 196090, 196090, 196090, 196090, 0.574674, 7.45058e-09, 0.574674, 0.574674, 0.574674, 0.574674, 0.574674, 0.574674, 0.574674, 1.14251, 0, 1.14251, 1.14251, 1.14251, 1.14251, 1.14251, 1.14251, 1.14251, 6.39665, 8.42937e-08, 6.39665, 6.39665, 6.39665, 6.39665, 6.39665, 6.39665, 6.39665, 300170, 0, 300170, 300170, 300170, 300170, 300170, 300170, 300170
Fri Dec 30 19:55:22 EST 2016, 2, 0.500, 1, 0.651, 0.0771298, 0.596658, 0.705342, 0.47, 0.60, 0.695, 0.70, 0.74, 37940.8, 7.33212, 37935.6, 37946, 37936, 37936, 37936, 37952, 37952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255249, 0, 255249, 255249, 255249, 255249, 255249, 255249, 255249, 315212, 0, 315212, 315212, 315212, 315212, 315212, 315212, 315212, 0.514213, 7.45058e-09, 0.514213, 0.514213, 0.514213, 0.514213, 0.514213, 0.514213, 0.514213, 1.23819, 2.10734e-08, 1.23819, 1.23819, 1.23819, 1.23819, 1.23819, 1.23819, 1.23819, 6.4015, 0, 6.4015, 6.4015, 6.4015, 6.4015, 6.4015, 6.4015, 6.4015, 451955, 0, 451955, 451955, 451955, 451955, 451955, 451955, 451955
Fri Dec 30 19:56:23 EST 2016, 4, 0.500, 1, 0.732, 0.0466476, 0.699134, 0.764866, 0.61, 0.72, 0.745, 0.76, 0.80, 38019.2, 6.4, 38014.7, 38023.7, 38016, 38016, 38016, 38032, 38032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 323302, 0, 323302, 323302, 323302, 323302, 323302, 323302, 323302, 430799, 0, 430799, 430799, 430799, 430799, 430799, 430799, 430799, 0.454807, 7.45058e-09, 0.454807, 0.454807, 0.454807, 0.454807, 0.454807, 0.454807, 0.454807, 1.33539, 0, 1.33539, 1.33539, 1.33539, 1.33539, 1.33539, 1.33539, 1.33539, 6.40308, 1.19209e-07, 6.40308, 6.40308, 6.40308, 6.40308, 6.40308, 6.40308, 6.40308, 581922, 0, 581922, 581922, 581922, 581922, 581922, 581922, 581922
Fri Dec 30 19:57:30 EST 2016, 8, 0.500, 1, 0.773, 0.120004, 0.688451, 0.857549, 0.63, 0.66, 0.83, 0.92, 0.93, 38057.6, 10.6132, 38050.1, 38065.1, 38048, 38048, 38064, 38064, 38080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 353772, 0, 353772, 353772, 353772, 353772, 353772, 353772, 353772, 488986, 0, 488986, 488986, 488986, 488986, 488986, 488986, 488986, 0.425115, 5.26836e-09, 0.425115, 0.425115, 0.425115, 0.425115, 0.425115, 0.425115, 0.425115, 1.38501, 2.98023e-08, 1.38501, 1.38501, 1.38501, 1.38501, 1.38501, 1.38501, 1.38501, 6.41936, 8.42937e-08, 6.41936, 6.41936, 6.41936, 6.41936, 6.41936, 6.41936, 6.41936, 642043, 0, 642043, 642043, 642043, 642043, 642043, 642043, 642043
Fri Dec 30 19:58:31 EST 2016, 0, 0.000, 2, 1.176, 0.149077, 1.07097, 1.28103, 1.01, 1.08, 1.125, 1.39, 1.48, 42392, 8, 42386.4, 42397.6, 42384, 42384, 42400, 42400, 42400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 498610, 0, 498610, 498610, 498610, 498610, 498610, 498610, 498610, 996000, 0, 996000, 996000, 996000, 996000, 996000, 996000, 996000, 0.99649, 2.10734e-08, 0.99649, 0.99649, 0.99649, 0.99649, 0.99649, 0.99649, 0.99649, 2.00156, 4.21468e-08, 2.00156, 2.00156, 2.00156, 2.00156, 2.00156, 2.00156, 2.00156, 8.97216, 0, 8.97216, 8.97216, 8.97216, 8.97216, 8.97216, 8.97216, 8.97216, 681421, 0, 681421, 681421, 681421, 681421, 681421, 681421, 681421
Fri Dec 30 19:59:32 EST 2016, 1, 0.000, 2, 0.897, 0.179335, 0.770649, 1.02335, 0.59, 0.90, 0.925, 0.98, 1.25, 40278.4, 7.83837, 40272.9, 40283.9, 40272, 40272, 40280, 40288, 40288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288735, 0, 288735, 288735, 288735, 288735, 288735, 288735, 288735, 392186, 0, 392186, 392186, 392186, 392186, 392186, 392186, 392186, 1.37249, 1.49012e-08, 1.37249, 1.37249, 1.37249, 1.37249, 1.37249, 1.37249, 1.37249, 1.36214, 0, 1.36214, 1.36214, 1.36214, 1.36214, 1.36214, 1.36214, 1.36214, 7.7557, 0, 7.7557, 7.7557, 7.7557, 7.7557, 7.7557, 7.7557, 7.7557, 408188, 0, 408188, 408188, 408188, 408188, 408188, 408188, 408188
Fri Dec 30 20:00:34 EST 2016, 2, 0.000, 2, 0.863, 0.100603, 0.79212, 0.93388, 0.74, 0.75, 0.915, 0.96, 1.01, 40960, 10.1193, 40952.9, 40967.1, 40944, 40960, 40960, 40976, 40976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 389772, 0, 389772, 389772, 389772, 389772, 389772, 389772, 389772, 630841, 0, 630841, 630841, 630841, 630841, 630841, 630841, 630841, 1.22212, 1.49012e-08, 1.22212, 1.22212, 1.22212, 1.22212, 1.22212, 1.22212, 1.22212, 1.62217, 2.10734e-08, 1.62217, 1.62217, 1.62217, 1.62217, 1.62217, 1.62217, 1.62217, 8.14305, 1.19209e-07, 8.14305, 8.14305, 8.14305, 8.14305, 8.14305, 8.14305, 8.14305, 543488, 0, 543488, 543488, 543488, 543488, 543488, 543488, 543488
Fri Dec 30 20:01:35 EST 2016, 4, 0.000, 2, 1.058, 0.0742698, 1.00567, 1.11033, 0.97, 0.98, 1.11, 1.15, 1.16, 41780.8, 7.33212, 41775.6, 41786, 41776, 41776, 41776, 41792, 41792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 458303, 0, 458303, 458303, 458303, 458303, 458303, 458303, 458303, 861962, 0, 861962, 861962, 861962, 861962, 861962, 861962, 861962, 1.07329, 0, 1.07329, 1.07329, 1.07329, 1.07329, 1.07329, 1.07329, 1.07329, 1.88459, 3.65002e-08, 1.88459, 1.88459, 1.88459, 1.88459, 1.88459, 1.88459, 1.88459, 8.56096, 1.68587e-07, 8.56096, 8.56096, 8.56096, 8.56096, 8.56096, 8.56096, 8.56096, 635204, 0, 635204, 635204, 635204, 635204, 635204, 635204, 635204
Fri Dec 30 20:02:36 EST 2016, 8, 0.000, 2, 1.157, 0.114634, 1.07623, 1.23777, 1.03, 1.04, 1.175, 1.33, 1.36, 42238.4, 11.2, 42230.5, 42246.3, 42224, 42224, 42240, 42256, 42256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 491113, 0, 491113, 491113, 491113, 491113, 491113, 491113, 491113, 978018, 0, 978018, 978018, 978018, 978018, 978018, 978018, 978018, 1.00411, 1.49012e-08, 1.00411, 1.00411, 1.00411, 1.00411, 1.00411, 1.00411, 1.00411, 1.99545, 4.21468e-08, 1.99545, 1.99545, 1.99545, 1.99545, 1.99545, 1.99545, 1.99545, 8.8717, 2.06477e-07, 8.8717, 8.8717, 8.8717, 8.8717, 8.8717, 8.8717, 8.8717, 675239, 0, 675239, 675239, 675239, 675239, 675239, 675239, 675239
Fri Dec 30 20:03:42 EST 2016, 0, 0.250, 2, 1.021, 0.0582151, 0.979984, 1.06202, 0.89, 1.00, 1.035, 1.09, 1.09, 39670.4, 10.6132, 39662.9, 39677.9, 39664, 39664, 39664, 39680, 39696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 472222, 0, 472222, 472222, 472222, 472222, 472222, 472222, 472222, 996000, 0, 996000, 996000, 996000, 996000, 996000, 996000, 996000, 0.865609, 1.49012e-08, 0.865609, 0.865609, 0.865609, 0.865609, 0.865609, 0.865609, 0.865609, 2.11341, 4.21468e-08, 2.11341, 2.11341, 2.11341, 2.11341, 2.11341, 2.11341, 2.11341, 7.65914, 8.42937e-08, 7.65914, 7.65914, 7.65914, 7.65914, 7.65914, 7.65914, 7.65914, 700716, 0, 700716, 700716, 700716, 700716, 700716, 700716, 700716
Fri Dec 30 20:04:44 EST 2016, 1, 0.250, 2, 0.735, 0.123633, 0.647894, 0.822106, 0.59, 0.60, 0.81, 0.88, 0.91, 38920, 8, 38914.4, 38925.6, 38912, 38912, 38928, 38928, 38928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288361, 0, 288361, 288361, 288361, 288361, 288361, 288361, 288361, 392383, 0, 392383, 392383, 392383, 392383, 392383, 392383, 392383, 1.31492, 2.10734e-08, 1.31492, 1.31492, 1.31492, 1.31492, 1.31492, 1.31492, 1.31492, 1.36462, 2.10734e-08, 1.36462, 1.36462, 1.36462, 1.36462, 1.36462, 1.36462, 1.36462, 7.39086, 1.46001e-07, 7.39086, 7.39086, 7.39086, 7.39086, 7.39086, 7.39086, 7.39086, 419710, 0, 419710, 419710, 419710, 419710, 419710, 419710, 419710
Fri Dec 30 20:05:45 EST 2016, 2, 0.250, 2, 1.12, 0.177313, 0.995073, 1.24493, 0.92, 0.97, 1.12, 1.28, 1.54, 39302.4, 10.6132, 39294.9, 39309.9, 39296, 39296, 39296, 39312, 39328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 387036, 0, 387036, 387036, 387036, 387036, 387036, 387036, 387036, 630902, 0, 630902, 630902, 630902, 630902, 630902, 630902, 630902, 1.14035, 1.49012e-08, 1.14035, 1.14035, 1.14035, 1.14035, 1.14035, 1.14035, 1.14035, 1.63377, 2.98023e-08, 1.63377, 1.63377, 1.63377, 1.63377, 1.63377, 1.63377, 1.63377, 7.51836, 1.46001e-07, 7.51836, 7.51836, 7.51836, 7.51836, 7.51836, 7.51836, 7.51836, 564927, 0, 564927, 564927, 564927, 564927, 564927, 564927, 564927
Fri Dec 30 20:06:47 EST 2016, 4, 0.250, 2, 1.011, 0.0897162, 0.94779, 1.07421, 0.89, 0.95, 1.075, 1.09, 1.15, 39620.8, 7.33212, 39615.6, 39626, 39616, 39616, 39616, 39632, 39632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 447769, 0, 447769, 447769, 447769, 447769, 447769, 447769, 447769, 862016, 0, 862016, 862016, 862016, 862016, 862016, 862016, 862016, 0.969397, 1.49012e-08, 0.969397, 0.969397, 0.969397, 0.969397, 0.969397, 0.969397, 0.969397, 1.92909, 2.10734e-08, 1.92909, 1.92909, 1.92909, 1.92909, 1.92909, 1.92909, 1.92909, 7.59844, 2.06477e-07, 7.59844, 7.59844, 7.59844, 7.59844, 7.59844, 7.59844, 7.59844, 660566, 0, 660566, 660566, 660566, 660566, 660566, 660566, 660566
Fri Dec 30 20:07:48 EST 2016, 8, 0.250, 2, 1.483, 0.262718, 1.2979, 1.6681, 1.05, 1.22, 1.655, 1.70, 1.78, 39825.6, 18.1725, 39812.8, 39838.4, 39792, 39824, 39840, 39840, 39840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 469395, 0, 469395, 469395, 469395, 469395, 469395, 469395, 469395, 978011, 0, 978011, 978011, 978011, 978011, 978011, 978011, 978011, 0.879459, 1.05367e-08, 0.879459, 0.879459, 0.879459, 0.879459, 0.879459, 0.879459, 0.879459, 2.08773, 2.98023e-08, 2.08773, 2.08773, 2.08773, 2.08773, 2.08773, 2.08773, 2.08773, 7.64962, 8.42937e-08, 7.64962, 7.64962, 7.64962, 7.64962, 7.64962, 7.64962, 7.64962, 696196, 0, 696196, 696196, 696196, 696196, 696196, 696196, 696196
Fri Dec 30 20:08:50 EST 2016, 0, 0.500, 2, 1.088, 0.0769155, 1.03381, 1.14219, 1.02, 1.03, 1.06, 1.18, 1.25, 39128, 10.7331, 39120.4, 39135.6, 39120, 39120, 39128, 39136, 39152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 465645, 0, 465645, 465645, 465645, 465645, 465645, 465645, 465645, 996000, 0, 996000, 996000, 996000, 996000, 996000, 996000, 996000, 0.753074, 1.82501e-08, 0.753074, 0.753074, 0.753074, 0.753074, 0.753074, 0.753074, 0.753074, 2.14326, 4.21468e-08, 2.14326, 2.14326, 2.14326, 2.14326, 2.14326, 2.14326, 2.14326, 6.64107, 1.19209e-07, 6.64107, 6.64107, 6.64107, 6.64107, 6.64107, 6.64107, 6.64107, 754301, 0, 754301, 754301, 754301, 754301, 754301, 754301, 754301
