# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Sun Sep 10 11:18:49 EDT 2017, 1, 25, 17.909, 0.46537, 17.5811, 18.2369, 17.02, 17.90, 18.245, 18.25, 18.26, 139252, 1.78885, 139251, 139253, 139248, 139252, 139252, 139252, 139256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 548651, 0, 548651, 548651, 548651, 548651, 548651, 548651, 548651, 1259600, 0, 1259600, 1259600, 1259600, 1259600, 1259600, 1259600, 1259600
Sun Sep 10 11:20:20 EDT 2017, 1, 50, 52.297, 1.05892, 51.5509, 53.0431, 50.25, 52.64, 52.665, 52.95, 53.57, 263992, 2.8, 263990, 263994, 263988, 263988, 263992, 263996, 263996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 671877, 0, 671877, 671877, 671877, 671877, 671877, 671877, 671877, 2459548, 0, 2459548, 2459548, 2459548, 2459548, 2459548, 2459548, 2459548
Sun Sep 10 11:22:12 EDT 2017, 1, 75, 100.66, 1.53013, 99.5819, 101.738, 97.67, 100.98, 101.42, 101.92, 101.93, 382815, 4.4, 382812, 382818, 382808, 382812, 382816, 382820, 382824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744849, 0, 744849, 744849, 744849, 744849, 744849, 744849, 744849, 3611283, 0, 3611283, 3611283, 3611283, 3611283, 3611283, 3611283, 3611283
Sun Sep 10 11:25:09 EDT 2017, 1, 100, 156.465, 0.879855, 155.845, 157.085, 155.32, 155.64, 156.775, 157.72, 157.90, 495543, 2.4, 495541, 495545, 495540, 495540, 495544, 495544, 495548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 801967, 0, 801967, 801967, 801967, 801967, 801967, 801967, 801967, 4709382, 0, 4709382, 4709382, 4709382, 4709382, 4709382, 4709382, 4709382
Sun Sep 10 11:29:16 EDT 2017, 1, 125, 215.234, 4.66857, 211.945, 218.523, 205.49, 216.58, 217.33, 217.77, 219.90, 603883, 11.1785, 603875, 603891, 603872, 603872, 603882, 603896, 603904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 847869, 0, 847869, 847869, 847869, 847869, 847869, 847869, 847869, 5758591, 0, 5758591, 5758591, 5758591, 5758591, 5758591, 5758591, 5758591
