# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Sun Sep 10 11:35:34 EDT 2017, 1, 25, 16.036, 0.441638, 15.7248, 16.3472, 15.12, 15.82, 16.03, 16.48, 16.78, 136814, 2.6533, 136812, 136816, 136812, 136812, 136816, 136816, 136820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 548790, 0, 548790, 548790, 548790, 548790, 548790, 548790, 548790, 1259489, 0, 1259489, 1259489, 1259489, 1259489, 1259489, 1259489, 1259489
Sun Sep 10 11:37:05 EDT 2017, 1, 50, 46.827, 1.05306, 46.0851, 47.5689, 45.13, 45.45, 47.535, 47.57, 47.83, 260359, 2.4, 260357, 260361, 260356, 260356, 260360, 260360, 260364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 672517, 0, 672517, 672517, 672517, 672517, 672517, 672517, 672517, 2460360, 0, 2460360, 2460360, 2460360, 2460360, 2460360, 2460360, 2460360
Sun Sep 10 11:38:47 EDT 2017, 1, 75, 88.045, 2.02693, 86.6169, 89.4731, 84.76, 85.07, 89.28, 89.59, 89.61, 378156, 2.52982, 378154, 378158, 378152, 378156, 378156, 378160, 378160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744633, 0, 744633, 744633, 744633, 744633, 744633, 744633, 744633, 3603368, 0, 3603368, 3603368, 3603368, 3603368, 3603368, 3603368, 3603368
Sun Sep 10 11:41:39 EDT 2017, 1, 100, 137.303, 3.12276, 135.103, 139.503, 132.20, 133.27, 139.26, 139.43, 139.76, 491189, 3.48712, 491187, 491191, 491184, 491188, 491188, 491192, 491196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 801892, 0, 801892, 801892, 801892, 801892, 801892, 801892, 801892, 4699978, 0, 4699978, 4699978, 4699978, 4699978, 4699978, 4699978, 4699978
Sun Sep 10 11:45:41 EDT 2017, 1, 125, 190.615, 4.55003, 187.409, 193.821, 183.57, 183.84, 193.17, 193.48, 195.61, 601599, 1.60002, 601598, 601600, 601596, 601600, 601600, 601600, 601600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 848568, 0, 848568, 848568, 848568, 848568, 848568, 848568, 848568, 5775463, 0, 5775463, 5775463, 5775463, 5775463, 5775463, 5775463, 5775463
