# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 12:31:37 EST 2016, 8767, .25000000000000000000, 3, .97000000000000000000, 376, 12, 12, 45, 12, 1.077, 1.093
Thu Dec 29 12:32:42 EST 2016, 3817, .75000000000000000000, 9, .47000000000000000000, 526, 57, 2, 20, 57, 6.713, 6.197
Thu Dec 29 12:33:43 EST 2016, 2579, .37000000000000000000, 1, .60000000000000000000, 414, 69, 10, 1, 46, 3.870, 3.660
Thu Dec 29 12:40:20 EST 2016, 7529, .87000000000000000000, 7, .10000000000000000000, 564, 24, 19, 26, 91, 0.000, 58.657
Thu Dec 29 12:40:55 EST 2016, 5054, .12000000000000000000, 10, .85000000000000000000, 489, 91, 14, 14, 23, 10.390, 8.827
Thu Dec 29 12:42:01 EST 2016, 104, .62000000000000000000, 4, .35000000000000000000, 339, 46, 5, 39, 68, 13.853, 11.523
Thu Dec 29 12:43:21 EST 2016, 107, .31000000000000000000, 7, .40000000000000000000, 397, 62, 13, 46, 40, 28.847, 23.957
Thu Dec 29 12:43:52 EST 2016, 5057, .81000000000000000000, 1, .90000000000000000000, 547, 17, 3, 21, 85, 1.870, 1.890
Thu Dec 29 12:44:57 EST 2016, 7532, .06000000000000000000, 4, .15000000000000000000, 472, 84, 8, 33, 18, 6.160, 6.043
Thu Dec 29 12:51:34 EST 2016, 2582, .56000000000000000000, 10, .65000000000000000000, 322, 39, 18, 8, 63, 0.000, 11.423
Thu Dec 29 12:52:10 EST 2016, 3819, .18000000000000000000, 2, .27000000000000000000, 510, 50, 11, 14, 51, 9.133, 10.263
Thu Dec 29 12:53:10 EST 2016, 8769, .68000000000000000000, 8, .77000000000000000000, 360, 95, 1, 39, 96, 9.013, 8.913
Thu Dec 29 12:54:06 EST 2016, 6294, .43000000000000000000, 11, .02000000000000000000, 435, 28, 6, 2, 29, 2.767, 2.500
Thu Dec 29 13:00:48 EST 2016, 1344, .93000000000000000000, 5, .52000000000000000000, 585, 73, 15, 27, 74, 0.000, 100.533
Thu Dec 29 13:01:08 EST 2016, 1963, --delay, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.060, 0.063
Thu Dec 29 13:02:19 EST 2016, 6913, .50000000000000000000, 3, .34000000000000000000, 379, 22, 5, 30, 91, 7.597, 6.387
Thu Dec 29 13:03:09 EST 2016, 9388, .25000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.057
Thu Dec 29 13:09:46 EST 2016, 4438, .75000000000000000000, 6, .09000000000000000000, 454, 45, 19, 42, 68, 0.000, 73.267
Thu Dec 29 13:10:27 EST 2016, 3200, .37000000000000000000, 4, .96000000000000000000, 341, 33, 12, 36, 34, 6.320, 6.307
Thu Dec 29 13:11:32 EST 2016, 8150, .87000000000000000000, 10, .46000000000000000000, 491, 78, 2, 11, 79, 14.680, 11.057
Thu Dec 29 13:12:23 EST 2016, 5675, .12000000000000000000, 7, .71000000000000000000, 566, 11, 7, 49, 12, 1.237, 1.233
Thu Dec 29 13:18:05 EST 2016, 726, .62000000000000000000, 1, .21000000000000000000, 416, 56, 17, 24, 57, 112.433, 23.050
Thu Dec 29 13:18:30 EST 2016, 1035, .15000000000000000000, 3, .05000000000000000000, 332, 81, 4, 10, 65, 5.613, 5.550
Thu Dec 29 13:19:41 EST 2016, 5985, .65000000000000000000, 9, .55000000000000000000, 482, 36, 14, 35, 20, 11.233, 9.577
Thu Dec 29 13:25:38 EST 2016, 8460, .40000000000000000000, 6, .30000000000000000000, 557, 59, 18, 22, 88, 0.000, 67.510
Thu Dec 29 13:26:33 EST 2016, 3510, .90000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.067, 0.063
Thu Dec 29 13:27:39 EST 2016, 4747, .28000000000000000000, 10, .18000000000000000000, 594, 25, 2, 28, 77, 4.283, 4.800
Thu Dec 29 13:28:49 EST 2016, 9697, .78000000000000000000, 4, .68000000000000000000, 444, 70, 11, 3, 32, 12.953, 6.330
Thu Dec 29 13:29:55 EST 2016, 7222, .03000000000000000000, 1, .43000000000000000000, 369, 48, 16, 41, 99, 16.697, 15.323
Thu Dec 29 13:30:56 EST 2016, 2272, .53000000000000000000, 7, .93000000000000000000, 519, 93, 6, 16, 54, 17.807, 15.493
Thu Dec 29 13:31:41 EST 2016, 1654, .46000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.053, 0.053
Thu Dec 29 13:32:57 EST 2016, 6604, .96000000000000000000, 6, .24000000000000000000, 313, 53, 15, 13, 26, 17.743, 10.983
Thu Dec 29 13:34:42 EST 2016, 9079, .21000000000000000000, 9, .99000000000000000000, 388, 76, 19, 25, 93, 57.013, 45.643
Thu Dec 29 13:35:43 EST 2016, 4129, .71000000000000000000, 3, .49000000000000000000, 538, 31, 10, --cols, , 0.050, 0.057
Thu Dec 29 13:36:48 EST 2016, 2891, .09000000000000000000, 8, .62000000000000000000, 426, 19, 3, 19, 60, 1.730, 1.930
Thu Dec 29 13:38:14 EST 2016, 7841, .59000000000000000000, 2, .12000000000000000000, 576, 64, 12, 44, 15, 25.850, 20.130
Thu Dec 29 13:39:15 EST 2016, 5366, .34000000000000000000, 5, .87000000000000000000, 501, 42, 17, 7, 82, 22.877, 14.437
Thu Dec 29 13:40:15 EST 2016, 416, .84000000000000000000, 11, .37000000000000000000, 351, 87, 8, 32, 37, 28.013, 19.687
Thu Dec 29 13:40:51 EST 2016, 571, .07000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.053, 0.060
Thu Dec 29 13:42:11 EST 2016, 5521, .57000000000000000000, 6, .45000000000000000000, 421, 71, 8, 37, 33, 18.130, 15.363
Thu Dec 29 13:42:52 EST 2016, 7996, .32000000000000000000, 9, .70000000000000000000, 346, 49, 3, --cols, , 0.050, 0.057
Thu Dec 29 13:44:17 EST 2016, 3046, .82000000000000000000, 3, .20000000000000000000, 496, 94, 13, 25, 10, 24.130, 14.913
Thu Dec 29 14:36:12 EST 2016, 6758, .20000000000000000000, 4, .57000000000000000000, 533, 60, 1, 31, 67, 3.197, 3.193
Thu Dec 29 14:37:13 EST 2016, 1808, .70000000000000000000, 10, .07000000000000000000, 383, 15, 10, 6, 22, 2.307, 2.270
Thu Dec 29 14:38:29 EST 2016, 2427, .26000000000000000000, 3, .26000000000000000000, 440, 10, 19, 34, 95, 13.733, 11.490
Thu Dec 29 14:39:39 EST 2016, 7377, .76000000000000000000, 9, .76000000000000000000, 590, 55, 9, 9, 50, 23.660, 12.660
Thu Dec 29 14:40:20 EST 2016, 9852, .01000000000000000000, 6, .01000000000000000000, 515, 32, 4, 46, 72, 7.357, 7.443
Thu Dec 29 14:41:15 EST 2016, 4902, .51000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.053, 0.063
Thu Dec 29 14:47:37 EST 2016, 3665, .14000000000000000000, 11, .38000000000000000000, 477, 88, 16, 3, 84, 300.000, 24.593
Thu Dec 29 14:48:27 EST 2016, 8615, .64000000000000000000, 5, .88000000000000000000, 327, 43, 7, 28, 39, 6.113, 5.467
Thu Dec 29 14:49:28 EST 2016, 6140, .39000000000000000000, 2, .13000000000000000000, 402, 66, 2, 15, 61, 3.197, 3.287
Thu Dec 29 14:50:29 EST 2016, 1190, .89000000000000000000, 8, .63000000000000000000, 552, 21, 11, 40, 16, 5.970, 5.683
Thu Dec 29 14:51:29 EST 2016, 880, .42000000000000000000, 10, .60000000000000000000, 505, 46, 9, 29, 13, 4.183, 4.050
Thu Dec 29 14:57:56 EST 2016, 5830, .92000000000000000000, 4, .10000000000000000000, 355, 91, 18, 4, 58, 300.000, 42.017
Thu Dec 29 14:58:36 EST 2016, 8305, .17000000000000000000, 1, .85000000000000000000, 430, 24, 13, 42, 36, 3.343, 3.203
Thu Dec 29 15:00:02 EST 2016, 3355, .67000000000000000000, 7, .35000000000000000000, 580, 69, 4, 17, 81, 26.613, 21.017
Thu Dec 29 15:00:37 EST 2016, 4593, .04000000000000000000, 5, .73000000000000000000, 393, 57, 6, 10, 25, 2.190, 2.170
Thu Dec 29 15:01:58 EST 2016, 9543, .54000000000000000000, 11, .23000000000000000000, 543, 12, 16, 35, 70, 23.417, 16.720
Thu Dec 29 15:02:59 EST 2016, 7068, .29000000000000000000, 8, .98000000000000000000, 468, 80, 11, 23, 47, 20.780, 18.467
Thu Dec 29 15:03:39 EST 2016, 2118, .79000000000000000000, 2, .48000000000000000000, 318, 35, 1, 48, 92, 2.407, 2.383
Thu Dec 29 15:04:45 EST 2016, 1499, .23000000000000000000, 6, .16000000000000000000, 374, 41, 10, 20, 30, 5.803, 5.293
Thu Dec 29 15:05:40 EST 2016, 6449, .73000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.063
Thu Dec 29 15:07:21 EST 2016, 8924, .48000000000000000000, 3, .41000000000000000000, 599, 18, 14, 7, 53, 34.603, 8.613
Thu Dec 29 15:08:22 EST 2016, 3974, .98000000000000000000, 9, .91000000000000000000, 449, 63, 5, 32, 98, 37.627, 29.947
Thu Dec 29 15:08:57 EST 2016, 2736, .36000000000000000000, 2, .04000000000000000000, 561, 74, 7, 39, 19, 9.720, 12.157
Thu Dec 29 15:15:19 EST 2016, 7686, .86000000000000000000, 8, .54000000000000000000, 411, 29, 17, 14, 64, 300.000, 19.113
Thu Dec 29 15:16:10 EST 2016, 5211, .11000000000000000000, 11, .29000000000000000000, 336, 97, 12, 26, 41, 18.380, 16.760
Thu Dec 29 15:17:00 EST 2016, 261, .61000000000000000000, 5, .79000000000000000000, 486, 52, 3, 1, 86, 5.897, 4.760
Thu Dec 29 15:18:06 EST 2016, 339, .21000000000000000000, 11, .66000000000000000000, 419, 36, 15, 18, 46, 12.857, 10.120
Thu Dec 29 15:20:11 EST 2016, 5289, .71000000000000000000, 5, .16000000000000000000, 569, 81, 5, 43, 91, 77.497, 58.330
Thu Dec 29 15:20:57 EST 2016, 7764, .46000000000000000000, 2, .91000000000000000000, 494, 13, 1, 5, 24, 0.207, 0.227
Thu Dec 29 15:27:34 EST 2016, 2814, .96000000000000000000, 8, .41000000000000000000, 344, 58, 10, 30, 69, 300.000, 33.220
