# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 00:34:01 EST 2016, 9845, .32000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.067, 0.063
Thu Dec 29 00:35:06 EST 2016, 4895, .82000000000000000000, 6, .89000000000000000000, 417, 39, 2, 30, 45, 3.117, 3.057
Thu Dec 29 00:36:57 EST 2016, 3657, .45000000000000000000, 5, .01000000000000000000, 529, 50, 9, 49, 56, 52.577, 37.257
Thu Dec 29 00:37:22 EST 2016, 8607, .95000000000000000000, 11, .51000000000000000000, 379, 95, 19, 24, 11, 21.270, 13.390
Thu Dec 29 00:38:27 EST 2016, 6132, .20000000000000000000, 8, .26000000000000000000, 304, 28, 14, 36, 78, 18.027, 13.983
Thu Dec 29 00:39:08 EST 2016, 1182, .70000000000000000000, 2, .76000000000000000000, 454, 73, 4, 11, 33, 3.320, 3.177
Thu Dec 29 00:40:38 EST 2016, 873, .23000000000000000000, 3, .98000000000000000000, 595, 98, 16, 22, 42, 30.437, 26.287
Thu Dec 29 00:41:54 EST 2016, 5823, .73000000000000000000, 9, .48000000000000000000, 445, 53, 6, 47, 87, 47.433, 32.780
Thu Dec 29 00:42:09 EST 2016, 8298, .48000000000000000000, 6, .73000000000000000000, 370, 76, 1, 10, 19, 0.757, 0.810
Thu Dec 29 00:43:09 EST 2016, 3348, .98000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.057
Thu Dec 29 00:44:20 EST 2016, 4585, .35000000000000000000, 10, .85000000000000000000, 332, 19, 18, 41, 53, 11.927, 10.280
Thu Dec 29 01:00:43 EST 2016, 9535, .85000000000000000000, 4, .35000000000000000000, 482, 64, 9, 16, 98, 0.000, 53.940
Thu Dec 29 01:01:33 EST 2016, 7060, .10000000000000000000, 1, .60000000000000000000, 557, 42, 4, 28, 31, 1.653, 1.613
Thu Dec 29 01:18:02 EST 2016, 2110, .60000000000000000000, 7, .10000000000000000000, 407, 87, 13, 3, 76, 0.000, 27.737
Thu Dec 29 01:18:37 EST 2016, 1492, .42000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.060
Thu Dec 29 01:19:38 EST 2016, 6442, .92000000000000000000, 6, .79000000000000000000, 576, 36, 7, --cols, , 0.063, 0.060
Thu Dec 29 01:20:43 EST 2016, 8917, .17000000000000000000, 9, .04000000000000000000, 501, 59, 3, 38, 25, 4.717, 4.313
Thu Dec 29 01:21:49 EST 2016, 3967, .67000000000000000000, 3, .54000000000000000000, 351, 14, 12, 13, 70, 9.023, 5.283
Thu Dec 29 01:23:04 EST 2016, 2729, .04000000000000000000, 8, .42000000000000000000, 464, 25, 19, 7, 36, 21.810, 5.400
