# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Thu Aug 10 16:16:42 EDT 2017, 8, 1, 3.477, 0.134317, 3.38237, 3.57163, 3.26, 3.30, 3.565, 3.57, 3.59, 40964.4, 1704.82, 39763.3, 42165.5, 38648, 39420, 41096, 43640, 43964, 16101.1, 2097.32, 14623.4, 17578.8, 12913, 14377, 16655, 18081, 20458, 3455.6, 477.403, 3119.24, 3791.96, 2622, 2903, 3670, 4001, 4109, 8652.7, 197.154, 8513.79, 8791.61, 8405, 8493, 8674.5, 8857, 9060, 1240.7, 47.8331, 1207, 1274.4, 1177, 1200, 1250.5, 1294, 1341, 2.12762e+06, 30761.8, 2.10595e+06, 2.14929e+06, 2079355, 2105565, 2.13368e+06, 2159389, 2191072, 284312, 7609.14, 278951, 289673, 269637, 279397, 285773, 291116, 298215, 2.02242e+06, 1001.8, 2.02171e+06, 2.02313e+06, 2020145, 2022006, 2.02281e+06, 2023337, 2023646, 254057, 397.782, 253777, 254337, 253362, 253851, 254328, 254408, 254531
Thu Aug 10 16:18:39 EDT 2017, 8, 2, 5.553, 0.157102, 5.44231, 5.66369, 5.36, 5.37, 5.645, 5.68, 5.79, 69366, 1247.03, 68487.4, 70244.6, 67412, 68412, 69258, 70400, 72160, 29800.8, 3843.76, 27092.7, 32508.9, 24140, 26362, 31190.5, 32380, 37446, 5794.3, 591.014, 5377.9, 6210.7, 4589, 5422, 6075.5, 6332, 6745, 18300.4, 507.575, 17942.8, 18658, 17509, 17895, 18486.5, 18612, 19298, 2573.2, 90.1962, 2509.65, 2636.75, 2441, 2514, 2575.5, 2707, 2732, 4062930, 50930.7, 4.02705e+06, 4.09881e+06, 3990564, 4012248, 4.07785e+06, 4091758, 4169071, 534182, 8258.51, 528363, 540001, 519011, 529713, 534628, 541693, 550304, 4.04441e+06, 1236.55, 4.04354e+06, 4.04528e+06, 4042439, 4043871, 4044571, 4045844, 4046393, 507752, 663.636, 507284, 508220, 506699, 507318, 507798, 508666, 508728
Thu Aug 10 16:20:46 EDT 2017, 8, 5, 13.038, 0.374134, 12.7744, 13.3016, 12.55, 12.58, 13.215, 13.48, 13.52, 150073, 2132.14, 148571, 151575, 146512, 149048, 150232, 151968, 154816, 41736.4, 9137.16, 35298.8, 48174, 26440, 37359, 42248.5, 47935, 63329, 8538.8, 1140.97, 7734.92, 9342.68, 7154, 7320, 8983, 9632, 10725, 42838.6, 1952.95, 41462.6, 44214.6, 39511, 41873, 43056.5, 44073, 47425, 5949.8, 255.823, 5769.56, 6130.04, 5528, 5754, 6020, 6205, 6436, 8.68829e+06, 112912, 8.60874e+06, 8.76784e+06, 8506523, 8635350, 8691714, 8759537, 8962643, 1.12025e+06, 16704.8, 1.10848e+06, 1.13202e+06, 1095364, 1109503, 1.12109e+06, 1134379, 1157476, 1.01139e+07, 1381.44, 1.01129e+07, 1.01149e+07, 10112024, 10113003, 10114025, 10115804, 10116167, 1.26702e+06, 1220.53, 1.26616e+06, 1.26788e+06, 1265447, 1266130, 1267018, 1268556, 1269704
Thu Aug 10 16:23:09 EDT 2017, 8, 10, 34.986, 0.773747, 34.4409, 35.5311, 34.19, 34.23, 35.1, 36.07, 36.31, 292770, 5213.29, 289097, 296443, 281488, 292044, 294780, 297688, 299636, 77533.4, 15007.4, 66959.9, 88106.9, 48435, 69109, 81621, 89794, 103423, 16170.8, 2549.39, 14374.6, 17967, 11257, 15754, 17420, 18483, 19544, 86372.7, 3717.43, 83753.6, 88991.8, 79077, 84494, 87400, 89435, 92844, 12254.8, 603.417, 11829.7, 12679.9, 10908, 12095, 12484.5, 12828, 13011, 1.44047e+07, 165942, 1.42878e+07, 1.45216e+07, 14089212, 14311676, 14447943, 14534799, 14699064, 1.87107e+06, 33012.5, 1.84781e+06, 1.89433e+06, 1801056, 1865928, 1.88283e+06, 1902209, 1915677, 2.02208e+07, 5417.57, 2.0217e+07, 2.02246e+07, 20214232, 20215037, 20221544, 20227881, 20231455, 2.532e+06, 1313.91, 2.53107e+06, 2.53293e+06, 2530230, 2530480, 2.53234e+06, 2533397, 2534572
Thu Aug 10 16:26:47 EDT 2017, 8, 15, 63.462, 1.40857, 62.4696, 64.4544, 61.62, 62.18, 64.445, 65.11, 65.17, 438083, 7840.36, 432559, 443607, 421492, 436892, 440728, 446012, 448512, 126123, 19427.1, 112436, 139810, 91172, 116871, 135328, 144507, 154122, 25615.1, 3422.22, 23204, 28026.2, 19338, 24759, 26694, 29590, 30106, 133949, 5153.97, 130318, 137580, 124679, 131251, 136660, 138705, 141056, 19022, 943.608, 18357.2, 19686.8, 17047, 18975, 19306.5, 20154, 20169, 1.83982e+07, 200208, 1.82571e+07, 1.85393e+07, 18040955, 18304109, 1.84917e+07, 18584123, 18693604, 2.39357e+06, 43066.4, 2.36323e+06, 2.42391e+06, 2304559, 2388359, 2408483, 2438952, 2448744, 3.03255e+07, 4401.27, 3.03224e+07, 3.03286e+07, 30318279, 30321931, 30326938, 30329988, 30331994, 3.79684e+06, 1997.42, 3.79543e+06, 3.79825e+06, 3795115, 3795827, 3796583, 3797237, 3802531
Thu Aug 10 16:29:49 EDT 2017, 16, 1, 2.517, 0.145606, 2.41441, 2.61959, 2.38, 2.41, 2.475, 2.78, 2.80, 27764, 987.76, 27068.1, 28459.9, 26496, 26756, 28274, 28852, 29348, 31747.4, 3408.16, 29346.2, 34148.6, 26264, 27764, 33528.5, 35368, 35996, 3584.2, 138.701, 3486.48, 3681.92, 3344, 3513, 3621, 3736, 3843, 17344.3, 333.586, 17109.3, 17579.3, 16806, 16993, 17525, 17728, 17730, 1254.8, 28.7465, 1234.55, 1275.05, 1221, 1230, 1255, 1294, 1308, 2.30585e+06, 52017.1, 2.2692e+06, 2.3425e+06, 2226140, 2245666, 2.3322e+06, 2353993, 2382788, 169388, 7021.75, 164441, 174335, 160634, 162393, 171199, 177960, 183406, 2.02186e+06, 806.022, 2.02129e+06, 2.02243e+06, 2020891, 2021163, 2.02183e+06, 2022977, 2023541, 141346, 491.335, 141000, 141692, 140610, 140934, 141386, 141901, 142170
Thu Aug 10 16:31:21 EDT 2017, 16, 2, 3.858, 0.149586, 3.75261, 3.96339, 3.56, 3.88, 3.935, 3.97, 3.98, 45908.8, 1154.26, 45095.6, 46722, 43820, 44952, 46344, 47292, 47820, 75916.4, 4338, 72860, 78972.8, 69233, 70971, 77865, 80873, 82092, 6879.7, 300.078, 6668.28, 7091.12, 6250, 6597, 7089.5, 7113, 7164, 38618.1, 507.051, 38260.9, 38975.3, 37797, 38058, 38870.5, 39191, 39227, 2685.6, 46.9493, 2652.52, 2718.68, 2572, 2670, 2712.5, 2730, 2736, 4623184, 65829, 4.5768e+06, 4.66956e+06, 4534555, 4537386, 4652086, 4695321, 4723332, 332209, 7600.49, 326854, 337564, 317626, 326592, 336128, 338331, 343458, 4.04523e+06, 1784.35, 4.04397e+06, 4.04649e+06, 4042388, 4043804, 4.04541e+06, 4046998, 4048713, 282777, 1043.42, 282042, 283512, 280739, 282296, 283034, 284229, 284451
Thu Aug 10 16:33:29 EDT 2017, 16, 5, 7.238, 0.213157, 7.08782, 7.38818, 6.92, 7.00, 7.275, 7.52, 7.62, 96997.6, 1360.32, 96039.2, 97956, 95148, 95988, 97100, 98696, 99528, 154435, 7039.33, 149475, 159395, 144516, 147534, 156326, 161051, 168102, 12266.1, 620.056, 11829.2, 12703, 11254, 11679, 12537.5, 12926, 13151, 99523.1, 1224.69, 98660.2, 100386, 98051, 98170, 99693.5, 100869, 101859, 6740, 84.1546, 6680.71, 6799.29, 6613, 6657, 6793.5, 6832, 6869, 9.97185e+06, 102465, 9.89966e+06, 1.0044e+07, 9809318, 9883437, 9.99784e+06, 10063182, 10175418, 700365, 9868.91, 693412, 707318, 685865, 693642, 701372, 714406, 718910, 1.01137e+07, 1845.83, 1.01124e+07, 1.0115e+07, 10111020, 10112363, 10113958, 10115342, 10117480, 707300, 940.536, 706637, 707963, 705567, 706621, 707518, 708173, 709097
Thu Aug 10 16:35:36 EDT 2017, 16, 10, 13.518, 0.43863, 13.209, 13.827, 12.93, 13.23, 13.55, 13.92, 14.44, 169102, 2904.25, 167056, 171148, 165228, 167924, 168514, 172188, 176300, 249672, 16855, 237797, 261547, 227962, 239234, 250486, 264453, 289368, 20003.8, 1282.68, 19100.1, 20907.5, 18079, 19292, 19887.5, 22047, 22491, 195697, 3798.42, 193021, 198373, 190780, 193448, 195868, 198893, 204695, 13292.3, 247.343, 13118, 13466.6, 12911, 13129, 13257.5, 13632, 13745, 1.60619e+07, 217128, 1.59089e+07, 1.62149e+07, 15788883, 15924070, 16073922, 16250163, 16579340, 1.05563e+06, 15846.3, 1.04447e+06, 1.06679e+06, 1032512, 1046296, 1053186, 1079664, 1089325, 2.02211e+07, 2334.27, 2.02195e+07, 2.02227e+07, 20218159, 20218510, 2.02224e+07, 20224107, 20224330, 1.41567e+06, 2002.85, 1.41426e+06, 1.41708e+06, 1413448, 1414449, 1415356, 1418977, 1419892
Thu Aug 10 16:37:49 EDT 2017, 16, 15, 22.408, 0.478723, 22.0707, 22.7453, 21.34, 22.53, 22.58, 22.84, 22.85, 246498, 1646.66, 245338, 247658, 244260, 245312, 246566, 247920, 250508, 347738, 10849.2, 340094, 355382, 332418, 336122, 351204, 361888, 362949, 28423.9, 956.44, 27750, 29097.8, 26736, 27730, 28747, 28965, 30419, 293189, 2714.86, 291276, 295102, 289518, 290332, 293959, 296724, 297336, 19964.3, 192.133, 19828.9, 20099.7, 19661, 19854, 19989.5, 20191, 20335, 2.0242e+07, 119452, 2.01578e+07, 2.03262e+07, 20080359, 20112066, 20279837, 20394065, 20409638, 1.32482e+06, 9160.03, 1.31837e+06, 1.33127e+06, 1310827, 1318416, 1.32652e+06, 1331102, 1346548, 3.03249e+07, 4256.51, 3.03219e+07, 3.03279e+07, 30317661, 30323379, 30326628, 30329123, 30331385, 2.12105e+06, 1667.41, 2.11988e+06, 2.12222e+06, 2118816, 2119704, 2121059, 2123370, 2124279
