# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Mon Jan  9 09:25:03 EST 2017, 3072, 0.390, 9, 0.150, 356, 53, 11, 39, 48, 48.827, 45.497
Mon Jan  9 09:25:21 EST 2017, 8022, 0.890, 4, 0.650, 506, 98, 1, 14, 93, 13.393, 16.163
Mon Jan  9 09:25:27 EST 2017, 5547, 0.140, 2, 0.400, 581, 31, 6, 26, 26, 6.710, 6.477
Mon Jan  9 09:26:16 EST 2017, 597, 0.640, 6, 0.900, 431, 76, 15, 1, 71, 46.820, 26.480
Mon Jan  9 09:26:33 EST 2017, 443, 0.400, 3, 0.260, 520, 38, 9, 46, 22, 16.343, 15.740
Mon Jan  9 09:28:46 EST 2017, 5393, 0.900, 8, 0.760, 370, 83, 19, 21, 67, 129.230, 104.530
Mon Jan  9 09:29:02 EST 2017, 7868, 0.150, 6, 0.010, 445, 15, 14, 33, 44, 16.290, 15.070
Mon Jan  9 09:29:17 EST 2017, 2918, 0.650, 1, 0.510, 595, 60, 4, 8, 89, 13.320, 14.113
Mon Jan  9 09:29:22 EST 2017, 4155, 0.030, 9, 0.390, 407, 72, 7, 15, 10, 5.017, 4.530
Mon Jan  9 09:30:21 EST 2017, 9105, 0.530, 5, 0.890, 557, 27, 16, 40, 55, 58.037, 53.307
Mon Jan  9 09:30:39 EST 2017, 6630, 0.280, 2, 0.140, 482, 94, 12, 2, 33, 17.270, 13.130
Mon Jan  9 09:30:50 EST 2017, 1680, 0.780, 7, 0.640, 332, 49, 2, 27, 78, 9.960, 10.640
Mon Jan  9 09:30:51 EST 2017, 2299, 0.220, 1, 0.950, 351, 43, 8, 5, 16, 1.347, 1.313
Mon Jan  9 09:34:02 EST 2017, 7249, 0.720, 5, 0.450, 501, 88, 18, 30, 61, 187.090, 158.103
Mon Jan  9 09:34:18 EST 2017, 9724, 0.470, 7, 0.700, 576, 21, 13, 18, 38, 15.193, 13.743
Mon Jan  9 09:34:50 EST 2017, 4774, 0.970, 3, 0.200, 426, 66, 3, 43, 83, 30.653, 31.277
Mon Jan  9 09:35:10 EST 2017, 3536, 0.340, 6, 0.820, 539, 55, 6, 36, 27, 20.243, 19.460
Mon Jan  9 09:35:16 EST 2017, 8486, 0.840, 2, 0.320, 389, 10, 15, 11, 72, 5.650, 4.800
Mon Jan  9 09:36:26 EST 2017, 6011, 0.090, 4, 0.570, 314, 77, 10, 49, 50, 60.193, 61.580
Mon Jan  9 09:36:33 EST 2017, 1061, 0.590, 8, 0.070, 464, 32, 1, 24, 95, 5.777, 6.557
Mon Jan  9 09:36:57 EST 2017, 752, 0.060, 5, 0.170, 586, 12, 19, 10, 92, 23.017, 18.530
Mon Jan  9 09:37:18 EST 2017, 5702, 0.560, 1, 0.670, 436, 57, 10, 35, 47, 21.333, 20.690
Mon Jan  9 09:37:30 EST 2017, 8177, 0.310, 3, 0.420, 361, 35, 5, 22, 69, 11.527, 11.037
Mon Jan  9 09:38:49 EST 2017, 3227, 0.810, 8, 0.920, 511, 80, 15, 47, 24, 78.517, 73.047
Mon Jan  9 09:40:40 EST 2017, 4465, 0.440, 2, 0.040, 323, 91, 17, 29, 81, 109.910, 93.497
Mon Jan  9 09:40:48 EST 2017, 9415, 0.940, 6, 0.540, 473, 46, 7, 4, 36, 7.950, 6.590
Mon Jan  9 09:41:23 EST 2017, 6940, 0.190, 9, 0.290, 548, 69, 3, 41, 58, 34.167, 34.417
Mon Jan  9 09:41:26 EST 2017, 1990, 0.690, 4, 0.790, 398, 24, 12, 16, 13, 3.117, 2.893
Mon Jan  9 09:42:52 EST 2017, 1371, 0.250, 8, 0.600, 417, 29, 18, 38, 86, 85.853, 78.163
Mon Jan  9 09:43:26 EST 2017, 6321, 0.750, 4, 0.100, 567, 74, 9, 13, 41, 32.930, 28.887
Mon Jan  9 09:43:36 EST 2017, 8796, 0.000, 1, 0.850, 492, 52, 4, 25, 64, 10.323, 10.567
Mon Jan  9 09:43:46 EST 2017, 3846, 0.500, 6, 0.350, 342, 97, 13, 0, 19, 9.083, 5.697
Mon Jan  9 09:46:46 EST 2017, 2608, 0.120, 5, 0.730, 454, 86, 16, 19, 98, 171.760, 143.380
Mon Jan  9 09:47:07 EST 2017, 7558, 0.620, 9, 0.230, 304, 41, 6, 44, 53, 21.027, 20.187
Mon Jan  9 09:47:12 EST 2017, 5083, 0.370, 7, 0.980, 379, 63, 1, 7, 75, 4.500, 5.027
Mon Jan  9 09:47:22 EST 2017, 133, 0.870, 3, 0.480, 529, 18, 11, 32, 30, 9.537, 9.117
Mon Jan  9 09:49:25 EST 2017, 124, 0.120, 6, 0.500, 442, 80, 8, 36, 83, 108.953, 96.763
Mon Jan  9 09:49:38 EST 2017, 5074, 0.620, 1, 0.000, 592, 35, 17, 11, 38, 11.933, 10.587
Mon Jan  9 09:51:15 EST 2017, 7549, 0.370, 3, 0.750, 517, 58, 12, 48, 61, 97.383, 90.683
Mon Jan  9 09:51:16 EST 2017, 2599, 0.870, 8, 0.250, 367, 13, 3, 23, 16, 1.010, 0.947
Mon Jan  9 09:51:23 EST 2017, 3836, 0.250, 2, 0.630, 480, 24, 5, 4, 95, 6.100, 5.647
Mon Jan  9 09:52:28 EST 2017, 8786, 0.750, 7, 0.130, 330, 69, 15, 29, 50, 65.287, 59.403
