# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Mon Jan  9 09:24:15 EST 2017, 100, 0.000, 1, 0.000, 300, 10, 1, 0, 10, 1.280, 1.307
Mon Jan  9 09:25:00 EST 2017, 5050, 0.500, 5, 0.500, 450, 55, 10, 25, 55, 43.967, 40.663
Mon Jan  9 09:25:17 EST 2017, 7525, 0.250, 7, 0.250, 525, 32, 15, 12, 32, 17.063, 14.647
Mon Jan  9 09:25:59 EST 2017, 2575, 0.750, 3, 0.750, 375, 77, 5, 37, 77, 41.997, 40.403
Mon Jan  9 09:26:12 EST 2017, 3812, 0.370, 6, 0.120, 562, 88, 3, 31, 21, 12.567, 12.530
Mon Jan  9 09:26:28 EST 2017, 8762, 0.870, 2, 0.620, 412, 43, 12, 6, 66, 16.137, 13.190
Mon Jan  9 09:27:42 EST 2017, 6287, 0.120, 4, 0.370, 337, 66, 17, 43, 43, 72.547, 67.320
Mon Jan  9 09:28:02 EST 2017, 1337, 0.620, 8, 0.870, 487, 21, 8, 18, 88, 19.323, 17.347
Mon Jan  9 09:28:05 EST 2017, 1956, 0.310, 3, 0.680, 468, 26, 2, 46, 26, 2.840, 2.887
Mon Jan  9 09:29:01 EST 2017, 6906, 0.810, 8, 0.180, 318, 71, 11, 21, 71, 55.990, 48.450
Mon Jan  9 09:30:02 EST 2017, 9381, 0.060, 6, 0.930, 393, 49, 16, 34, 49, 59.977, 54.953
Mon Jan  9 09:30:36 EST 2017, 4431, 0.560, 1, 0.430, 543, 94, 6, 9, 94, 30.870, 29.733
Mon Jan  9 09:30:41 EST 2017, 3193, 0.180, 9, 0.560, 431, 83, 4, 15, 15, 5.517, 5.130
Mon Jan  9 09:32:01 EST 2017, 8143, 0.680, 4, 0.060, 581, 38, 14, 40, 60, 79.107, 73.120
Mon Jan  9 09:32:21 EST 2017, 5668, 0.430, 2, 0.810, 506, 60, 18, 3, 38, 19.583, 14.133
Mon Jan  9 09:32:36 EST 2017, 718, 0.930, 7, 0.310, 356, 15, 9, 28, 83, 14.410, 13.470
Mon Jan  9 09:33:43 EST 2017, 1028, 0.460, 8, 0.400, 384, 40, 11, 42, 80, 67.103, 63.153
