# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max
Sat Jan 14 09:06:27 EST 2017, 1, 1, 0.000, 1, 6.888, 0.191927, 6.75278, 7.02322, 6.64, 6.64, 7.015, 7.1, 7.1, 56016.8, 2.99333, 56014.7, 56018.9, 56012, 56016, 56018, 56020, 56020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1726031, 0, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1957178, 0, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178, 0.618131, 0, 0.618131, 0.618131, 0.618131, 0.618131, 0.618131, 0.618131, 0.618131, 1.13809, 0, 1.13809, 1.13809, 1.13809, 1.13809, 1.13809, 1.13809, 1.13809, 9.01585, 1.19209e-07, 9.01585, 9.01585, 9.01585, 9.01585, 9.01585, 9.01585, 9.01585, 2917750, 0, 2917750, 2917750, 2917750, 2917750, 2917750, 2917750, 2917750
Sat Jan 14 09:12:40 EST 2017, 1, 2, 0.000, 1, 9.77, 0.0289828, 9.74958, 9.79042, 9.71, 9.77, 9.785, 9.79, 9.8, 57532.4, 3.32265, 57530.1, 57534.7, 57528, 57528, 57534, 57536, 57536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2588942, 0, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 3147054, 0, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054, 0.578159, 1.29048e-08, 0.578159, 0.578159, 0.578159, 0.578159, 0.578159, 0.578159, 0.578159, 1.21871, 1.49012e-08, 1.21871, 1.21871, 1.21871, 1.21871, 1.21871, 1.21871, 1.21871, 9.4914, 1.19209e-07, 9.4914, 9.4914, 9.4914, 9.4914, 9.4914, 9.4914, 9.4914, 4351627, 0, 4351627, 4351627, 4351627, 4351627, 4351627, 4351627, 4351627
Sat Jan 14 09:18:53 EST 2017, 1, 5, 0.000, 1, 12.727, 0.843967, 12.1324, 13.3216, 10.26, 13, 13.09, 13.11, 13.13, 59451.2, 2.4, 59449.5, 59452.9, 59448, 59448, 59452, 59452, 59456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3574350, 0, 3574350, 3574350, 3574350, 3574350, 3574350, 3574350, 3574350, 4570633, 0, 4570633, 4570633, 4570633, 4570633, 4570633, 4570633, 4570633, 0.530728, 7.45058e-09, 0.530728, 0.530728, 0.530728, 0.530728, 0.530728, 0.530728, 0.530728, 1.28139, 0, 1.28139, 1.28139, 1.28139, 1.28139, 1.28139, 1.28139, 1.28139, 10.3077, 2.06477e-07, 10.3077, 10.3077, 10.3077, 10.3077, 10.3077, 10.3077, 10.3077, 5904318, 0, 5904318, 5904318, 5904318, 5904318, 5904318, 5904318, 5904318
Sat Jan 14 09:25:00 EST 2017, 1, 10, 0.000, 1, 13.969, 0.143489, 13.8679, 14.0701, 13.66, 13.93, 14.05, 14.1, 14.11, 60394.8, 3.1241, 60392.6, 60397, 60392, 60392, 60396, 60400, 60400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3928216, 0, 3928216, 3928216, 3928216, 3928216, 3928216, 3928216, 3928216, 4946122, 0, 4946122, 4946122, 4946122, 4946122, 4946122, 4946122, 4946122, 0.521685, 1.05367e-08, 0.521685, 0.521685, 0.521685, 0.521685, 0.521685, 0.521685, 0.521685, 1.26166, 2.98023e-08, 1.26166, 1.26166, 1.26166, 1.26166, 1.26166, 1.26166, 1.26166, 10.6929, 1.68587e-07, 10.6929, 10.6929, 10.6929, 10.6929, 10.6929, 10.6929, 10.6929, 6384630, 0, 6384630, 6384630, 6384630, 6384630, 6384630, 6384630, 6384630
Sat Jan 14 09:30:18 EST 2017, 1, 1, 0.250, 1, 6.897, 0.15761, 6.78596, 7.00804, 6.66, 6.83, 6.925, 7.09, 7.19, 52081.6, 1.95959, 52080.2, 52083, 52080, 52080, 52082, 52084, 52084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722846, 0, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1957561, 0, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 0.597072, 1.29048e-08, 0.597072, 0.597072, 0.597072, 0.597072, 0.597072, 0.597072, 0.597072, 1.14037, 2.58096e-08, 1.14037, 1.14037, 1.14037, 1.14037, 1.14037, 1.14037, 1.14037, 8.73023, 1.68587e-07, 8.73023, 8.73023, 8.73023, 8.73023, 8.73023, 8.73023, 8.73023, 2956865, 0, 2956865, 2956865, 2956865, 2956865, 2956865, 2956865, 2956865
Sat Jan 14 09:36:31 EST 2017, 1, 2, 0.250, 1, 9.464, 0.0815107, 9.40657, 9.52143, 9.3, 9.48, 9.495, 9.53, 9.54, 52678.8, 3.1241, 52676.6, 52681, 52676, 52676, 52680, 52684, 52684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2567155, 0, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 3146921, 0, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921, 0.548113, 7.45058e-09, 0.548113, 0.548113, 0.548113, 0.548113, 0.548113, 0.548113, 0.548113, 1.22904, 2.58096e-08, 1.22904, 1.22904, 1.22904, 1.22904, 1.22904, 1.22904, 1.22904, 8.96476, 0, 8.96476, 8.96476, 8.96476, 8.96476, 8.96476, 8.96476, 8.96476, 4427007, 0, 4427007, 4427007, 4427007, 4427007, 4427007, 4427007, 4427007
Sat Jan 14 09:42:44 EST 2017, 1, 5, 0.250, 1, 12.18, 0.147986, 12.0757, 12.2843, 11.93, 11.99, 12.28, 12.3, 12.32, 53312.8, 2.4, 53311.1, 53314.5, 53312, 53312, 53312, 53312, 53320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3434498, 0, 3434498, 3434498, 3434498, 3434498, 3434498, 3434498, 3434498, 4570728, 0, 4570728, 4570728, 4570728, 4570728, 4570728, 4570728, 4570728, 0.490383, 1.17804e-08, 0.490383, 0.490383, 0.490383, 0.490383, 0.490383, 0.490383, 0.490383, 1.33361, 0, 1.33361, 1.33361, 1.33361, 1.33361, 1.33361, 1.33361, 1.33361, 9.29895, 1.19209e-07, 9.29895, 9.29895, 9.29895, 9.29895, 9.29895, 9.29895, 9.29895, 5949830, 0, 5949830, 5949830, 5949830, 5949830, 5949830, 5949830, 5949830
Sat Jan 14 09:48:51 EST 2017, 1, 10, 0.250, 1, 12.608, 0.434322, 12.302, 12.914, 11.65, 12.33, 12.83, 13.06, 13.09, 53518.4, 2.6533, 53516.5, 53520.3, 53516, 53516, 53520, 53520, 53524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3648308, 0, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 4946123, 0, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123, 0.476265, 5.26836e-09, 0.476265, 0.476265, 0.476265, 0.476265, 0.476265, 0.476265, 0.476265, 1.35847, 2.58096e-08, 1.35847, 1.35847, 1.35847, 1.35847, 1.35847, 1.35847, 1.35847, 9.41146, 2.06477e-07, 9.41146, 9.41146, 9.41146, 9.41146, 9.41146, 9.41146, 9.41146, 6319106, 0, 6319106, 6319106, 6319106, 6319106, 6319106, 6319106, 6319106
Sat Jan 14 09:54:59 EST 2017, 1, 1, 0.000, 2, 11.014, 0.258503, 10.8319, 11.1961, 10.63, 10.64, 11.145, 11.24, 11.33, 57941.2, 2.56125, 57939.4, 57943, 57940, 57940, 57940, 57944, 57948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2883007, 0, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 3915395, 0, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395, 1.37185, 0, 1.37185, 1.37185, 1.37185, 1.37185, 1.37185, 1.37185, 1.37185, 1.36194, 2.58096e-08, 1.36194, 1.36194, 1.36194, 1.36194, 1.36194, 1.36194, 1.36194, 10.3993, 2.38419e-07, 10.3993, 10.3993, 10.3993, 10.3993, 10.3993, 10.3993, 10.3993, 4071684, 0, 4071684, 4071684, 4071684, 4071684, 4071684, 4071684, 4071684
Sat Jan 14 10:00:27 EST 2017, 1, 2, 0.000, 2, 14.72, 0.79307, 14.1612, 15.2788, 13.35, 14.55, 15.18, 15.29, 15.94, 60114.8, 4.01995, 60112, 60117.6, 60112, 60112, 60114, 60120, 60124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3891614, 0, 3891614, 3891614, 3891614, 3891614, 3891614, 3891614, 3891614, 6296628, 0, 6296628, 6296628, 6296628, 6296628, 6296628, 6296628, 6296628, 1.22291, 2.10734e-08, 1.22291, 1.22291, 1.22291, 1.22291, 1.22291, 1.22291, 1.22291, 1.62156, 2.98023e-08, 1.62156, 1.62156, 1.62156, 1.62156, 1.62156, 1.62156, 1.62156, 10.9408, 2.38419e-07, 10.9408, 10.9408, 10.9408, 10.9408, 10.9408, 10.9408, 10.9408, 5416220, 0, 5416220, 5416220, 5416220, 5416220, 5416220, 5416220, 5416220
