# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Thu Jun 22 18:57:00 EDT 2017, 0.300, 4, 9, 0.150, 2, 5, 58, 535, 48, 12, 39, 90, 3.740, 4.053
Thu Jun 22 18:59:01 EDT 2017, 0.800, 9, 4, 0.650, 7, 9, 13, 385, 93, 2, 14, 45, 2.137, 2.357
Thu Jun 22 19:03:37 EDT 2017, 0.550, 2, 2, 0.400, 9, 3, 35, 460, 26, 7, 26, 23, 1.827, 1.920
Thu Jun 22 19:08:45 EDT 2017, 0.050, 6, 6, 0.900, 4, 7, 80, 310, 71, 16, 1, 68, 3.717, 3.930
Thu Jun 22 19:13:46 EDT 2017, 0.030, 4, 3, 0.260, 7, 3, 51, 577, 22, 1, 13, 47, 1.237, 1.247
Thu Jun 22 19:18:53 EDT 2017, 0.530, 9, 8, 0.760, 3, 8, 96, 427, 67, 10, 38, 92, 4.337, 4.750
Thu Jun 22 19:24:05 EDT 2017, 0.780, 2, 6, 0.010, 5, 1, 73, 502, 44, 15, 1, 69, 5.643, 7.627
Thu Jun 22 19:29:02 EDT 2017, 0.280, 6, 1, 0.510, 9, 6, 28, 352, 89, 5, 26, 24, 2.423, 2.420
Thu Jun 22 19:33:38 EDT 2017, 0.400, 1, 9, 0.390, 4, 7, 39, 390, 10, 17, 7, 80, 1.847, 1.930
Thu Jun 22 19:38:45 EDT 2017, 0.900, 5, 5, 0.890, 8, 2, 84, 540, 55, 8, 32, 35, 3.367, 3.347
Thu Jun 22 19:43:46 EDT 2017, 0.650, 3, 2, 0.140, 6, 9, 62, 315, 33, 3, 19, 13, 1.443, 1.437
Thu Jun 22 19:49:03 EDT 2017, 0.150, 8, 7, 0.640, 1, 4, 17, 465, 78, 12, 44, 58, 3.620, 3.737
Thu Jun 22 19:54:05 EDT 2017, 0.220, 2, 1, 0.950, 2, 4, 45, 333, 16, 2, 47, 75, 1.353, 1.430
Thu Jun 22 19:59:01 EDT 2017, 0.720, 7, 5, 0.450, 7, 8, 90, 483, 61, 11, 22, 30, 3.040, 3.323
Thu Jun 22 20:03:43 EDT 2017, 0.970, 5, 7, 0.700, 9, 2, 68, 408, 38, 16, 35, 52, 4.620, 5.977
Thu Jun 22 20:08:49 EDT 2017, 0.470, 9, 3, 0.200, 4, 6, 23, 558, 83, 6, 10, 97, 8.030, 8.857
Thu Jun 22 20:13:46 EDT 2017, 0.340, 4, 6, 0.820, 8, 5, 34, 521, 27, 18, 29, 19, 1.843, 1.843
Thu Jun 22 20:18:58 EDT 2017, 0.840, 8, 2, 0.320, 3, 1, 79, 371, 72, 9, 4, 64, 7.197, 7.717
Thu Jun 22 20:24:00 EDT 2017, 0.590, 1, 4, 0.570, 1, 7, 56, 596, 50, 4, 41, 86, 3.547, 3.620
Thu Jun 22 20:29:01 EDT 2017, 0.090, 6, 8, 0.070, 5, 3, 11, 446, 95, 14, 16, 41, 3.053, 3.337
Thu Jun 22 20:33:43 EDT 2017, 0.060, 1, 5, 0.170, 9, 1, 98, 361, 92, 8, 8, 72, 3.747, 3.827
Thu Jun 22 20:38:45 EDT 2017, 0.560, 6, 1, 0.670, 5, 5, 53, 511, 47, 18, 33, 27, 6.153, 6.733
Thu Jun 22 20:43:52 EDT 2017, 0.810, 3, 3, 0.420, 2, 3, 31, 436, 69, 13, 21, 50, 6.540, 7.567
Thu Jun 22 20:49:04 EDT 2017, 0.310, 8, 8, 0.920, 7, 8, 76, 586, 24, 3, 46, 95, 1.680, 1.830
Thu Jun 22 20:54:00 EDT 2017, 0.440, 4, 2, 0.040, 1, 9, 87, 474, 81, 11, 15, 16, 3.033, 3.250
Thu Jun 22 20:59:12 EDT 2017, 0.940, 9, 6, 0.540, 6, 4, 42, 324, 36, 1, 40, 61, 1.453, 1.540
Thu Jun 22 21:03:38 EDT 2017, 0.690, 2, 9, 0.290, 8, 6, 20, 549, 58, 6, 2, 83, 3.230, 3.543
Thu Jun 22 21:08:40 EDT 2017, 0.190, 7, 4, 0.790, 3, 2, 65, 399, 13, 15, 27, 38, 1.510, 1.857
Thu Jun 22 21:13:47 EDT 2017, 0.120, 3, 8, 0.600, 4, 2, 93, 530, 86, 9, 30, 44, 2.713, 3.037
Thu Jun 22 21:18:59 EDT 2017, 0.620, 7, 4, 0.100, 9, 7, 48, 380, 41, 19, 5, 89, 6.940, 6.547
Thu Jun 22 21:26:56 EDT 2017, 0.870, 1, 1, 0.850, 6, 5, 25, 455, 64, 14, 43, 66, 13.783, 125.983
Thu Jun 22 21:31:08 EDT 2017, 0.370, 5, 6, 0.350, 2, 9, 70, 305, 19, 5, 18, 21, 1.203, 1.203
Thu Jun 22 21:36:15 EDT 2017, 0.250, 2, 5, 0.730, 5, 8, 82, 418, 98, 12, 49, 78, 6.223, 6.657
Thu Jun 22 21:41:17 EDT 2017, 0.750, 6, 9, 0.230, 1, 4, 37, 568, 53, 2, 24, 33, 1.530, 1.550
Thu Jun 22 21:46:25 EDT 2017, 0.500, 4, 7, 0.980, 3, 6, 14, 343, 75, 7, 36, 10, 1.777, 1.527
Thu Jun 22 21:52:32 EDT 2017, 0.000, 8, 3, 0.480, 7, 1, 59, 493, 30, 17, 11, 55, 3.463, 3.747
Thu Jun 22 21:57:43 EDT 2017, 0.000, 2, 6, 0.500, 5, 8, 43, 516, 83, 5, 5, 57, 3.023, 3.033
Thu Jun 22 22:02:10 EDT 2017, 0.500, 6, 1, 0.000, 9, 3, 88, 366, 38, 15, 30, 12, 2.263, 3.153
Thu Jun 22 22:07:16 EDT 2017, 0.750, 4, 3, 0.750, 7, 5, 66, 591, 61, 10, 17, 35, 4.643, 5.237
Thu Jun 22 22:12:28 EDT 2017, 0.250, 8, 8, 0.250, 3, 1, 21, 441, 16, 1, 42, 80, 1.210, 1.230
Thu Jun 22 22:17:25 EDT 2017, 0.370, 3, 2, 0.630, 6, 2, 32, 328, 95, 12, 23, 24, 3.440, 3.863
Thu Jun 22 22:22:27 EDT 2017, 0.870, 7, 7, 0.130, 1, 6, 77, 478, 50, 3, 48, 69, 2.137, 2.243
Thu Jun 22 22:27:34 EDT 2017, 0.620, 1, 9, 0.880, 4, 4, 55, 403, 72, 8, 11, 91, 3.937, 4.240
Thu Jun 22 22:32:10 EDT 2017, 0.120, 5, 4, 0.380, 8, 9, 10, 553, 27, 17, 36, 46, 2.757, 2.787
Thu Jun 22 22:37:12 EDT 2017, 0.180, 4, 8, 0.190, 9, 9, 49, 385, 89, 7, 33, 40, 2.130, 2.293
Thu Jun 22 22:42:30 EDT 2017, 0.680, 9, 4, 0.690, 4, 5, 94, 535, 44, 16, 8, 85, 8.540, 10.667
Thu Jun 22 23:15:29 EDT 2017, 0.930, 2, 2, 0.440, 2, 7, 72, 310, 66, 11, 45, 63, 7.120, 6.857
Thu Jun 22 23:21:41 EDT 2017, 0.430, 7, 6, 0.940, 6, 2, 27, 460, 21, 2, 20, 18, 1.257, 1.247
Thu Jun 22 23:27:43 EDT 2017, 0.310, 1, 5, 0.060, 1, 1, 38, 572, 78, 14, 39, 97, 9.233, 10.360
Thu Jun 22 23:32:10 EDT 2017, 0.810, 6, 9, 0.560, 5, 6, 83, 422, 33, 4, 14, 52, 1.737, 1.713
Thu Jun 22 23:39:18 EDT 2017, 0.560, 3, 7, 0.310, 8, 4, 60, 497, 55, 9, 26, 29, 2.233, 2.533
Thu Jun 22 23:44:25 EDT 2017, 0.060, 8, 3, 0.810, 3, 8, 15, 347, 10, 18, 1, 74, 2.020, 2.233
Thu Jun 22 23:49:27 EDT 2017, 0.090, 4, 4, 0.910, 2, 6, 91, 413, 19, 4, 22, 38, 1.333, 1.437
Thu Jun 22 23:53:38 EDT 2017, 0.590, 8, 8, 0.410, 7, 1, 46, 563, 64, 13, 47, 83, 6.463, 7.037
Thu Jun 22 23:58:40 EDT 2017, 0.840, 1, 6, 0.660, 9, 8, 24, 338, 41, 18, 9, 60, 4.327, 6.440
Fri Jun 23 00:03:21 EDT 2017, 0.340, 6, 1, 0.160, 5, 3, 69, 488, 86, 8, 34, 15, 2.967, 3.047
Fri Jun 23 00:07:48 EDT 2017, 0.470, 2, 9, 0.780, 8, 4, 80, 525, 30, 15, 3, 94, 3.453, 3.733
Fri Jun 23 00:11:54 EDT 2017, 0.970, 7, 5, 0.280, 3, 9, 35, 375, 75, 6, 28, 49, 3.357, 3.547
Fri Jun 23 00:17:06 EDT 2017, 0.720, 5, 2, 0.530, 1, 2, 12, 450, 52, 1, 16, 26, 1.743, 1.837
Fri Jun 23 00:22:03 EDT 2017, 0.220, 9, 7, 0.030, 6, 7, 57, 300, 97, 11, 41, 71, 3.737, 3.943
Fri Jun 23 00:27:10 EDT 2017, 0.150, 1, 1, 0.340, 6, 6, 97, 469, 24, 5, 37, 55, 2.263, 4.047
Fri Jun 23 00:32:06 EDT 2017, 0.650, 5, 5, 0.840, 2, 2, 52, 319, 69, 14, 12, 10, 1.837, 1.857
Fri Jun 23 00:35:53 EDT 2017, 0.900, 3, 7, 0.090, 4, 8, 29, 544, 47, 19, 25, 32, 4.557, 5.757
Fri Jun 23 00:40:29 EDT 2017, 0.400, 8, 3, 0.590, 8, 4, 74, 394, 92, 10, 0, 77, 7.447, 7.940
Fri Jun 23 00:44:26 EDT 2017, 0.280, 4, 6, 0.470, 3, 3, 86, 356, 13, 17, 31, 21, 1.527, 1.537
Fri Jun 23 00:49:37 EDT 2017, 0.780, 9, 2, 0.970, 7, 7, 41, 506, 58, 7, 6, 66, 6.447, 7.040
Fri Jun 23 00:54:49 EDT 2017, 0.530, 2, 4, 0.220, 5, 1, 18, 431, 36, 2, 44, 88, 1.837, 1.803
Fri Jun 23 00:59:46 EDT 2017, 0.030, 6, 9, 0.720, 1, 5, 63, 581, 81, 12, 19, 43, 3.137, 3.333
Fri Jun 23 01:04:17 EDT 2017, 0.040, 4, 1, 0.080, 8, 4, 22, 324, 34, 6, 9, 70, 2.767, 2.753
Fri Jun 23 01:08:24 EDT 2017, 0.540, 9, 6, 0.580, 3, 9, 67, 474, 79, 16, 34, 25, 3.347, 3.600
Fri Jun 23 01:12:25 EDT 2017, 0.790, 2, 8, 0.330, 1, 2, 90, 399, 12, 11, 21, 48, 1.620, 1.847
Fri Jun 23 01:17:32 EDT 2017, 0.290, 6, 3, 0.830, 5, 7, 45, 549, 57, 2, 46, 93, 2.553, 2.747
Fri Jun 23 01:21:38 EDT 2017, 0.420, 1, 7, 0.200, 2, 5, 11, 511, 45, 13, 15, 14, 1.853, 1.840
Fri Jun 23 01:26:45 EDT 2017, 0.920, 5, 2, 0.700, 7, 1, 56, 361, 90, 4, 40, 59, 4.723, 5.027
Fri Jun 23 01:31:16 EDT 2017, 0.670, 3, 5, 0.450, 9, 8, 79, 586, 23, 9, 2, 81, 2.880, 3.203
Fri Jun 23 01:36:23 EDT 2017, 0.170, 7, 9, 0.950, 4, 3, 34, 436, 68, 18, 27, 36, 2.737, 2.740
Fri Jun 23 01:47:57 EDT 2017, 0.230, 2, 3, 0.640, 4, 4, 28, 567, 51, 7, 30, 53, 3.127, 143.640
Fri Jun 23 02:22:27 EDT 2017, 0.730, 7, 7, 0.140, 8, 8, 73, 417, 96, 17, 5, 98, 608.033, 15.590
Fri Jun 23 02:27:49 EDT 2017, 0.980, 5, 5, 0.890, 6, 2, 95, 492, 29, 12, 43, 76, 5.540, 6.953
Fri Jun 23 02:31:30 EDT 2017, 0.480, 9, 1, 0.390, 2, 6, 50, 342, 74, 3, 18, 31, 2.233, 2.443
Fri Jun 23 02:36:22 EDT 2017, 0.360, 3, 8, 0.520, 7, 7, 17, 380, 40, 15, 49, 87, 3.150, 3.430
Fri Jun 23 02:41:38 EDT 2017, 0.860, 8, 4, 0.020, 3, 3, 62, 530, 85, 5, 24, 42, 3.643, 3.843
Fri Jun 23 02:45:35 EDT 2017, 0.610, 1, 2, 0.770, 5, 9, 84, 305, 17, 10, 37, 19, 1.630, 1.840
Fri Jun 23 02:50:41 EDT 2017, 0.110, 6, 6, 0.270, 9, 5, 39, 455, 62, 19, 12, 64, 4.640, 4.937
Fri Jun 23 02:55:54 EDT 2017, 0.080, 1, 8, 0.480, 5, 2, 70, 539, 59, 3, 13, 50, 1.847, 1.840
Fri Jun 23 03:00:20 EDT 2017, 0.580, 6, 3, 0.980, 1, 7, 25, 389, 14, 13, 38, 95, 2.833, 3.120
Fri Jun 23 03:20:57 EDT 2017, 0.830, 4, 1, 0.230, 3, 5, 48, 464, 82, 18, 1, 73, 0.000, 0.000
Fri Jun 23 03:25:13 EDT 2017, 0.330, 8, 5, 0.730, 7, 9, 93, 314, 37, 8, 26, 28, 1.747, 1.643
Fri Jun 23 03:30:15 EDT 2017, 0.450, 5, 4, 0.360, 4, 8, 59, 427, 71, 15, 7, 84, 8.037, 9.207
Fri Jun 23 03:35:22 EDT 2017, 0.950, 9, 9, 0.860, 9, 3, 14, 577, 26, 6, 32, 39, 1.843, 1.927
Fri Jun 23 03:40:13 EDT 2017, 0.700, 3, 6, 0.110, 6, 6, 36, 352, 93, 1, 19, 17, 1.257, 1.247
Fri Jun 23 03:52:57 EDT 2017, 0.200, 7, 2, 0.610, 2, 1, 81, 502, 48, 10, 44, 62, 4.743, 155.330
Fri Jun 23 03:57:43 EDT 2017, 0.140, 3, 6, 0.800, 1, 1, 76, 371, 76, 4, 48, 67, 2.140, 2.240
Fri Jun 23 04:02:15 EDT 2017, 0.640, 8, 1, 0.300, 6, 5, 31, 521, 31, 14, 23, 22, 5.303, 4.193
Fri Jun 23 04:24:27 EDT 2017, 0.890, 1, 4, 0.550, 8, 3, 53, 446, 99, 19, 35, 45, 352.747, 19.680
Fri Jun 23 04:58:07 EDT 2017, 0.390, 5, 8, 0.050, 4, 7, 98, 596, 54, 9, 10, 90, 4.517, 4.620
Fri Jun 23 05:03:09 EDT 2017, 0.260, 2, 3, 0.920, 9, 9, 64, 483, 65, 16, 29, 11, 2.140, 2.287
Fri Jun 23 05:07:45 EDT 2017, 0.760, 7, 7, 0.420, 5, 4, 19, 333, 20, 7, 4, 56, 1.830, 1.813
Fri Jun 23 05:12:47 EDT 2017, 0.510, 4, 9, 0.670, 2, 6, 42, 558, 88, 2, 41, 78, 2.257, 2.427
Fri Jun 23 05:17:54 EDT 2017, 0.010, 9, 5, 0.170, 7, 2, 87, 408, 43, 12, 16, 33, 2.047, 2.157
Fri Jun 23 05:23:01 EDT 2017, 0.020, 3, 9, 0.310, 3, 1, 12, 312, 93, 3, 35, 19, 1.357, 1.433
Fri Jun 23 05:27:07 EDT 2017, 0.520, 7, 5, 0.810, 8, 6, 57, 462, 48, 12, 10, 64, 4.343, 4.427
Fri Jun 23 05:48:18 EDT 2017, 0.770, 1, 3, 0.060, 6, 4, 79, 387, 70, 17, 47, 86, 313.293, 50.300
Fri Jun 23 06:22:28 EDT 2017, 0.270, 5, 7, 0.560, 1, 8, 34, 537, 25, 8, 22, 41, 1.837, 1.803
Fri Jun 23 06:27:24 EDT 2017, 0.400, 2, 4, 0.430, 7, 9, 23, 499, 81, 19, 41, 75, 10.973, 24.350
Fri Jun 23 06:32:16 EDT 2017, 0.900, 6, 8, 0.930, 2, 5, 68, 349, 36, 10, 16, 30, 1.837, 1.860
Fri Jun 23 06:37:12 EDT 2017, 0.650, 4, 6, 0.180, 4, 7, 90, 574, 59, 5, 28, 52, 2.753, 2.847
Fri Jun 23 06:41:19 EDT 2017, 0.150, 9, 1, 0.680, 9, 2, 45, 424, 14, 15, 3, 97, 2.937, 3.330
Fri Jun 23 06:46:31 EDT 2017, 0.210, 1, 7, 0.990, 8, 2, 17, 593, 87, 2, 0, 81, 2.327, 2.450
Fri Jun 23 06:53:03 EDT 2017, 0.710, 6, 2, 0.490, 4, 6, 62, 443, 42, 11, 25, 36, 3.727, 3.930
Fri Jun 23 06:58:05 EDT 2017, 0.960, 4, 4, 0.740, 2, 4, 85, 518, 64, 16, 13, 13, 3.127, 3.420
Fri Jun 23 07:03:06 EDT 2017, 0.460, 8, 9, 0.240, 6, 9, 40, 368, 19, 6, 38, 58, 1.537, 1.570
Fri Jun 23 07:08:43 EDT 2017, 0.330, 5, 1, 0.870, 3, 7, 29, 406, 98, 18, 19, 47, 12.437, 28.057
Fri Jun 23 07:13:25 EDT 2017, 0.830, 9, 5, 0.370, 7, 3, 74, 556, 53, 9, 44, 92, 7.023, 8.320
Fri Jun 23 07:18:26 EDT 2017, 0.580, 2, 8, 0.620, 9, 5, 96, 331, 76, 4, 7, 69, 2.240, 2.333
