# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Wed Apr 19 11:21:27 EDT 2017, 4450, 0.060, 9707, 7, 0.530, 394, 13, 5, 26, 44, 2.320, 2.517
Wed Apr 19 11:22:07 EDT 2017, 9400, 0.560, 4707, 2, 0.030, 544, 58, 15, 1, 89, 38.347, 28.780
Wed Apr 19 11:22:10 EDT 2017, 6925, 0.310, 2207, 9, 0.280, 319, 81, 1, 38, 67, 1.960, 2.287
Wed Apr 19 11:22:13 EDT 2017, 1975, 0.810, 7207, 4, 0.780, 469, 36, 10, 13, 22, 2.907, 2.817
Wed Apr 19 11:22:16 EDT 2017, 1356, 0.120, 332, 3, 0.970, 450, 30, 2, 29, 61, 2.907, 3.170
Wed Apr 19 11:22:18 EDT 2017, 6306, 0.620, 5332, 7, 0.470, 300, 75, 11, 4, 16, 1.693, 1.547
Wed Apr 19 11:22:38 EDT 2017, 8781, 0.370, 7832, 5, 0.220, 525, 98, 6, 41, 39, 18.947, 19.317
Wed Apr 19 11:22:53 EDT 2017, 3831, 0.870, 2832, 9, 0.720, 375, 53, 16, 16, 84, 15.187, 14.530
Wed Apr 19 11:23:10 EDT 2017, 2594, 0.250, 6582, 1, 0.090, 413, 19, 14, 35, 50, 16.207, 15.207
Wed Apr 19 11:23:21 EDT 2017, 7544, 0.750, 1582, 6, 0.590, 563, 64, 4, 10, 95, 9.507, 10.857
Wed Apr 19 11:24:35 EDT 2017, 5069, 0.000, 4082, 4, 0.840, 338, 86, 18, 47, 73, 73.857, 68.403
Wed Apr 19 11:24:39 EDT 2017, 119, 0.500, 9082, 8, 0.340, 488, 41, 9, 22, 28, 3.660, 3.827
Wed Apr 19 11:25:21 EDT 2017, 129, 0.250, 3623, 2, 0.890, 431, 74, 9, 30, 69, 40.300, 38.323
Wed Apr 19 11:25:24 EDT 2017, 5079, 0.750, 8623, 6, 0.390, 581, 29, 18, 5, 24, 3.110, 2.700
Wed Apr 19 11:25:32 EDT 2017, 7554, 0.000, 6123, 4, 0.140, 356, 52, 4, 43, 47, 6.767, 7.200
Wed Apr 19 11:26:12 EDT 2017, 2604, 0.500, 1123, 9, 0.640, 506, 97, 13, 18, 92, 36.127, 38.173
Wed Apr 19 11:27:08 EDT 2017, 3841, 0.120, 9873, 1, 0.020, 469, 63, 16, 37, 36, 54.663, 50.143
Wed Apr 19 11:27:11 EDT 2017, 8791, 0.620, 4873, 5, 0.520, 319, 18, 6, 12, 81, 2.193, 2.367
Wed Apr 19 11:27:44 EDT 2017, 6316, 0.370, 2373, 3, 0.770, 544, 40, 11, 49, 58, 32.907, 31.403
Wed Apr 19 11:27:45 EDT 2017, 1366, 0.870, 7373, 7, 0.270, 394, 85, 1, 24, 13, 0.620, 0.627
Wed Apr 19 11:28:14 EDT 2017, 1985, 0.060, 498, 6, 0.450, 375, 68, 12, 33, 75, 26.377, 27.510
Wed Apr 19 11:28:15 EDT 2017, 6935, 0.560, 5498, 1, 0.950, 525, 23, 3, 8, 30, 1.557, 1.507
Wed Apr 19 11:28:30 EDT 2017, 9410, 0.310, 7998, 8, 0.700, 300, 46, 17, 46, 52, 13.953, 13.870
Wed Apr 19 11:29:11 EDT 2017, 4460, 0.810, 2998, 4, 0.200, 450, 91, 7, 21, 97, 34.697, 38.417
Wed Apr 19 11:29:18 EDT 2017, 3222, 0.430, 6748, 7, 0.580, 487, 57, 5, 27, 41, 5.467, 5.980
Wed Apr 19 11:29:22 EDT 2017, 8172, 0.930, 1748, 2, 0.080, 337, 12, 15, 2, 86, 3.753, 3.137
Wed Apr 19 11:29:35 EDT 2017, 5697, 0.180, 4248, 9, 0.330, 562, 35, 10, 40, 64, 12.397, 13.170
