# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Wed Apr 19 14:00:35 EDT 2017, 2579, 0.370, 1519, 6, 0.380, 497, 53, 1, 20, 27, 0.867, 0.843
Wed Apr 19 14:02:18 EDT 2017, 7529, 0.870, 6518, 1, 0.880, 347, 98, 11, 45, 72, 101.373, 91.257
Wed Apr 19 14:02:33 EDT 2017, 5054, 0.120, 9018, 8, 0.630, 572, 75, 6, 7, 95, 14.057, 14.407
Wed Apr 19 14:02:46 EDT 2017, 104, 0.620, 4019, 4, 0.130, 422, 30, 15, 32, 50, 13.457, 13.067
Wed Apr 19 14:03:06 EDT 2017, 107, 0.310, 5989, 4, 0.320, 473, 68, 18, 16, 37, 19.907, 18.787
Wed Apr 19 14:03:12 EDT 2017, 5057, 0.810, 989, 9, 0.820, 323, 23, 9, 41, 82, 5.430, 5.440
Wed Apr 19 14:03:29 EDT 2017, 7532, 0.060, 3489, 2, 0.570, 548, 46, 13, 4, 60, 16.823, 13.043
Wed Apr 19 14:03:32 EDT 2017, 2582, 0.560, 8488, 6, 0.070, 398, 91, 4, 29, 15, 2.523, 2.680
Wed Apr 19 14:03:48 EDT 2017, 3819, 0.180, 2239, 3, 0.700, 436, 57, 6, 23, 71, 15.840, 15.493
Wed Apr 19 14:03:52 EDT 2017, 8769, 0.680, 7239, 8, 0.200, 586, 12, 16, 48, 26, 3.600, 3.587
Wed Apr 19 14:03:53 EDT 2017, 6294, 0.430, 9738, 1, 0.450, 361, 35, 1, 10, 49, 1.117, 1.183
Wed Apr 19 14:04:51 EDT 2017, 1344, 0.930, 4739, 5, 0.950, 511, 80, 11, 35, 94, 57.963, 55.553
Wed Apr 19 14:04:56 EDT 2017, 1963, 0.000, 7863, 8, 0.760, 492, 74, 3, 20, 43, 3.760, 4.157
Wed Apr 19 14:05:16 EDT 2017, 6913, 0.500, 2864, 4, 0.260, 342, 29, 12, 45, 88, 20.317, 19.450
Wed Apr 19 14:05:25 EDT 2017, 9388, 0.250, 364, 6, 0.010, 567, 52, 7, 7, 65, 7.347, 8.267
Wed Apr 19 14:06:04 EDT 2017, 4438, 0.750, 5364, 1, 0.510, 417, 97, 17, 32, 20, 39.053, 35.273
Wed Apr 19 14:06:19 EDT 2017, 3200, 0.370, 4114, 9, 0.130, 379, 63, 14, 13, 77, 13.723, 14.333
Wed Apr 19 14:06:21 EDT 2017, 8150, 0.870, 9113, 5, 0.630, 529, 18, 5, 38, 32, 2.247, 2.273
Wed Apr 19 14:06:25 EDT 2017, 5675, 0.120, 6614, 7, 0.880, 304, 40, 19, 1, 54, 3.870, 3.300
Wed Apr 19 14:07:44 EDT 2017, 726, 0.620, 1614, 2, 0.380, 454, 85, 10, 26, 99, 75.067, 72.533
Wed Apr 19 14:07:48 EDT 2017, 1035, 0.150, 2552, 1, 0.100, 539, 26, 4, 31, 23, 3.660, 3.647
Wed Apr 19 14:08:02 EDT 2017, 5985, 0.650, 7551, 6, 0.600, 389, 71, 14, 6, 68, 13.820, 13.107
Wed Apr 19 14:09:23 EDT 2017, 8460, 0.400, 5051, 3, 0.850, 464, 94, 9, 43, 91, 81.047, 75.470
Wed Apr 19 14:09:32 EDT 2017, 3510, 0.900, 52, 8, 0.350, 314, 49, 19, 18, 46, 8.110, 8.150
Wed Apr 19 14:09:43 EDT 2017, 4747, 0.280, 8801, 2, 0.980, 351, 15, 11, 37, 80, 10.540, 10.087
Wed Apr 19 14:09:45 EDT 2017, 9697, 0.780, 3801, 7, 0.480, 501, 60, 2, 12, 35, 1.723, 1.947
Wed Apr 19 14:09:58 EDT 2017, 7222, 0.030, 1302, 4, 0.230, 426, 83, 16, 49, 12, 13.407, 12.753
Wed Apr 19 14:10:05 EDT 2017, 2272, 0.530, 6301, 9, 0.730, 576, 38, 7, 24, 57, 6.303, 6.573
Wed Apr 19 14:10:13 EDT 2017, 1654, 0.460, 677, 7, 0.540, 595, 32, 15, 34, 29, 8.173, 7.883
Wed Apr 19 14:10:30 EDT 2017, 6604, 0.960, 5676, 3, 0.040, 445, 77, 6, 9, 74, 14.937, 15.940
Wed Apr 19 14:11:37 EDT 2017, 9079, 0.210, 8176, 9, 0.290, 520, 99, 10, 46, 96, 59.877, 57.200
Wed Apr 19 14:11:39 EDT 2017, 4129, 0.710, 3176, 5, 0.790, 370, 54, 1, 21, 51, 1.383, 1.473
Wed Apr 19 14:11:44 EDT 2017, 2891, 0.090, 6926, 6, 0.420, 333, 21, 8, 27, 85, 4.810, 5.007
Wed Apr 19 14:12:00 EDT 2017, 7841, 0.590, 1927, 2, 0.920, 483, 66, 17, 2, 40, 15.063, 9.880
Wed Apr 19 14:12:02 EDT 2017, 5366, 0.340, 4426, 8, 0.670, 408, 88, 3, 40, 18, 2.317, 2.410
Wed Apr 19 14:12:21 EDT 2017, 416, 0.840, 9426, 4, 0.170, 558, 43, 13, 15, 63, 18.213, 17.960
Wed Apr 19 14:12:27 EDT 2017, 571, 0.070, 208, 9, 0.900, 356, 90, 5, 38, 33, 5.483, 5.597
Wed Apr 19 14:12:49 EDT 2017, 5521, 0.570, 5207, 5, 0.400, 506, 45, 15, 13, 78, 20.897, 19.127
Wed Apr 19 14:12:50 EDT 2017, 7996, 0.320, 7707, 7, 0.150, 431, 22, 1, 25, 56, 0.690, 0.673
Wed Apr 19 14:12:53 EDT 2017, 3046, 0.820, 2708, 2, 0.650, 581, 67, 10, 0, 11, 2.340, 1.803
Wed Apr 19 14:13:49 EDT 2017, 4283, 0.450, 6457, 8, 0.020, 543, 78, 17, 44, 67, 55.683, 56.277
Wed Apr 19 14:13:52 EDT 2017, 9233, 0.950, 1458, 3, 0.520, 393, 33, 8, 19, 22, 2.877, 2.753
Wed Apr 19 14:13:55 EDT 2017, 6758, 0.200, 3958, 6, 0.770, 468, 11, 12, 31, 44, 2.870, 2.670
Wed Apr 19 14:14:03 EDT 2017, 1808, 0.700, 8957, 1, 0.270, 318, 56, 3, 6, 89, 7.050, 7.503
Wed Apr 19 14:14:41 EDT 2017, 2427, 0.260, 3333, 3, 0.460, 300, 95, 14, 47, 39, 36.410, 34.767
Wed Apr 19 14:14:49 EDT 2017, 7377, 0.760, 8332, 7, 0.960, 450, 50, 4, 22, 84, 6.737, 7.237
Wed Apr 19 14:15:23 EDT 2017, 9852, 0.010, 5832, 1, 0.710, 375, 28, 18, 34, 61, 33.320, 29.933
Wed Apr 19 14:15:26 EDT 2017, 4902, 0.510, 833, 5, 0.210, 525, 73, 9, 9, 16, 3.447, 3.413
Wed Apr 19 14:15:42 EDT 2017, 3665, 0.140, 9582, 4, 0.590, 562, 84, 2, 41, 72, 13.577, 14.887
Wed Apr 19 14:15:45 EDT 2017, 8615, 0.640, 4583, 8, 0.090, 412, 39, 11, 16, 27, 2.800, 3.027
Wed Apr 19 14:15:50 EDT 2017, 6140, 0.390, 2083, 2, 0.340, 487, 16, 6, 28, 50, 4.537, 4.403
Wed Apr 19 14:16:04 EDT 2017, 1190, 0.890, 7082, 6, 0.840, 337, 61, 16, 3, 95, 13.927, 11.920
Wed Apr 19 14:16:06 EDT 2017, 880, 0.420, 8645, 6, 0.680, 422, 47, 12, 2, 25, 2.200, 2.253
Wed Apr 19 14:16:30 EDT 2017, 5830, 0.920, 3645, 1, 0.180, 572, 92, 2, 27, 70, 21.130, 23.333
Wed Apr 19 14:16:53 EDT 2017, 8305, 0.170, 1145, 8, 0.430, 347, 70, 17, 14, 92, 21.800, 21.930
Wed Apr 19 14:16:59 EDT 2017, 3355, 0.670, 6145, 4, 0.930, 497, 25, 7, 39, 47, 6.677, 6.670
Wed Apr 19 14:17:04 EDT 2017, 4593, 0.040, 4895, 7, 0.310, 459, 36, 5, 8, 81, 4.003, 4.207
Wed Apr 19 14:17:26 EDT 2017, 9543, 0.540, 9895, 3, 0.810, 309, 81, 14, 33, 36, 22.027, 20.887
Wed Apr 19 14:17:29 EDT 2017, 7068, 0.290, 7395, 9, 0.560, 534, 59, 9, 20, 13, 2.317, 2.360
Wed Apr 19 14:17:38 EDT 2017, 2118, 0.790, 2395, 5, 0.060, 384, 14, 19, 45, 58, 9.290, 8.813
Wed Apr 19 14:17:45 EDT 2017, 1499, 0.230, 5520, 2, 0.240, 403, 53, 8, 11, 30, 6.480, 6.427
Wed Apr 19 14:19:10 EDT 2017, 6449, 0.730, 520, 7, 0.740, 553, 98, 18, 36, 75, 81.037, 76.880
Wed Apr 19 14:19:20 EDT 2017, 8924, 0.480, 3020, 4, 0.990, 328, 76, 3, 23, 98, 9.930, 10.343
Wed Apr 19 14:19:32 EDT 2017, 3974, 0.980, 8020, 9, 0.490, 478, 31, 13, 48, 53, 11.477, 11.247
Wed Apr 19 14:20:08 EDT 2017, 2736, 0.360, 1770, 1, 0.870, 515, 42, 15, 5, 87, 34.620, 22.877
Wed Apr 19 14:20:19 EDT 2017, 7686, 0.860, 6770, 5, 0.370, 365, 87, 6, 30, 42, 10.430, 10.620
Wed Apr 19 14:20:29 EDT 2017, 5211, 0.110, 9270, 3, 0.120, 590, 64, 11, 17, 19, 9.260, 8.837
Wed Apr 19 14:20:30 EDT 2017, 261, 0.610, 4270, 8, 0.620, 440, 19, 1, 42, 64, 0.853, 0.827
Wed Apr 19 14:20:33 EDT 2017, 339, 0.210, 9191, 6, 0.390, 386, 78, 7, 20, 16, 2.877, 3.003
Wed Apr 19 14:21:23 EDT 2017, 5289, 0.710, 4192, 2, 0.890, 536, 33, 17, 45, 61, 49.250, 45.690
Wed Apr 19 14:21:23 EDT 2017, 7764, 0.460, 1692, 9, 0.640, 311, 10, 3, 7, 83, 0.443, 0.467
Wed Apr 19 14:21:41 EDT 2017, 2814, 0.960, 6692, 4, 0.140, 461, 55, 12, 32, 38, 16.950, 16.377
Wed Apr 19 14:22:48 EDT 2017, 4051, 0.330, 2942, 5, 0.520, 499, 89, 19, 14, 94, 64.983, 59.113
Wed Apr 19 14:23:13 EDT 2017, 9001, 0.830, 7942, 1, 0.020, 349, 44, 10, 39, 49, 25.050, 24.257
Wed Apr 19 14:23:15 EDT 2017, 6526, 0.080, 5442, 8, 0.270, 574, 21, 15, 1, 27, 1.463, 1.347
Wed Apr 19 14:23:32 EDT 2017, 1576, 0.580, 442, 3, 0.770, 424, 66, 5, 26, 72, 15.843, 16.567
Wed Apr 19 14:23:40 EDT 2017, 2195, 0.390, 7317, 1, 0.950, 443, 83, 13, 17, 10, 8.510, 7.177
Wed Apr 19 14:23:48 EDT 2017, 7145, 0.890, 2317, 6, 0.450, 593, 38, 4, 42, 55, 6.977, 7.180
