# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Mon Jan  9 10:44:20 EST 2017, 2275, 0.090, 5, 0.450, 400, 69, 1, 32, 77, 9.170, 10.190
Mon Jan  9 10:44:22 EST 2017, 7225, 0.590, 1, 0.950, 550, 24, 10, 7, 32, 2.423, 2.193
Mon Jan  9 10:46:30 EST 2017, 9700, 0.340, 3, 0.200, 475, 91, 15, 44, 55, 127.000, 115.100
Mon Jan  9 10:46:32 EST 2017, 4750, 0.840, 8, 0.700, 325, 46, 6, 19, 10, 1.970, 1.883
Mon Jan  9 10:46:37 EST 2017, 3512, 0.470, 2, 0.330, 512, 35, 3, 0, 88, 3.903, 4.347
Mon Jan  9 10:47:22 EST 2017, 8462, 0.970, 7, 0.830, 362, 80, 13, 25, 43, 44.907, 40.243
Mon Jan  9 10:47:35 EST 2017, 5987, 0.220, 9, 0.080, 437, 13, 18, 13, 66, 12.477, 11.110
Mon Jan  9 10:47:54 EST 2017, 1037, 0.720, 4, 0.580, 587, 58, 8, 38, 21, 18.767, 17.860
Mon Jan  9 10:48:09 EST 2017, 728, 0.190, 1, 0.670, 466, 77, 12, 27, 29, 15.327, 14.910
Mon Jan  9 10:48:12 EST 2017, 5678, 0.690, 5, 0.170, 316, 32, 3, 2, 74, 2.703, 2.677
Mon Jan  9 10:48:42 EST 2017, 8153, 0.440, 7, 0.920, 391, 55, 7, 39, 52, 29.623, 28.050
Mon Jan  9 10:48:56 EST 2017, 3203, 0.940, 3, 0.420, 541, 10, 17, 14, 97, 13.653, 12.030
Mon Jan  9 10:48:59 EST 2017, 4440, 0.310, 6, 0.550, 428, 21, 15, 8, 18, 3.123, 2.737
Mon Jan  9 10:49:29 EST 2017, 9390, 0.810, 2, 0.050, 578, 66, 5, 33, 63, 28.713, 28.367
Mon Jan  9 10:49:49 EST 2017, 6915, 0.060, 4, 0.800, 503, 44, 10, 21, 41, 19.507, 18.020
Mon Jan  9 10:54:35 EST 2017, 1965, 0.560, 9, 0.300, 353, 89, 19, 46, 86, 253.010, 213.440
Mon Jan  9 10:54:44 EST 2017, 1347, 0.370, 3, 0.110, 334, 94, 11, 24, 12, 8.813, 8.313
Mon Jan  9 10:54:51 EST 2017, 6297, 0.870, 8, 0.610, 484, 49, 1, 49, 57, 6.860, 7.110
Mon Jan  9 10:55:07 EST 2017, 8772, 0.120, 6, 0.360, 559, 72, 6, 11, 35, 14.760, 13.787
Mon Jan  9 10:55:28 EST 2017, 3822, 0.620, 1, 0.860, 409, 27, 16, 36, 80, 21.120, 19.903
Mon Jan  9 10:55:39 EST 2017, 2584, 0.000, 9, 0.230, 597, 15, 13, 43, 24, 11.210, 10.750
Mon Jan  9 10:55:57 EST 2017, 7534, 0.500, 5, 0.730, 447, 60, 4, 18, 69, 16.963, 15.937
Mon Jan  9 10:56:09 EST 2017, 5059, 0.250, 2, 0.480, 372, 38, 9, 30, 46, 12.293, 11.607
Mon Jan  9 10:57:46 EST 2017, 109, 0.750, 7, 0.980, 522, 83, 18, 5, 91, 94.017, 68.513
Mon Jan  9 10:59:16 EST 2017, 114, 0.370, 8, 0.650, 483, 74, 17, 41, 38, 89.223, 85.740
Mon Jan  9 10:59:26 EST 2017, 5064, 0.870, 3, 0.150, 333, 29, 7, 16, 83, 9.933, 9.357
Mon Jan  9 10:59:27 EST 2017, 7539, 0.120, 1, 0.900, 408, 97, 2, 28, 15, 1.580, 1.633
Mon Jan  9 10:59:56 EST 2017, 2589, 0.620, 6, 0.400, 558, 52, 12, 3, 60, 25.493, 19.450
