# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Mon Jan  9 11:13:12 EST 2017, 4305, 0.390, 4, 0.570, 507, 28, 16, 18, 24, 12.720, 11.497
Mon Jan  9 11:14:17 EST 2017, 9255, 0.890, 8, 0.070, 357, 73, 7, 43, 69, 65.500, 63.130
Mon Jan  9 11:14:22 EST 2017, 6780, 0.140, 6, 0.820, 432, 50, 2, 6, 47, 4.053, 4.120
Mon Jan  9 11:16:59 EST 2017, 1830, 0.640, 2, 0.320, 582, 95, 11, 31, 92, 156.277, 143.247
Mon Jan  9 11:17:47 EST 2017, 2449, 0.320, 6, 0.010, 526, 90, 17, 9, 30, 47.627, 39.277
Mon Jan  9 11:18:06 EST 2017, 7399, 0.820, 1, 0.510, 376, 45, 8, 34, 75, 18.623, 18.333
Mon Jan  9 11:18:15 EST 2017, 9874, 0.070, 3, 0.260, 301, 67, 3, 22, 52, 8.990, 8.980
Mon Jan  9 11:19:23 EST 2017, 4924, 0.570, 8, 0.760, 451, 22, 13, 47, 97, 67.723, 63.653
Mon Jan  9 11:19:26 EST 2017, 3686, 0.200, 2, 0.130, 338, 11, 15, 28, 19, 2.530, 2.493
Mon Jan  9 11:19:42 EST 2017, 8636, 0.700, 7, 0.630, 488, 56, 6, 3, 64, 15.493, 12.913
Mon Jan  9 11:19:46 EST 2017, 6161, 0.450, 9, 0.380, 563, 33, 1, 40, 41, 4.090, 4.230
Mon Jan  9 11:20:53 EST 2017, 1211, 0.950, 4, 0.880, 413, 78, 10, 15, 86, 65.197, 54.333
Mon Jan  9 11:21:04 EST 2017, 902, 0.480, 1, 0.850, 329, 59, 10, 4, 78, 10.880, 9.590
Mon Jan  9 11:21:18 EST 2017, 5852, 0.980, 6, 0.350, 479, 14, 19, 29, 33, 14.343, 13.887
Mon Jan  9 11:22:58 EST 2017, 8327, 0.230, 8, 0.600, 554, 81, 14, 17, 55, 98.397, 81.263
Mon Jan  9 11:23:02 EST 2017, 3377, 0.730, 4, 0.100, 404, 36, 5, 42, 10, 3.333, 3.247
Mon Jan  9 11:24:20 EST 2017, 4614, 0.110, 7, 0.970, 592, 48, 7, 36, 89, 76.330, 72.787
Mon Jan  9 11:25:08 EST 2017, 9564, 0.610, 2, 0.470, 442, 93, 17, 11, 44, 46.483, 39.603
Mon Jan  9 11:25:45 EST 2017, 7089, 0.360, 5, 0.720, 367, 25, 12, 48, 66, 36.913, 35.387
Mon Jan  9 11:25:53 EST 2017, 2139, 0.860, 9, 0.220, 517, 70, 3, 23, 21, 7.730, 7.780
Mon Jan  9 11:27:48 EST 2017, 1521, 0.170, 3, 0.410, 460, 76, 8, 45, 94, 111.997, 107.957
Mon Jan  9 11:28:12 EST 2017, 6471, 0.670, 8, 0.910, 310, 31, 18, 20, 49, 23.433, 21.163
Mon Jan  9 11:30:38 EST 2017, 8946, 0.420, 5, 0.160, 385, 98, 13, 32, 72, 143.937, 127.457
Mon Jan  9 11:30:41 EST 2017, 3996, 0.920, 1, 0.660, 535, 53, 4, 7, 27, 2.537, 2.573
Mon Jan  9 11:31:04 EST 2017, 2758, 0.290, 9, 0.290, 423, 42, 6, 14, 83, 22.567, 20.730
Mon Jan  9 11:33:13 EST 2017, 7708, 0.790, 4, 0.790, 573, 87, 16, 39, 38, 128.327, 117.083
Mon Jan  9 11:33:18 EST 2017, 5233, 0.040, 2, 0.040, 498, 19, 11, 1, 61, 5.047, 4.403
Mon Jan  9 11:33:20 EST 2017, 283, 0.540, 6, 0.540, 348, 64, 1, 26, 16, 1.393, 1.383
Mon Jan  9 11:35:37 EST 2017, 361, 0.140, 2, 0.900, 547, 71, 16, 43, 67, 134.073, 127.727
Mon Jan  9 11:35:41 EST 2017, 5311, 0.640, 7, 0.400, 397, 26, 7, 18, 22, 4.283, 4.087
Mon Jan  9 11:36:06 EST 2017, 7786, 0.390, 9, 0.650, 322, 93, 2, 31, 90, 24.617, 24.823
Mon Jan  9 11:36:24 EST 2017, 2836, 0.890, 4, 0.150, 472, 48, 11, 6, 45, 17.233, 14.437
Mon Jan  9 11:37:07 EST 2017, 4073, 0.270, 6, 0.780, 360, 37, 18, 24, 56, 42.700, 38.413
