# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Mon Jan  9 09:24:26 EST 2017, 2275, 0.090, 5, 0.450, 400, 69, 1, 32, 77, 11.357, 12.283
Mon Jan  9 09:24:29 EST 2017, 7225, 0.590, 1, 0.950, 550, 24, 10, 7, 32, 3.060, 2.783
Mon Jan  9 09:27:03 EST 2017, 9700, 0.340, 3, 0.200, 475, 91, 15, 44, 55, 153.637, 137.990
Mon Jan  9 09:27:06 EST 2017, 4750, 0.840, 8, 0.700, 325, 46, 6, 19, 10, 2.493, 2.420
Mon Jan  9 09:27:12 EST 2017, 3512, 0.470, 2, 0.330, 512, 35, 3, 0, 88, 4.703, 5.340
Mon Jan  9 09:28:07 EST 2017, 8462, 0.970, 7, 0.830, 362, 80, 13, 25, 43, 54.967, 47.913
Mon Jan  9 09:28:23 EST 2017, 5987, 0.220, 9, 0.080, 437, 13, 18, 13, 66, 15.350, 12.690
Mon Jan  9 09:28:46 EST 2017, 1037, 0.720, 4, 0.580, 587, 58, 8, 38, 21, 23.067, 22.047
Mon Jan  9 09:29:05 EST 2017, 728, 0.190, 1, 0.670, 466, 77, 12, 27, 29, 18.663, 18.337
Mon Jan  9 09:29:09 EST 2017, 5678, 0.690, 5, 0.170, 316, 32, 3, 2, 74, 3.240, 3.317
Mon Jan  9 09:29:46 EST 2017, 8153, 0.440, 7, 0.920, 391, 55, 7, 39, 52, 36.160, 33.877
Mon Jan  9 09:30:03 EST 2017, 3203, 0.940, 3, 0.420, 541, 10, 17, 14, 97, 16.717, 13.850
Mon Jan  9 09:30:07 EST 2017, 4440, 0.310, 6, 0.550, 428, 21, 15, 8, 18, 3.923, 3.300
Mon Jan  9 09:30:42 EST 2017, 9390, 0.810, 2, 0.050, 578, 66, 5, 33, 63, 34.470, 34.300
Mon Jan  9 09:31:05 EST 2017, 6915, 0.060, 4, 0.800, 503, 44, 10, 21, 41, 23.543, 21.427
Mon Jan  9 09:35:51 EST 2017, 1965, 0.560, 9, 0.300, 353, 89, 19, 46, 86, 281.190, 255.273
Mon Jan  9 09:36:03 EST 2017, 1347, 0.370, 3, 0.110, 334, 94, 11, 24, 12, 10.887, 9.997
Mon Jan  9 09:36:12 EST 2017, 6297, 0.870, 8, 0.610, 484, 49, 1, 49, 57, 8.480, 8.987
Mon Jan  9 09:36:30 EST 2017, 8772, 0.120, 6, 0.360, 559, 72, 6, 11, 35, 17.877, 16.307
Mon Jan  9 09:36:57 EST 2017, 3822, 0.620, 1, 0.860, 409, 27, 16, 36, 80, 25.957, 24.840
Mon Jan  9 09:37:11 EST 2017, 2584, 0.000, 9, 0.230, 597, 15, 13, 43, 24, 13.887, 13.160
Mon Jan  9 09:37:31 EST 2017, 7534, 0.500, 5, 0.730, 447, 60, 4, 18, 69, 20.627, 19.450
Mon Jan  9 09:37:47 EST 2017, 5059, 0.250, 2, 0.480, 372, 38, 9, 30, 46, 14.937, 14.030
Mon Jan  9 09:39:42 EST 2017, 109, 0.750, 7, 0.980, 522, 83, 18, 5, 91, 110.423, 75.967
Mon Jan  9 09:41:31 EST 2017, 114, 0.370, 8, 0.650, 483, 74, 17, 41, 38, 107.873, 101.787
Mon Jan  9 09:41:44 EST 2017, 5064, 0.870, 3, 0.150, 333, 29, 7, 16, 83, 12.193, 11.177
Mon Jan  9 09:41:46 EST 2017, 7539, 0.120, 1, 0.900, 408, 97, 2, 28, 15, 2.000, 2.177
Mon Jan  9 09:42:17 EST 2017, 2589, 0.620, 6, 0.400, 558, 52, 12, 3, 60, 28.910, 21.607
Mon Jan  9 09:43:07 EST 2017, 3827, 0.000, 5, 0.520, 446, 41, 19, 22, 49, 49.410, 42.867
Mon Jan  9 09:47:19 EST 2017, 8777, 0.500, 9, 0.020, 596, 86, 9, 47, 94, 245.537, 228.657
Mon Jan  9 09:47:21 EST 2017, 6302, 0.250, 7, 0.770, 521, 18, 5, 10, 26, 2.487, 2.287
Mon Jan  9 09:48:28 EST 2017, 1352, 0.750, 2, 0.270, 371, 63, 14, 35, 71, 66.323, 61.860
Mon Jan  9 09:48:55 EST 2017, 1970, 0.180, 5, 0.090, 314, 58, 15, 7, 54, 25.983, 19.420
Mon Jan  9 09:49:02 EST 2017, 6920, 0.680, 1, 0.590, 464, 13, 6, 32, 99, 6.293, 6.173
Mon Jan  9 09:49:06 EST 2017, 9395, 0.430, 3, 0.340, 539, 80, 1, 19, 32, 4.020, 4.413
