# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Mon Jan  9 09:24:57 EST 2017, 1187, 0.080, 3, 0.620, 493, 87, 2, 47, 90, 39.323, 41.233
Mon Jan  9 09:25:20 EST 2017, 6137, 0.580, 8, 0.120, 343, 42, 11, 22, 45, 22.437, 20.260
Mon Jan  9 09:27:13 EST 2017, 8612, 0.330, 5, 0.870, 418, 64, 16, 35, 67, 113.063, 106.087
Mon Jan  9 09:27:15 EST 2017, 3662, 0.830, 1, 0.370, 568, 19, 6, 10, 22, 1.307, 1.280
Mon Jan  9 09:27:25 EST 2017, 4900, 0.450, 9, 0.740, 381, 31, 4, 16, 78, 9.877, 9.623
Mon Jan  9 09:28:41 EST 2017, 9850, 0.950, 4, 0.240, 531, 76, 13, 41, 33, 74.520, 69.980
Mon Jan  9 09:29:05 EST 2017, 7375, 0.200, 2, 0.990, 456, 53, 18, 3, 56, 24.160, 15.463
Mon Jan  9 09:29:16 EST 2017, 2425, 0.700, 7, 0.490, 306, 98, 9, 28, 11, 10.610, 9.923
Mon Jan  9 09:29:25 EST 2017, 1806, 0.260, 1, 0.180, 362, 93, 3, 0, 84, 7.210, 8.390
Mon Jan  9 09:30:03 EST 2017, 6756, 0.760, 6, 0.680, 512, 48, 12, 25, 39, 37.793, 33.647
Mon Jan  9 09:31:53 EST 2017, 9231, 0.010, 8, 0.430, 587, 70, 17, 13, 61, 108.933, 81.943
Mon Jan  9 09:31:59 EST 2017, 4281, 0.510, 4, 0.930, 437, 25, 8, 38, 16, 5.560, 5.303
Mon Jan  9 09:32:14 EST 2017, 3043, 0.140, 7, 0.050, 550, 14, 5, 32, 95, 15.083, 14.397
Mon Jan  9 09:32:41 EST 2017, 7993, 0.640, 3, 0.550, 400, 59, 15, 7, 50, 26.480, 21.090
Mon Jan  9 09:34:00 EST 2017, 5518, 0.390, 5, 0.300, 325, 36, 19, 44, 73, 78.787, 72.520
Mon Jan  9 09:34:29 EST 2017, 568, 0.890, 9, 0.800, 475, 81, 10, 19, 28, 29.020, 27.623
Mon Jan  9 09:34:44 EST 2017, 414, 0.150, 1, 0.380, 404, 21, 15, 25, 77, 13.937, 13.073
Mon Jan  9 09:34:51 EST 2017, 5364, 0.650, 6, 0.880, 554, 66, 5, 0, 32, 6.753, 5.143
Mon Jan  9 09:35:05 EST 2017, 7839, 0.400, 8, 0.130, 479, 43, 1, 37, 99, 10.633, 12.423
Mon Jan  9 09:35:35 EST 2017, 2889, 0.900, 3, 0.630, 329, 88, 10, 12, 54, 30.070, 25.450
Mon Jan  9 09:37:06 EST 2017, 4126, 0.280, 7, 0.260, 517, 77, 17, 6, 66, 86.980, 57.450
Mon Jan  9 09:37:12 EST 2017, 9076, 0.780, 2, 0.760, 367, 32, 8, 31, 21, 5.160, 4.870
Mon Jan  9 09:37:30 EST 2017, 6601, 0.030, 4, 0.010, 442, 55, 3, 18, 88, 17.870, 18.493
Mon Jan  9 09:37:46 EST 2017, 1651, 0.530, 9, 0.510, 592, 10, 13, 43, 43, 16.103, 15.477
Mon Jan  9 09:38:07 EST 2017, 2270, 0.470, 4, 0.820, 535, 15, 16, 21, 60, 19.860, 17.457
Mon Jan  9 09:38:20 EST 2017, 7220, 0.970, 8, 0.320, 385, 60, 7, 46, 15, 12.783, 12.497
Mon Jan  9 09:38:25 EST 2017, 9695, 0.220, 6, 0.570, 310, 38, 2, 9, 82, 4.593, 4.673
Mon Jan  9 09:39:09 EST 2017, 4745, 0.720, 2, 0.070, 460, 83, 11, 34, 37, 44.273, 41.713
Mon Jan  9 09:42:50 EST 2017, 3507, 0.090, 9, 0.940, 348, 94, 19, 40, 71, 214.973, 190.930
Mon Jan  9 09:43:03 EST 2017, 8457, 0.590, 5, 0.440, 498, 49, 9, 15, 26, 13.167, 11.817
Mon Jan  9 09:43:52 EST 2017, 5982, 0.340, 3, 0.690, 573, 71, 4, 28, 94, 48.787, 48.200
Mon Jan  9 09:44:02 EST 2017, 1032, 0.840, 7, 0.190, 423, 26, 14, 3, 49, 9.743, 7.400
Mon Jan  9 09:44:17 EST 2017, 723, 0.310, 8, 0.040, 320, 52, 6, 17, 52, 13.880, 13.467
Mon Jan  9 09:49:57 EST 2017, 5673, 0.810, 4, 0.540, 470, 97, 16, 42, 97, 331.760, 291.287
Mon Jan  9 09:50:00 EST 2017, 8148, 0.060, 1, 0.290, 545, 29, 11, 4, 29, 3.243, 2.860
Mon Jan  9 09:50:11 EST 2017, 3198, 0.560, 6, 0.790, 395, 74, 1, 29, 74, 9.680, 10.450
Mon Jan  9 09:51:13 EST 2017, 4436, 0.180, 5, 0.160, 582, 63, 8, 48, 40, 60.537, 58.740
Mon Jan  9 09:51:51 EST 2017, 9386, 0.680, 9, 0.660, 432, 18, 18, 23, 85, 37.627, 33.343
