# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Tue Jan 10 18:01:21 EST 2017, 873, 0.230, 3, 0.980, 595, 98, 16, 22, 42, 29.423, 29.133
Tue Jan 10 18:05:47 EST 2017, 5823, 0.730, 9, 0.480, 445, 53, 6, 47, 87, 32.497, 40.097
Tue Jan 10 18:09:03 EST 2017, 8298, 0.480, 6, 0.730, 370, 76, 1, 10, 19, 0.680, 0.670
Tue Jan 10 18:11:04 EST 2017, 3348, 0.980, 0, 0.230, 520, 31, 11, 35, 64, 0.100, 0.100
Tue Jan 10 18:13:16 EST 2017, 4585, 0.350, 10, 0.850, 332, 19, 18, 41, 53, 10.503, 10.687
Tue Jan 10 18:22:55 EST 2017, 9535, 0.850, 4, 0.350, 482, 64, 9, 16, 98, 47.393, 0.000
Tue Jan 10 18:24:26 EST 2017, 7060, 0.100, 1, 0.600, 557, 42, 4, 28, 31, 1.633, 1.610
Tue Jan 10 18:31:08 EST 2017, 2110, 0.600, 7, 0.100, 407, 87, 13, 3, 76, 31.290, 0.000
Tue Jan 10 18:34:16 EST 2017, 1492, 0.420, 0, 0.290, 426, 81, 17, 25, 47, 34.847, 38.230
Tue Jan 10 18:35:11 EST 2017, 6442, 0.920, 6, 0.790, 576, 36, 7, 0, 92, 9.583, 28.237
Tue Jan 10 18:35:42 EST 2017, 8917, 0.170, 9, 0.040, 501, 59, 3, 38, 25, 3.610, 3.710
Tue Jan 10 18:37:48 EST 2017, 3967, 0.670, 3, 0.540, 351, 14, 12, 13, 70, 5.010, 6.490
Tue Jan 10 18:39:49 EST 2017, 2729, 0.040, 8, 0.420, 464, 25, 19, 7, 36, 4.250, 4.370
Tue Jan 10 18:42:24 EST 2017, 7679, 0.540, 2, 0.920, 314, 70, 10, 32, 81, 19.190, 19.120
Tue Jan 10 18:44:01 EST 2017, 5204, 0.290, 5, 0.170, 389, 47, 5, 19, 14, 1.500, 1.547
Tue Jan 10 18:47:48 EST 2017, 254, 0.790, 11, 0.670, 539, 92, 14, 44, 59, 102.513, 107.073
Tue Jan 10 18:48:18 EST 2017, 332, 0.390, 5, 0.800, 363, 88, 8, 34, 31, 11.607, 11.490
Tue Jan 10 18:57:51 EST 2017, 5282, 0.890, 11, 0.300, 513, 43, 18, 9, 76, 38.527, 0.000
Tue Jan 10 19:02:57 EST 2017, 7757, 0.140, 8, 0.550, 588, 65, 13, 47, 54, 44.160, 44.927
Tue Jan 10 19:06:18 EST 2017, 2807, 0.640, 2, 0.050, 438, 20, 3, 22, 99, 3.603, 3.740
Tue Jan 10 19:08:19 EST 2017, 4044, 0.020, 9, 0.920, 550, 31, 6, 3, 20, 0.860, 0.827
Tue Jan 10 19:13:10 EST 2017, 8994, 0.520, 3, 0.420, 400, 76, 15, 28, 65, 48.217, 107.683
Tue Jan 10 19:14:36 EST 2017, 6519, 0.270, 0, 0.670, 325, 54, 10, 16, 43, 6.643, 6.557
Tue Jan 10 19:16:47 EST 2017, 1569, 0.770, 6, 0.170, 475, 99, 1, 41, 88, 11.840, 11.723
Tue Jan 10 19:20:38 EST 2017, 2188, 0.210, 1, 0.490, 494, 93, 9, 12, 14, 2.010, 1.843
Tue Jan 10 19:22:19 EST 2017, 7138, 0.710, 7, 0.990, 344, 48, 19, 37, 59, 34.837, 36.163
Tue Jan 10 19:26:40 EST 2017, 9613, 0.460, 10, 0.240, 419, 71, 14, 0, 37, 7.583, 99.313
Tue Jan 10 19:29:02 EST 2017, 4663, 0.960, 4, 0.740, 569, 26, 5, 25, 82, 10.267, 7.523
Tue Jan 10 19:32:13 EST 2017, 3425, 0.330, 6, 0.360, 382, 14, 7, 44, 26, 2.387, 2.207
Tue Jan 10 19:35:09 EST 2017, 8375, 0.830, 0, 0.860, 532, 59, 16, 19, 71, 50.207, 54.663
Tue Jan 10 19:36:30 EST 2017, 5900, 0.080, 3, 0.110, 457, 37, 12, 31, 48, 9.077, 10.007
Tue Jan 10 19:38:25 EST 2017, 950, 0.580, 9, 0.610, 307, 82, 2, 6, 93, 4.947, 4.797
Tue Jan 10 19:41:11 EST 2017, 1260, 0.110, 7, 0.640, 447, 57, 18, 20, 96, 39.617, 45.830
Tue Jan 10 19:44:37 EST 2017, 6210, 0.610, 1, 0.140, 597, 12, 9, 45, 51, 6.477, 8.717
Tue Jan 10 19:46:38 EST 2017, 8685, 0.360, 4, 0.890, 522, 79, 4, 8, 73, 7.997, 7.907
Tue Jan 10 19:48:34 EST 2017, 3735, 0.860, 10, 0.390, 372, 34, 13, 33, 28, 0.193, 0.103
Tue Jan 10 19:52:36 EST 2017, 4972, 0.490, 0, 0.520, 485, 45, 16, 39, 85, 56.383, 82.530
Tue Jan 10 19:54:42 EST 2017, 9922, 0.990, 6, 0.020, 335, 90, 6, 14, 40, 0.100, 0.103
Tue Jan 10 19:56:43 EST 2017, 7447, 0.240, 9, 0.770, 410, 23, 2, 26, 62, 1.700, 1.583
Tue Jan 10 19:58:54 EST 2017, 2497, 0.740, 3, 0.270, 560, 68, 11, 1, 17, 9.183, 5.757
Tue Jan 10 20:04:41 EST 2017, 1878, 0.300, 11, 0.080, 578, 73, 19, 30, 79, 91.277, 192.730
Tue Jan 10 20:05:52 EST 2017, 6828, 0.800, 5, 0.580, 428, 28, 10, 5, 34, 3.877, 4.283
Tue Jan 10 20:07:59 EST 2017, 9303, 0.050, 2, 0.330, 353, 96, 5, 42, 57, 9.163, 9.170
Tue Jan 10 20:09:54 EST 2017, 4353, 0.550, 8, 0.830, 503, 51, 15, 17, 12, 4.880, 5.220
Tue Jan 10 20:16:17 EST 2017, 3116, 0.170, 4, 0.210, 316, 40, 17, 11, 90, 13.083, 261.357
Tue Jan 10 20:17:22 EST 2017, 8066, 0.670, 10, 0.710, 466, 85, 7, 36, 45, 24.917, 24.877
Tue Jan 10 20:21:03 EST 2017, 5591, 0.420, 7, 0.460, 541, 17, 3, 23, 68, 2.973, 3.103
Tue Jan 10 20:23:09 EST 2017, 641, 0.920, 1, 0.960, 391, 62, 12, 48, 23, 7.820, 7.670
Tue Jan 10 20:25:10 EST 2017, 486, 0.130, 11, 0.350, 452, 52, 3, 5, 69, 3.083, 3.040
Tue Jan 10 20:27:25 EST 2017, 5436, 0.630, 5, 0.850, 302, 97, 13, 30, 24, 13.830, 15.047
Tue Jan 10 20:35:48 EST 2017, 7911, 0.380, 2, 0.100, 377, 30, 17, 18, 92, 22.257, 0.000
Tue Jan 10 20:39:04 EST 2017, 2961, 0.880, 8, 0.600, 527, 75, 8, 43, 47, 39.057, 40.473
Tue Jan 10 20:42:26 EST 2017, 4199, 0.250, 3, 0.470, 414, 64, 1, 37, 58, 2.280, 2.350
Tue Jan 10 20:44:26 EST 2017, 9149, 0.750, 9, 0.970, 564, 19, 10, 12, 13, 1.487, 1.473
Tue Jan 10 20:47:52 EST 2017, 6674, 0.000, 6, 0.220, 489, 86, 15, 49, 81, 72.873, 84.477
Tue Jan 10 20:50:34 EST 2017, 1724, 0.500, 0, 0.720, 339, 41, 5, 24, 36, 3.483, 3.460
Tue Jan 10 20:52:39 EST 2017, 2342, 0.440, 8, 0.910, 321, 36, 4, 46, 64, 6.173, 6.147
Tue Jan 10 20:55:00 EST 2017, 7292, 0.940, 2, 0.410, 471, 81, 14, 21, 19, 21.397, 20.663
Tue Jan 10 20:58:57 EST 2017, 9767, 0.190, 5, 0.660, 546, 13, 18, 33, 86, 14.427, 16.040
Tue Jan 10 21:01:47 EST 2017, 4817, 0.690, 11, 0.160, 396, 58, 9, 8, 41, 8.567, 9.567
