# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jan  9 11:33:06 EST 2017, 1661, 0.280, 4, 0.490, 380, 83, 6, 49, 74, 92.877, 93.683
Mon Jan  9 11:33:44 EST 2017, 6611, 0.780, 8, 0.990, 530, 38, 16, 24, 29, 31.593, 34.813
Mon Jan  9 11:36:46 EST 2017, 9086, 0.030, 6, 0.240, 455, 60, 11, 36, 97, 139.230, 171.143
Mon Jan  9 11:36:47 EST 2017, 4136, 0.530, 1, 0.740, 305, 15, 2, 11, 52, 0.667, 0.587
Mon Jan  9 11:37:25 EST 2017, 2898, 0.150, 9, 0.370, 492, 27, 9, 18, 63, 24.293, 28.770
Mon Jan  9 11:38:16 EST 2017, 7848, 0.650, 5, 0.870, 342, 72, 18, 43, 18, 45.300, 46.763
Mon Jan  9 11:39:09 EST 2017, 5373, 0.400, 3, 0.120, 417, 49, 14, 5, 85, 45.823, 48.440
Mon Jan  9 11:39:51 EST 2017, 423, 0.900, 7, 0.620, 567, 94, 4, 30, 40, 38.710, 40.157
Mon Jan  9 11:40:14 EST 2017, 578, 0.140, 3, 0.200, 347, 20, 11, 23, 87, 17.807, 21.280
Mon Jan  9 11:40:35 EST 2017, 5528, 0.640, 8, 0.700, 497, 65, 2, 48, 42, 17.747, 18.270
Mon Jan  9 11:41:10 EST 2017, 8003, 0.390, 6, 0.450, 572, 42, 7, 11, 64, 28.487, 31.090
Mon Jan  9 11:41:37 EST 2017, 3053, 0.890, 1, 0.950, 422, 87, 16, 36, 19, 22.377, 25.047
Mon Jan  9 11:50:17 EST 2017, 4291, 0.260, 9, 0.070, 535, 98, 14, 42, 98, 442.317, 497.740
Mon Jan  9 11:50:33 EST 2017, 9241, 0.760, 4, 0.570, 385, 53, 4, 17, 53, 13.217, 14.300
Mon Jan  9 11:51:33 EST 2017, 6766, 0.010, 2, 0.320, 310, 76, 9, 29, 76, 49.073, 56.537
Mon Jan  9 11:51:49 EST 2017, 1816, 0.510, 7, 0.820, 460, 31, 19, 4, 31, 14.293, 14.433
Mon Jan  9 11:52:28 EST 2017, 2434, 0.450, 2, 0.510, 516, 25, 10, 26, 92, 31.227, 38.817
Mon Jan  9 11:52:32 EST 2017, 7384, 0.950, 6, 0.010, 366, 70, 1, 1, 47, 3.353, 2.423
Mon Jan  9 11:53:29 EST 2017, 9859, 0.200, 8, 0.760, 441, 48, 6, 39, 70, 50.053, 49.537
Mon Jan  9 11:54:35 EST 2017, 4909, 0.700, 4, 0.260, 591, 93, 15, 14, 25, 57.447, 59.370
Mon Jan  9 11:56:20 EST 2017, 3672, 0.070, 7, 0.630, 403, 82, 13, 7, 81, 81.557, 103.043
Mon Jan  9 11:56:30 EST 2017, 8622, 0.570, 3, 0.130, 553, 37, 3, 32, 36, 7.580, 8.150
Mon Jan  9 11:57:24 EST 2017, 6147, 0.320, 5, 0.880, 478, 59, 8, 20, 59, 45.110, 48.210
Mon Jan  9 11:57:32 EST 2017, 1197, 0.820, 9, 0.380, 328, 14, 17, 45, 14, 6.293, 7.373
Mon Jan  9 11:57:35 EST 2017, 887, 0.360, 6, 0.350, 413, 34, 3, 31, 16, 3.280, 3.107
Mon Jan  9 11:58:11 EST 2017, 5837, 0.860, 1, 0.850, 563, 79, 12, 6, 61, 31.097, 33.357
Mon Jan  9 11:58:31 EST 2017, 8312, 0.110, 4, 0.100, 488, 11, 17, 43, 39, 19.013, 17.527
Mon Jan  9 11:59:17 EST 2017, 3362, 0.610, 8, 0.600, 338, 56, 7, 18, 84, 44.370, 37.650
Mon Jan  9 11:59:22 EST 2017, 4600, 0.230, 2, 0.480, 450, 67, 5, 0, 28, 4.430, 4.470
Mon Jan  9 11:59:54 EST 2017, 9550, 0.730, 7, 0.980, 300, 22, 14, 25, 73, 27.363, 27.763
Mon Jan  9 12:01:49 EST 2017, 7075, 0.480, 9, 0.230, 375, 90, 19, 12, 50, 85.860, 107.127
Mon Jan  9 12:04:12 EST 2017, 2125, 0.980, 5, 0.730, 525, 45, 10, 37, 95, 115.550, 141.027
Mon Jan  9 12:04:15 EST 2017, 1506, 0.040, 7, 0.920, 581, 51, 1, 15, 22, 2.373, 2.297
Mon Jan  9 12:07:06 EST 2017, 6456, 0.540, 3, 0.420, 431, 96, 11, 40, 67, 135.347, 159.857
Mon Jan  9 12:07:11 EST 2017, 8931, 0.290, 1, 0.670, 356, 28, 16, 3, 45, 4.560, 5.250
Mon Jan  9 12:08:56 EST 2017, 3981, 0.790, 5, 0.170, 506, 73, 6, 28, 90, 89.227, 89.867
Mon Jan  9 12:09:02 EST 2017, 2744, 0.420, 4, 0.790, 319, 62, 4, 46, 11, 4.707, 5.587
