# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 09:44:37 EDT 2017, 8607, 0.950, 9218, 5, 0.260, 585, 95, 10, 0, 53, 49.767, 72.997
Sun Apr 30 09:45:33 EDT 2017, 6132, 0.200, 6719, 3, 0.010, 360, 73, 14, 38, 31, 44.927, 55.007
Sun Apr 30 09:45:51 EDT 2017, 1182, 0.700, 1719, 7, 0.510, 510, 28, 5, 13, 76, 13.223, 17.617
Sun Apr 30 09:46:53 EDT 2017, 873, 0.230, 2656, 9, 0.980, 595, 81, 9, 17, 45, 55.703, 61.133
Sun Apr 30 09:49:34 EDT 2017, 5823, 0.730, 7656, 5, 0.480, 445, 36, 19, 42, 90, 141.507, 158.453
Sun Apr 30 09:49:39 EDT 2017, 8298, 0.480, 5156, 7, 0.230, 520, 14, 4, 5, 67, 3.160, 4.753
Sun Apr 30 09:50:03 EDT 2017, 3348, 0.980, 157, 3, 0.730, 370, 59, 14, 30, 22, 20.870, 24.393
Sun Apr 30 09:52:28 EDT 2017, 4585, 0.350, 8906, 8, 0.100, 332, 92, 16, 24, 56, 116.443, 143.737
Sun Apr 30 09:52:38 EDT 2017, 9535, 0.850, 3906, 4, 0.600, 482, 47, 7, 49, 11, 8.783, 10.037
Sun Apr 30 09:52:48 EDT 2017, 7060, 0.100, 1407, 6, 0.850, 407, 25, 11, 11, 33, 7.133, 9.237
Sun Apr 30 09:53:04 EDT 2017, 2110, 0.600, 6406, 1, 0.350, 557, 70, 2, 36, 78, 13.637, 15.997
Sun Apr 30 09:54:24 EDT 2017, 1492, 0.420, 782, 3, 0.420, 539, 87, 10, 21, 50, 64.153, 78.413
Sun Apr 30 09:54:35 EDT 2017, 6442, 0.920, 5781, 8, 0.920, 389, 42, 1, 46, 95, 9.360, 10.273
Sun Apr 30 09:54:47 EDT 2017, 8917, 0.170, 8281, 1, 0.670, 464, 19, 15, 8, 73, 8.203, 11.833
Sun Apr 30 09:55:04 EDT 2017, 3967, 0.670, 3281, 5, 0.170, 314, 64, 6, 33, 28, 13.640, 16.743
Sun Apr 30 09:55:26 EDT 2017, 2729, 0.040, 7031, 4, 0.540, 351, 98, 3, 14, 62, 16.797, 22.127
Sun Apr 30 09:56:01 EDT 2017, 7679, 0.540, 2032, 9, 0.040, 501, 53, 13, 39, 17, 28.293, 34.230
Sun Apr 30 09:56:07 EDT 2017, 5204, 0.290, 4531, 2, 0.290, 426, 31, 8, 2, 39, 4.053, 6.227
Sun Apr 30 10:00:41 EDT 2017, 254, 0.790, 9531, 7, 0.790, 576, 76, 17, 27, 84, 245.340, 271.800
Sun Apr 30 10:01:32 EDT 2017, 332, 0.390, 4453, 8, 0.210, 560, 45, 14, 12, 43, 37.080, 50.573
Sun Apr 30 10:02:33 EDT 2017, 5282, 0.890, 9453, 3, 0.710, 410, 90, 4, 37, 88, 53.380, 61.253
Sun Apr 30 10:04:54 EDT 2017, 7757, 0.140, 6953, 5, 0.960, 485, 68, 18, 24, 65, 138.063, 140.183
Sun Apr 30 10:04:58 EDT 2017, 2807, 0.640, 1953, 1, 0.460, 335, 23, 9, 49, 20, 3.430, 3.870
Sun Apr 30 10:05:03 EDT 2017, 4044, 0.020, 8203, 9, 0.830, 372, 34, 2, 5, 76, 3.860, 4.850
Sun Apr 30 10:06:08 EDT 2017, 8994, 0.520, 3203, 4, 0.330, 522, 79, 11, 30, 31, 53.187, 64.277
Sun Apr 30 10:06:46 EDT 2017, 6519, 0.270, 704, 7, 0.080, 447, 57, 7, 18, 54, 29.267, 37.407
Sun Apr 30 10:07:31 EDT 2017, 1569, 0.770, 5703, 2, 0.580, 597, 12, 16, 43, 99, 37.693, 44.217
Sun Apr 30 10:07:43 EDT 2017, 2188, 0.210, 1328, 5, 0.640, 578, 51, 5, 2, 37, 7.267, 11.217
Sun Apr 30 10:12:28 EDT 2017, 7138, 0.710, 6328, 9, 0.140, 428, 96, 15, 27, 82, 229.510, 277.263
Sun Apr 30 10:12:35 EDT 2017, 9613, 0.460, 8828, 3, 0.390, 503, 73, 1, 15, 59, 5.830, 7.203
Sun Apr 30 10:12:42 EDT 2017, 4663, 0.960, 3828, 7, 0.890, 353, 28, 10, 40, 14, 6.350, 6.947
Sun Apr 30 10:13:26 EDT 2017, 3425, 0.330, 5078, 4, 0.270, 316, 40, 17, 8, 71, 32.147, 43.013
Sun Apr 30 10:14:05 EDT 2017, 8375, 0.830, 79, 8, 0.770, 466, 85, 8, 33, 26, 34.183, 39.167
Sun Apr 30 10:14:50 EDT 2017, 5900, 0.080, 2578, 2, 0.520, 391, 62, 13, 21, 48, 35.910, 43.790
Sun Apr 30 10:15:06 EDT 2017, 950, 0.580, 7578, 6, 0.020, 541, 17, 3, 46, 93, 13.927, 15.833
Sun Apr 30 10:16:08 EDT 2017, 1260, 0.110, 6640, 6, 0.490, 457, 93, 8, 48, 28, 53.127, 61.393
