# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jul  3 09:58:40 EDT 2017, 0.100, 123, 22, 6, 22, 557, 2, 48, 26, 42, 7.223, 1.827
Mon Jul  3 09:58:51 EDT 2017, 0.600, 143, 27, 2, 11, 407, 11, 28, 11, 22, 10.823, 1.583
Mon Jul  3 09:59:05 EDT 2017, 0.850, 133, 25, 8, 16, 482, 16, 38, 19, 12, 13.873, 1.680
Mon Jul  3 09:59:08 EDT 2017, 0.350, 153, 20, 4, 27, 332, 6, 18, 4, 32, 2.917, 0.797
Mon Jul  3 09:59:09 EDT 2017, 0.480, 138, 29, 7, 13, 370, 4, 23, 22, 17, 0.660, 0.480
Mon Jul  3 10:01:21 EDT 2017, 0.980, 158, 24, 3, 24, 520, 13, 43, 7, 37, 131.377, 5.197
Mon Jul  3 10:01:56 EDT 2017, 0.730, 128, 21, 9, 19, 445, 18, 13, 15, 47, 34.133, 2.320
Mon Jul  3 10:02:16 EDT 2017, 0.230, 148, 26, 5, 8, 595, 9, 33, 0, 27, 20.273, 2.283
Mon Jul  3 10:02:18 EDT 2017, 0.170, 130, 21, 3, 12, 576, 3, 10, 24, 44, 1.130, 0.733
Mon Jul  3 10:02:34 EDT 2017, 0.670, 150, 26, 7, 23, 426, 12, 30, 9, 24, 15.880, 1.897
Mon Jul  3 10:02:41 EDT 2017, 0.920, 120, 28, 5, 29, 501, 17, 20, 17, 14, 7.080, 1.373
Mon Jul  3 10:03:04 EDT 2017, 0.420, 140, 23, 9, 18, 351, 8, 40, 2, 34, 22.730, 1.967
Mon Jul  3 10:03:07 EDT 2017, 0.290, 125, 27, 2, 26, 314, 5, 35, 28, 19, 2.680, 0.827
Mon Jul  3 10:03:28 EDT 2017, 0.790, 145, 22, 6, 15, 464, 15, 15, 13, 39, 20.747, 1.990
Mon Jul  3 10:11:23 EDT 2017, 0.540, 135, 24, 4, 9, 389, 19, 45, 21, 49, 472.733, 8.060
Mon Jul  3 10:11:35 EDT 2017, 0.040, 155, 29, 8, 20, 539, 10, 25, 6, 29, 12.220, 1.803
Mon Jul  3 10:12:43 EDT 2017, 0.030, 126, 20, 5, 15, 337, 15, 30, 22, 36, 67.510, 2.900
Mon Jul  3 10:12:44 EDT 2017, 0.530, 146, 25, 9, 26, 487, 5, 10, 7, 16, 0.423, 0.503
Mon Jul  3 10:12:45 EDT 2017, 0.780, 136, 28, 3, 21, 412, 1, 40, 29, 26, 0.743, 0.637
Mon Jul  3 10:13:09 EDT 2017, 0.280, 156, 23, 7, 10, 562, 10, 20, 14, 46, 24.400, 2.590
Mon Jul  3 10:13:18 EDT 2017, 0.400, 131, 26, 4, 23, 525, 17, 15, 18, 21, 8.913, 1.370
Mon Jul  3 10:13:46 EDT 2017, 0.900, 151, 21, 8, 12, 375, 8, 35, 3, 41, 27.213, 2.290
Mon Jul  3 10:13:48 EDT 2017, 0.650, 121, 24, 2, 18, 450, 3, 25, 26, 31, 2.277, 0.943
Mon Jul  3 10:13:55 EDT 2017, 0.150, 141, 29, 6, 29, 300, 13, 45, 11, 11, 6.047, 0.900
