# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jun 26 18:45:21 EDT 2017, 0.840, 4, 8, 0.560, 1, 6, 66, 389, 80, 6, 42, 93, 20.313, 20.107
Mon Jun 26 18:45:47 EDT 2017, 0.340, 8, 3, 0.060, 6, 2, 21, 539, 35, 15, 17, 48, 25.037, 24.100
Mon Jun 26 18:46:10 EDT 2017, 0.470, 5, 6, 0.930, 2, 1, 54, 502, 69, 8, 48, 59, 21.943, 20.380
Mon Jun 26 18:46:15 EDT 2017, 0.970, 9, 2, 0.430, 7, 5, 99, 352, 24, 17, 23, 14, 4.993, 4.247
Mon Jun 26 18:46:57 EDT 2017, 0.720, 2, 4, 0.680, 9, 3, 77, 577, 91, 13, 36, 37, 40.983, 38.537
Mon Jun 26 18:47:03 EDT 2017, 0.220, 7, 9, 0.180, 5, 7, 32, 427, 46, 3, 11, 82, 5.920, 5.860
Mon Jun 26 18:48:37 EDT 2017, 0.150, 3, 4, 0.490, 3, 8, 37, 595, 74, 11, 7, 99, 92.180, 89.023
Mon Jun 26 18:48:39 EDT 2017, 0.650, 8, 8, 0.990, 7, 3, 82, 445, 29, 2, 32, 54, 1.910, 1.780
Mon Jun 26 18:48:54 EDT 2017, 0.900, 1, 6, 0.240, 5, 6, 60, 520, 97, 7, 20, 31, 14.523, 13.460
Mon Jun 26 18:50:41 EDT 2017, 0.400, 5, 1, 0.740, 1, 1, 15, 370, 52, 16, 45, 76, 101.993, 103.703
Mon Jun 26 18:50:50 EDT 2017, 0.280, 2, 9, 0.370, 6, 2, 49, 408, 63, 9, 14, 42, 9.200, 9.067
Mon Jun 26 18:51:13 EDT 2017, 0.780, 6, 5, 0.870, 2, 7, 94, 558, 18, 19, 39, 87, 21.840, 21.147
Mon Jun 26 18:52:05 EDT 2017, 0.530, 4, 3, 0.120, 4, 4, 71, 333, 85, 14, 1, 65, 50.350, 50.707
Mon Jun 26 18:52:08 EDT 2017, 0.030, 9, 7, 0.620, 9, 9, 26, 483, 40, 4, 26, 20, 2.150, 1.953
Mon Jun 26 18:54:45 EDT 2017, 0.040, 2, 3, 0.200, 2, 2, 61, 441, 87, 18, 38, 83, 147.690, 155.103
Mon Jun 26 18:54:53 EDT 2017, 0.540, 6, 8, 0.700, 6, 6, 16, 591, 42, 8, 13, 38, 7.823, 7.490
Mon Jun 26 18:54:55 EDT 2017, 0.790, 4, 6, 0.450, 9, 4, 39, 366, 64, 3, 25, 16, 1.697, 1.573
Mon Jun 26 18:55:22 EDT 2017, 0.290, 9, 1, 0.950, 4, 8, 84, 516, 19, 13, 0, 61, 26.817, 24.803
Mon Jun 26 18:55:27 EDT 2017, 0.420, 3, 9, 0.070, 8, 9, 73, 553, 98, 1, 32, 49, 4.347, 4.350
