# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jul  3 09:58:33 EDT 2017, 0.430, 122, 29, 7, 19, 394, 1, 20, 15, 25, 0.377, 0.377
Mon Jul  3 10:00:43 EDT 2017, 0.930, 142, 24, 3, 8, 544, 11, 40, 0, 45, 129.843, 5.177
Mon Jul  3 10:00:49 EDT 2017, 0.680, 132, 22, 9, 14, 319, 16, 10, 23, 35, 5.620, 1.017
Mon Jul  3 10:00:51 EDT 2017, 0.180, 152, 27, 5, 25, 469, 6, 30, 8, 15, 1.873, 0.813
Mon Jul  3 10:00:53 EDT 2017, 0.120, 125, 20, 3, 29, 450, 5, 12, 17, 33, 1.763, 0.807
Mon Jul  3 10:00:58 EDT 2017, 0.620, 145, 25, 7, 18, 300, 14, 32, 2, 13, 5.167, 0.840
Mon Jul  3 10:01:23 EDT 2017, 0.870, 135, 27, 5, 12, 525, 19, 22, 25, 23, 24.973, 2.083
Mon Jul  3 10:02:23 EDT 2017, 0.370, 155, 22, 9, 23, 375, 10, 42, 10, 43, 59.120, 3.250
Mon Jul  3 10:02:24 EDT 2017, 0.250, 130, 26, 2, 10, 413, 2, 37, 21, 28, 1.617, 0.853
Mon Jul  3 10:02:54 EDT 2017, 0.750, 150, 21, 6, 21, 563, 12, 17, 6, 48, 29.723, 2.633
Mon Jul  3 10:06:42 EDT 2017, 0.500, 120, 24, 4, 26, 338, 17, 47, 28, 38, 226.687, 4.637
Mon Jul  3 10:06:45 EDT 2017, 0.000, 140, 29, 8, 15, 488, 7, 27, 13, 18, 2.973, 1.073
Mon Jul  3 10:07:34 EDT 2017, 0.000, 130, 23, 3, 27, 431, 14, 26, 18, 36, 49.367, 2.827
Mon Jul  3 10:07:38 EDT 2017, 0.500, 150, 28, 7, 16, 581, 5, 46, 3, 16, 3.827, 1.097
Mon Jul  3 10:07:42 EDT 2017, 0.750, 120, 26, 5, 11, 356, 9, 16, 25, 26, 3.447, 0.860
Mon Jul  3 10:12:30 EDT 2017, 0.250, 140, 21, 9, 22, 506, 19, 36, 10, 46, 287.313, 6.770
Mon Jul  3 10:13:00 EDT 2017, 0.370, 125, 29, 2, 8, 469, 12, 41, 22, 21, 29.773, 2.307
Mon Jul  3 10:13:01 EDT 2017, 0.870, 145, 24, 6, 19, 319, 2, 21, 7, 41, 0.927, 0.557
Mon Jul  3 10:13:17 EDT 2017, 0.620, 135, 22, 4, 24, 544, 7, 31, 29, 31, 15.963, 2.057
Mon Jul  3 10:13:18 EDT 2017, 0.120, 155, 27, 8, 13, 394, 17, 11, 14, 11, 0.913, 0.467
Mon Jul  3 10:14:39 EDT 2017, 0.190, 122, 20, 6, 18, 375, 13, 34, 20, 39, 80.807, 3.260
Mon Jul  3 10:14:40 EDT 2017, 0.690, 142, 25, 2, 29, 525, 3, 14, 5, 19, 0.503, 0.503
Mon Jul  3 10:14:56 EDT 2017, 0.940, 132, 27, 8, 23, 300, 8, 44, 27, 29, 16.143, 1.637
Mon Jul  3 10:16:48 EDT 2017, 0.440, 152, 22, 4, 12, 450, 18, 24, 12, 49, 112.170, 4.263
Mon Jul  3 10:16:55 EDT 2017, 0.310, 137, 26, 7, 20, 487, 11, 19, 16, 24, 6.297, 1.337
Mon Jul  3 10:16:56 EDT 2017, 0.810, 157, 21, 3, 9, 337, 1, 39, 1, 44, 1.140, 0.717
Mon Jul  3 10:17:08 EDT 2017, 0.560, 127, 24, 9, 15, 562, 6, 29, 24, 34, 11.340, 1.703
Mon Jul  3 10:17:28 EDT 2017, 0.060, 147, 29, 5, 26, 412, 15, 49, 9, 14, 19.907, 1.693
Mon Jul  3 10:17:40 EDT 2017, 0.090, 128, 25, 4, 22, 347, 5, 38, 10, 40, 12.473, 1.477
Mon Jul  3 10:17:48 EDT 2017, 0.590, 148, 20, 8, 11, 497, 15, 18, 25, 20, 7.540, 1.173
Mon Jul  3 10:18:11 EDT 2017, 0.840, 138, 22, 2, 17, 422, 19, 48, 2, 10, 22.503, 1.953
Mon Jul  3 10:18:28 EDT 2017, 0.340, 158, 27, 6, 28, 572, 10, 28, 17, 30, 17.500, 2.060
Mon Jul  3 10:18:29 EDT 2017, 0.470, 133, 21, 5, 14, 534, 3, 13, 13, 15, 0.353, 0.357
Mon Jul  3 10:19:01 EDT 2017, 0.970, 153, 26, 9, 25, 384, 12, 33, 28, 35, 32.253, 2.260
Mon Jul  3 10:20:29 EDT 2017, 0.720, 123, 28, 3, 20, 459, 17, 23, 6, 45, 87.003, 3.387
Mon Jul  3 10:20:41 EDT 2017, 0.220, 143, 23, 7, 9, 309, 8, 43, 21, 25, 12.107, 1.450
Mon Jul  3 10:20:44 EDT 2017, 0.150, 136, 28, 9, 13, 328, 4, 20, 11, 42, 2.507, 0.737
