# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 08:44:58 EST 2017, 3072, 0.390, 9, 0.150, 356, 53, 11, 39, 48, 49.467, 48.793
Mon Jan  9 08:45:12 EST 2017, 8022, 0.890, 4, 0.650, 506, 98, 1, 14, 93, 13.203, 13.247
Mon Jan  9 08:45:18 EST 2017, 5547, 0.140, 2, 0.400, 581, 31, 6, 26, 26, 6.420, 6.530
Mon Jan  9 08:46:08 EST 2017, 597, 0.640, 6, 0.900, 431, 76, 15, 1, 71, 49.010, 46.847
Mon Jan  9 08:46:24 EST 2017, 443, 0.400, 3, 0.260, 520, 38, 9, 46, 22, 16.107, 16.323
Mon Jan  9 08:48:35 EST 2017, 5393, 0.900, 8, 0.760, 370, 83, 19, 21, 67, 128.697, 125.773
Mon Jan  9 08:48:51 EST 2017, 7868, 0.150, 6, 0.010, 445, 15, 14, 33, 44, 16.370, 16.160
Mon Jan  9 08:49:04 EST 2017, 2918, 0.650, 1, 0.510, 595, 60, 4, 8, 89, 12.570, 12.563
Mon Jan  9 08:49:09 EST 2017, 4155, 0.030, 9, 0.390, 407, 72, 7, 15, 10, 5.030, 5.070
Mon Jan  9 08:50:08 EST 2017, 9105, 0.530, 5, 0.890, 557, 27, 16, 40, 55, 58.297, 57.273
Mon Jan  9 08:50:26 EST 2017, 6630, 0.280, 2, 0.140, 482, 94, 12, 2, 33, 17.250, 17.760
Mon Jan  9 08:50:37 EST 2017, 1680, 0.780, 7, 0.640, 332, 49, 2, 27, 78, 9.967, 10.177
Mon Jan  9 08:50:38 EST 2017, 2299, 0.220, 1, 0.950, 351, 43, 8, 5, 16, 1.463, 1.433
Mon Jan  9 08:54:01 EST 2017, 7249, 0.720, 5, 0.450, 501, 88, 18, 30, 61, 191.000, 192.007
