# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 09:17:14 EST 2017, 107, 0.310, 6, 0.400, 397, 62, 13, 46, 40, 65.610, 64.840
Mon Jan  9 09:17:18 EST 2017, 5057, 0.810, 1, 0.900, 547, 17, 3, 21, 85, 3.270, 3.253
Mon Jan  9 09:17:39 EST 2017, 7532, 0.060, 4, 0.150, 472, 84, 8, 33, 18, 21.303, 21.287
Mon Jan  9 09:18:07 EST 2017, 2582, 0.560, 8, 0.650, 322, 39, 18, 8, 63, 27.557, 27.357
Mon Jan  9 09:18:37 EST 2017, 3819, 0.180, 3, 0.270, 510, 50, 11, 14, 51, 29.387, 29.143
Mon Jan  9 09:18:55 EST 2017, 8769, 0.680, 7, 0.770, 360, 95, 1, 39, 96, 17.973, 17.833
Mon Jan  9 09:18:58 EST 2017, 6294, 0.430, 9, 0.020, 435, 28, 6, 2, 29, 2.627, 2.610
Mon Jan  9 09:21:49 EST 2017, 1344, 0.930, 5, 0.520, 585, 73, 15, 27, 74, 170.793, 170.340
Mon Jan  9 09:22:28 EST 2017, 1963, 0.000, 8, 0.840, 529, 67, 14, 5, 46, 39.297, 38.817
Mon Jan  9 09:22:41 EST 2017, 6913, 0.500, 3, 0.340, 379, 22, 5, 30, 91, 12.227, 12.163
Mon Jan  9 09:22:48 EST 2017, 9388, 0.250, 1, 0.590, 304, 90, 9, 17, 23, 6.667, 6.593
Mon Jan  9 09:24:54 EST 2017, 4438, 0.750, 5, 0.090, 454, 45, 19, 42, 68, 124.137, 124.943
Mon Jan  9 09:25:12 EST 2017, 3200, 0.370, 4, 0.960, 341, 33, 12, 36, 34, 17.720, 17.340
Mon Jan  9 09:25:31 EST 2017, 8150, 0.870, 9, 0.460, 491, 78, 2, 11, 79, 15.707, 16.743
Mon Jan  9 09:25:34 EST 2017, 5675, 0.120, 6, 0.710, 566, 11, 7, 49, 12, 2.963, 2.943
Mon Jan  9 09:26:25 EST 2017, 726, 0.620, 2, 0.210, 416, 56, 17, 24, 57, 50.580, 48.973
Mon Jan  9 09:26:38 EST 2017, 1035, 0.150, 3, 0.050, 332, 81, 4, 10, 65, 12.967, 12.933
Mon Jan  9 09:26:58 EST 2017, 5985, 0.650, 7, 0.550, 482, 36, 14, 35, 20, 20.203, 20.230
Mon Jan  9 09:29:54 EST 2017, 8460, 0.400, 5, 0.300, 557, 59, 18, 22, 88, 169.760, 167.773
Mon Jan  9 09:29:59 EST 2017, 3510, 0.900, 1, 0.800, 407, 14, 9, 47, 43, 4.950, 4.823
Mon Jan  9 09:30:08 EST 2017, 4747, 0.280, 8, 0.180, 594, 25, 2, 28, 77, 9.273, 9.170
Mon Jan  9 09:30:22 EST 2017, 9697, 0.780, 4, 0.680, 444, 70, 11, 3, 32, 14.177, 13.863
Mon Jan  9 09:31:58 EST 2017, 7222, 0.030, 2, 0.430, 369, 48, 16, 41, 99, 94.257, 91.070
Mon Jan  9 09:32:40 EST 2017, 2272, 0.530, 6, 0.930, 519, 93, 6, 16, 54, 40.557, 40.943
Mon Jan  9 09:33:15 EST 2017, 1654, 0.460, 1, 0.740, 463, 98, 5, 38, 71, 33.230, 33.870
Mon Jan  9 09:33:30 EST 2017, 6604, 0.960, 6, 0.240, 313, 53, 15, 13, 26, 14.420, 14.003
Mon Jan  9 09:36:47 EST 2017, 9079, 0.210, 8, 0.990, 388, 76, 19, 25, 93, 195.213, 184.630
Mon Jan  9 09:36:54 EST 2017, 4129, 0.710, 3, 0.490, 538, 31, 10, 0, 48, 7.173, 7.207
Mon Jan  9 09:36:58 EST 2017, 2891, 0.090, 7, 0.620, 426, 19, 3, 19, 60, 4.167, 4.247
Mon Jan  9 09:37:21 EST 2017, 7841, 0.590, 2, 0.120, 576, 64, 12, 44, 15, 22.167, 22.143
Mon Jan  9 09:38:13 EST 2017, 5366, 0.340, 4, 0.870, 501, 42, 17, 7, 82, 49.500, 50.637
