# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Thu Jun 22 22:24:38 EDT 2017, 0.620, 5, 1, 0.220, 1, 8, 86, 347, 80, 7, 48, 65, 6.527, 7.450
Thu Jun 22 22:29:45 EDT 2017, 0.870, 3, 3, 0.970, 3, 1, 64, 572, 12, 2, 10, 87, 1.527, 1.557
Thu Jun 22 22:34:11 EDT 2017, 0.370, 7, 7, 0.470, 7, 5, 19, 422, 57, 11, 35, 42, 2.543, 2.750
Thu Jun 22 22:39:18 EDT 2017, 0.250, 4, 2, 0.600, 4, 6, 53, 309, 46, 4, 4, 76, 2.223, 2.470
Thu Jun 22 23:13:24 EDT 2017, 0.750, 8, 6, 0.100, 8, 2, 98, 459, 91, 14, 29, 31, 5.417, 3.827
Thu Jun 22 23:21:26 EDT 2017, 0.500, 2, 9, 0.850, 6, 9, 75, 384, 23, 18, 17, 53, 1.927, 103.393
Thu Jun 22 23:26:38 EDT 2017, 0.000, 6, 4, 0.350, 2, 4, 30, 534, 68, 9, 42, 98, 6.343, 6.547
Thu Jun 22 23:30:09 EDT 2017, 0.000, 3, 6, 0.400, 3, 6, 68, 576, 40, 6, 3, 35, 1.797, 1.863
Fri Jun 23 00:05:11 EDT 2017, 0.500, 8, 1, 0.900, 8, 1, 23, 426, 85, 16, 28, 80, 0.000, 0.000
Fri Jun 23 00:09:52 EDT 2017, 0.750, 1, 4, 0.150, 6, 8, 46, 501, 18, 11, 15, 58, 2.723, 2.947
Fri Jun 23 00:15:04 EDT 2017, 0.250, 6, 8, 0.650, 1, 3, 91, 351, 63, 2, 40, 13, 1.237, 1.247
Fri Jun 23 00:20:05 EDT 2017, 0.370, 2, 3, 0.270, 7, 5, 57, 389, 51, 14, 21, 92, 6.063, 7.143
Fri Jun 23 00:24:07 EDT 2017, 0.870, 7, 7, 0.770, 2, 9, 12, 539, 96, 4, 46, 47, 3.027, 3.317
Fri Jun 23 00:29:19 EDT 2017, 0.620, 4, 9, 0.020, 5, 2, 35, 314, 29, 9, 9, 24, 1.530, 1.533
Fri Jun 23 00:34:15 EDT 2017, 0.120, 9, 5, 0.520, 9, 7, 80, 464, 74, 18, 34, 69, 6.207, 6.953
Fri Jun 23 00:37:32 EDT 2017, 0.180, 1, 8, 0.840, 7, 6, 74, 332, 46, 8, 37, 63, 5.453, 2.067
Fri Jun 23 00:43:29 EDT 2017, 0.680, 5, 3, 0.340, 3, 2, 29, 482, 91, 17, 12, 18, 4.633, 4.943
Fri Jun 23 00:48:36 EDT 2017, 0.930, 3, 1, 0.590, 1, 9, 52, 407, 23, 12, 49, 41, 3.867, 4.433
Fri Jun 23 00:53:39 EDT 2017, 0.430, 7, 5, 0.090, 5, 4, 97, 557, 68, 3, 24, 86, 3.133, 3.247
Fri Jun 23 00:58:45 EDT 2017, 0.310, 4, 4, 0.960, 2, 3, 63, 520, 34, 15, 43, 30, 2.430, 2.643
Fri Jun 23 01:02:16 EDT 2017, 0.810, 8, 9, 0.460, 6, 7, 18, 370, 79, 5, 18, 75, 2.970, 3.403
