# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jul  7 15:07:15 EDT 2017, 0.220, 148, 29, 3, 18, 526, 5, 26, 12, 15, 1.267, 1.257
Fri Jul  7 15:12:17 EDT 2017, 0.150, 131, 23, 5, 13, 544, 6, 49, 21, 33, 1.547, 1.547
Fri Jul  7 15:17:23 EDT 2017, 0.650, 151, 28, 9, 24, 394, 16, 29, 6, 13, 1.240, 1.327
Fri Jul  7 15:22:30 EDT 2017, 0.900, 121, 26, 3, 19, 469, 11, 39, 29, 23, 1.850, 1.853
Fri Jul  7 15:27:32 EDT 2017, 0.400, 141, 21, 7, 8, 319, 2, 19, 14, 43, 1.217, 1.237
Fri Jul  7 15:32:08 EDT 2017, 0.280, 126, 29, 4, 22, 357, 9, 24, 17, 28, 1.237, 1.220
Fri Jul  7 15:37:15 EDT 2017, 0.780, 146, 24, 8, 11, 507, 18, 44, 2, 48, 5.157, 5.620
Fri Jul  7 15:45:47 EDT 2017, 0.530, 136, 22, 2, 16, 432, 14, 14, 25, 38, 1.503, 1.507
Fri Jul  7 15:50:55 EDT 2017, 0.030, 156, 27, 6, 27, 582, 4, 34, 10, 18, 1.203, 1.370
Fri Jul  7 15:56:06 EDT 2017, 0.040, 125, 23, 3, 11, 333, 11, 28, 25, 46, 1.530, 1.530
Fri Jul  7 16:00:33 EDT 2017, 0.540, 145, 28, 7, 22, 483, 2, 48, 10, 26, 1.213, 1.207
Fri Jul  7 16:09:41 EDT 2017, 0.790, 135, 25, 5, 27, 408, 7, 18, 18, 16, 1.227, 1.227
Fri Jul  7 16:14:47 EDT 2017, 0.290, 155, 20, 9, 16, 558, 16, 38, 3, 36, 2.443, 2.433
Fri Jul  7 16:19:49 EDT 2017, 0.420, 130, 29, 2, 25, 596, 14, 43, 29, 11, 1.213, 1.300
Fri Jul  7 16:24:55 EDT 2017, 0.920, 150, 24, 6, 14, 446, 4, 23, 14, 31, 1.240, 1.220
Fri Jul  7 16:30:12 EDT 2017, 0.670, 120, 21, 4, 8, 521, 9, 33, 22, 41, 2.127, 2.240
Fri Jul  7 16:34:43 EDT 2017, 0.170, 140, 26, 8, 19, 371, 19, 13, 7, 21, 1.240, 1.260
Fri Jul  7 16:39:40 EDT 2017, 0.230, 138, 21, 6, 23, 352, 10, 31, 27, 48, 1.667, 1.720
Fri Jul  7 16:44:47 EDT 2017, 0.730, 158, 26, 2, 12, 502, 1, 11, 12, 28, 1.133, 1.243
