# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jul  7 11:02:10 EDT 2017, 0.300, 135, 28, 3, 12, 445, 11, 41, 12, 33, 1.723, 1.700
Fri Jul  7 11:06:22 EDT 2017, 0.800, 155, 23, 7, 23, 595, 1, 21, 27, 13, 1.043, 1.110
Fri Jul  7 11:11:19 EDT 2017, 0.550, 125, 21, 5, 28, 370, 6, 31, 5, 23, 1.233, 1.230
Fri Jul  7 11:16:20 EDT 2017, 0.050, 145, 26, 9, 17, 520, 15, 11, 20, 43, 1.230, 1.213
Fri Jul  7 11:21:27 EDT 2017, 0.030, 136, 23, 4, 24, 394, 9, 47, 4, 10, 1.250, 1.223
Fri Jul  7 11:26:44 EDT 2017, 0.530, 156, 28, 8, 13, 544, 19, 27, 19, 30, 2.047, 2.120
Fri Jul  7 11:31:11 EDT 2017, 0.780, 126, 25, 2, 18, 319, 14, 37, 11, 40, 2.437, 2.423
Fri Jul  7 11:36:12 EDT 2017, 0.280, 146, 20, 6, 29, 469, 4, 17, 26, 20, 1.253, 1.223
Fri Jul  7 11:41:24 EDT 2017, 0.400, 121, 29, 5, 15, 506, 7, 22, 0, 45, 1.237, 1.213
Fri Jul  7 11:46:31 EDT 2017, 0.900, 141, 24, 9, 26, 356, 16, 42, 15, 25, 2.127, 2.113
Fri Jul  7 11:51:39 EDT 2017, 0.650, 131, 21, 3, 21, 581, 12, 12, 7, 15, 1.240, 1.203
Fri Jul  7 11:56:30 EDT 2017, 0.150, 151, 26, 7, 10, 431, 2, 32, 22, 35, 1.213, 1.197
Fri Jul  7 12:01:17 EDT 2017, 0.220, 128, 20, 9, 11, 412, 8, 14, 2, 12, 1.253, 1.113
Fri Jul  7 12:06:14 EDT 2017, 0.720, 148, 25, 5, 22, 562, 18, 34, 17, 32, 2.453, 2.713
Fri Jul  7 12:11:15 EDT 2017, 0.970, 138, 27, 7, 28, 337, 13, 24, 9, 42, 1.853, 1.857
Fri Jul  7 12:16:32 EDT 2017, 0.470, 158, 22, 3, 17, 487, 3, 44, 24, 22, 1.233, 1.210
Fri Jul  7 12:21:29 EDT 2017, 0.340, 133, 26, 8, 25, 450, 6, 39, 5, 47, 1.523, 1.507
Fri Jul  7 12:26:41 EDT 2017, 0.840, 153, 21, 4, 14, 300, 15, 19, 20, 27, 1.430, 1.523
Fri Jul  7 12:31:17 EDT 2017, 0.590, 123, 23, 6, 9, 525, 10, 49, 13, 17, 1.530, 1.510
Fri Jul  7 12:36:19 EDT 2017, 0.090, 143, 28, 2, 20, 375, 1, 29, 28, 37, 1.243, 1.217
Fri Jul  7 12:41:16 EDT 2017, 0.060, 122, 25, 3, 28, 309, 19, 18, 27, 26, 1.250, 1.420
Fri Jul  7 12:46:32 EDT 2017, 0.560, 142, 20, 7, 17, 459, 10, 38, 12, 46, 2.130, 2.107
Fri Jul  7 12:51:29 EDT 2017, 0.810, 132, 22, 5, 12, 384, 5, 28, 19, 36, 1.230, 1.220
Fri Jul  7 12:56:41 EDT 2017, 0.310, 152, 27, 9, 23, 534, 15, 48, 4, 16, 1.513, 1.497
Fri Jul  7 13:01:07 EDT 2017, 0.440, 137, 21, 2, 9, 572, 17, 33, 23, 31, 2.433, 2.723
Fri Jul  7 13:11:50 EDT 2017, 0.940, 157, 26, 6, 20, 422, 7, 13, 8, 11, 300.000, 300.000
Fri Jul  7 13:16:17 EDT 2017, 0.690, 127, 29, 4, 26, 497, 3, 43, 16, 21, 1.240, 1.230
Fri Jul  7 13:21:28 EDT 2017, 0.190, 147, 24, 8, 15, 347, 12, 23, 1, 41, 1.433, 1.537
Fri Jul  7 13:26:40 EDT 2017, 0.120, 130, 28, 6, 16, 366, 18, 40, 25, 28, 1.737, 1.833
Fri Jul  7 13:31:07 EDT 2017, 0.620, 150, 23, 2, 27, 516, 9, 20, 10, 48, 1.603, 1.813
Fri Jul  7 13:36:13 EDT 2017, 0.870, 120, 21, 8, 22, 441, 4, 30, 18, 38, 1.233, 1.250
Fri Jul  7 13:41:15 EDT 2017, 0.370, 140, 26, 4, 11, 591, 13, 10, 3, 18, 1.217, 1.220
Fri Jul  7 13:46:22 EDT 2017, 0.250, 125, 24, 7, 19, 553, 16, 25, 29, 33, 1.830, 1.830
Fri Jul  7 13:51:28 EDT 2017, 0.750, 145, 29, 3, 8, 403, 6, 45, 14, 13, 1.210, 1.223
Fri Jul  7 13:56:40 EDT 2017, 0.500, 135, 27, 9, 13, 478, 1, 15, 21, 23, 1.233, 1.240
Fri Jul  7 14:01:07 EDT 2017, 0.000, 155, 22, 5, 24, 328, 11, 35, 6, 43, 1.487, 1.497
Fri Jul  7 14:06:24 EDT 2017, 0.000, 125, 25, 6, 18, 535, 8, 38, 24, 20, 1.347, 1.243
