# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Jan 13 22:06:57 EST 2017, 1, 5, 0.000, 2, 34.069, 1.01539, 33.3536, 34.7844, 32.09, 34.14, 34.49, 34.87, 34.98, 496550, 1.9596, 496549, 496551, 496548, 496548, 496550, 496552, 496552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9379418, 0, 9379418, 9379418, 9379418, 9379418, 9379418, 9379418, 9379418, 17990516, 0, 17990516, 17990516, 17990516, 17990516, 17990516, 17990516, 17990516
Fri Jan 13 22:08:59 EST 2017, 1, 10, 0.000, 2, 34.519, 1.15147, 33.7077, 35.3303, 32.19, 35, 35.08, 35.16, 35.22, 502325, 1.83303, 502324, 502326, 502324, 502324, 502324, 502328, 502328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9843869, 0, 9843869, 9843869, 9843869, 9843869, 9843869, 9843869, 9843869, 19468175, 0, 19468175, 19468175, 19468175, 19468175, 19468175, 19468175, 19468175
Fri Jan 13 22:12:50 EST 2017, 1, 1, 0.250, 2, 19.718, 0.695339, 19.2281, 20.2079, 17.76, 19.58, 20.04, 20.2, 20.27, 412735, 2.99332, 412733, 412737, 412732, 412732, 412736, 412740, 412740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5722549, 0, 5722549, 5722549, 5722549, 5722549, 5722549, 5722549, 5722549, 7679389, 0, 7679389, 7679389, 7679389, 7679389, 7679389, 7679389, 7679389
Fri Jan 13 22:15:02 EST 2017, 1, 2, 0.250, 2, 27.098, 0.72717, 26.5857, 27.6103, 25.82, 26.79, 27.535, 27.79, 27.82, 424019, 2.4, 424017, 424021, 424016, 424016, 424020, 424020, 424024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7682439, 0, 7682439, 7682439, 7682439, 7682439, 7682439, 7682439, 7682439, 12375971, 0, 12375971, 12375971, 12375971, 12375971, 12375971, 12375971, 12375971
Fri Jan 13 22:19:14 EST 2017, 1, 5, 0.250, 2, 34.255, 1.10303, 33.4779, 35.0321, 32.12, 33.18, 34.785, 35.41, 35.48, 437893, 168.419, 437774, 438012, 437388, 437948, 437948, 437952, 437956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9098778, 0, 9098778, 9098778, 9098778, 9098778, 9098778, 9098778, 9098778, 17989772, 0, 17989772, 17989772, 17989772, 17989772, 17989772, 17989772, 17989772
Fri Jan 13 22:21:21 EST 2017, 1, 10, 0.250, 2, 35.945, 0.504406, 35.5896, 36.3004, 35.14, 35.64, 36.12, 36.53, 36.63, 441762, 2.6533, 441760, 441764, 441760, 441760, 441764, 441764, 441768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9358237, 0, 9358237, 9358237, 9358237, 9358237, 9358237, 9358237, 9358237, 19468075, 0, 19468075, 19468075, 19468075, 19468075, 19468075, 19468075, 19468075
Fri Jan 13 22:23:27 EST 2017, 1, 1, 0.000, 5, 40.875, 1.35473, 39.9205, 41.8295, 37.19, 40.62, 41.385, 42, 42.01, 478354, 49.9023, 478319, 478389, 478336, 478336, 478340, 478340, 478504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8816532, 0, 8816532, 8816532, 8816532, 8816532, 8816532, 8816532, 8816532, 19266432, 0, 19266432, 19266432, 19266432, 19266432, 19266432, 19266432, 19266432
Fri Jan 13 22:25:49 EST 2017, 1, 2, 0.000, 5, 55.357, 2.37943, 53.6806, 57.0334, 52.78, 53.13, 56.895, 58.09, 58.3, 508510, 2, 508509, 508511, 508508, 508508, 508512, 508512, 508512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9724405, 0, 9724405, 9724405, 9724405, 9724405, 9724405, 9724405, 9724405, 30973227, 0, 30973227, 30973227, 30973227, 30973227, 30973227, 30973227, 30973227
Fri Jan 13 22:31:21 EST 2017, 1, 5, 0.000, 5, 68.895, 2.41738, 67.1918, 70.5982, 65.21, 67.44, 69.975, 71.54, 71.86, 558084, 133.212, 557990, 558178, 557684, 558128, 558128, 558128, 558132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9898927, 0, 9898927, 9898927, 9898927, 9898927, 9898927, 9898927, 9898927, 44978968, 0, 44978968, 44978968, 44978968, 44978968, 44978968, 44978968, 44978968
Fri Jan 13 22:34:38 EST 2017, 1, 10, 0.000, 5, 71.021, 1.49208, 69.9697, 72.0723, 68.06, 71.37, 71.595, 71.84, 72.82, 566138, 2.68328, 566136, 566140, 566136, 566136, 566138, 566140, 566144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 48670227, 0.707107, 4.86702e+07, 4.86702e+07, 48670227, 48670227, 48670227, 48670227, 48670227
Fri Jan 13 22:42:20 EST 2017, 1, 1, 0.250, 5, 41.108, 1.34538, 40.1601, 42.0559, 37.29, 41.27, 41.435, 42.23, 42.25, 459850, 40.9976, 459821, 459879, 459828, 459828, 459832, 459892, 459960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8804414, 0, 8804414, 8804414, 8804414, 8804414, 8804414, 8804414, 8804414, 19265247, 0, 19265247, 19265247, 19265247, 19265247, 19265247, 19265247, 19265247
Fri Jan 13 22:44:37 EST 2017, 1, 2, 0.250, 5, 56.45, 1.72126, 55.2373, 57.6627, 53.22, 56.33, 57.525, 57.91, 57.99, 488927, 11.7371, 488919, 488935, 488920, 488920, 488924, 488932, 488960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9704168, 0, 9704168, 9704168, 9704168, 9704168, 9704168, 9704168, 9704168, 30973564, 0, 30973564, 30973564, 30973564, 30973564, 30973564, 30973564, 30973564
Fri Jan 13 22:48:59 EST 2017, 1, 5, 0.250, 5, 70.575, 2.6891, 68.6804, 72.4696, 65.97, 69.02, 72.515, 72.8, 73.01, 523457, 231.081, 523294, 523620, 523000, 523544, 523550, 523600, 523680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9893021, 0, 9893021, 9893021, 9893021, 9893021, 9893021, 9893021, 9893021, 44979207, 0.707107, 4.49792e+07, 4.49792e+07, 44979207, 44979207, 44979207, 44979207, 44979207
Fri Jan 13 22:55:06 EST 2017, 1, 10, 0.250, 5, 71.518, 3.88231, 68.7827, 74.2533, 64.92, 66.44, 72.72, 75.52, 76.38, 532342, 40.7627, 532313, 532371, 532324, 532328, 532330, 532332, 532464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9898705, 0, 9898705, 9898705, 9898705, 9898705, 9898705, 9898705, 9898705, 48670255, 0.707107, 4.86703e+07, 4.86703e+07, 48670255, 48670255, 48670255, 48670255, 48670255
Fri Jan 13 22:59:13 EST 2017, 1, 1, 0.000, 10, 70.655, 2.14544, 69.1434, 72.1666, 66.9, 69.84, 72.13, 72.71, 73.14, 543214, 2.6533, 543212, 543216, 543212, 543212, 543216, 543216, 543220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9787547, 0, 9787547, 9787547, 9787547, 9787547, 9787547, 9787547, 9787547, 38559822, 0, 38559822, 38559822, 38559822, 38559822, 38559822, 38559822, 38559822
Fri Jan 13 23:05:10 EST 2017, 1, 2, 0.000, 10, 105.59, 7.23355, 100.494, 110.686, 96.17, 102.11, 105.385, 115.73, 120.67, 589142, 301.554, 588930, 589354, 588576, 589236, 589236, 589240, 589600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9897770, 0, 9897770, 9897770, 9897770, 9897770, 9897770, 9897770, 9897770, 61951649, 0, 61951649, 61951649, 61951649, 61951649, 61951649, 61951649, 61951649
Fri Jan 13 23:09:43 EST 2017, 1, 5, 0.000, 10, 139.763, 7.93269, 134.174, 145.352, 123.75, 130.2, 143.835, 146.15, 146.99, 655256, 91.0464, 655192, 655320, 655200, 655204, 655208, 655420, 655448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 89957426, 1.41421, 8.99574e+07, 8.99574e+07, 89957426, 89957426, 89957426, 89957426, 89957426
Fri Jan 13 23:13:49 EST 2017, 1, 10, 0.000, 10, 140.67, 6.28097, 136.245, 145.095, 123.8, 138.94, 143.365, 145.88, 146.34, 664396, 108.11, 664320, 664472, 664332, 664332, 664336, 664580, 664632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 97340610, 1.41421, 9.73406e+07, 9.73406e+07, 97340610, 97340610, 97340610, 97340610, 97340610
Fri Jan 13 23:16:41 EST 2017, 1, 1, 0.250, 10, 71.325, 2.41041, 69.6267, 73.0233, 65.08, 70.09, 72.355, 73.39, 73.52, 526131, 118.754, 526047, 526215, 526064, 526064, 526068, 526208, 526448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784267, 0, 9784267, 9784267, 9784267, 9784267, 9784267, 9784267, 9784267, 38561264, 0, 38561264, 38561264, 38561264, 38561264, 38561264, 38561264, 38561264
Fri Jan 13 23:21:28 EST 2017, 1, 2, 0.250, 10, 104.23, 7.7402, 98.7766, 109.683, 92.98, 96.25, 109.875, 110.52, 112.45, 579261, 119.248, 579177, 579345, 579168, 579172, 579230, 579412, 579500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9896868, 0, 9896868, 9896868, 9896868, 9896868, 9896868, 9896868, 9896868, 61951248, 0, 61951248, 61951248, 61951248, 61951248, 61951248, 61951248, 61951248
Fri Jan 13 23:26:05 EST 2017, 1, 5, 0.250, 10, 136.443, 5.31859, 132.696, 140.19, 127.36, 133.14, 137.675, 138.07, 148.1, 630717, 1.83304, 630716, 630718, 630716, 630716, 630716, 630720, 630720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 89957351, 1, 8.99574e+07, 8.99574e+07, 89957351, 89957351, 89957351, 89957351, 89957351
Fri Jan 13 23:30:07 EST 2017, 1, 10, 0.250, 10, 138.258, 6.42624, 133.73, 142.786, 126.33, 131.57, 142.195, 144.2, 144.34, 654176, 75.0989, 654123, 654229, 654140, 654140, 654146, 654216, 654392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 97340576, 0, 97340576, 97340576, 97340576, 97340576, 97340576, 97340576, 97340576
Fri Jan 13 23:36:30 EST 2017, 1, 1, 0.000, 15, 100.696, 4.85798, 97.2733, 104.119, 96.24, 96.79, 101.205, 107, 107.55, 607357, 582.997, 606946, 607768, 606568, 606820, 607668, 608020, 608124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9888391, 0, 9888391, 9888391, 9888391, 9888391, 9888391, 9888391, 9888391, 57844321, 0.707107, 5.78443e+07, 5.78443e+07, 57844321, 57844321, 57844321, 57844321, 57844321
Fri Jan 13 23:43:42 EST 2017, 1, 2, 0.000, 15, 159.981, 3.66549, 157.398, 162.564, 153.4, 155.67, 161.965, 163.89, 163.9, 671226, 499.924, 670874, 671578, 670572, 670776, 671388, 671940, 672072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9899974, 0, 9899974, 9899974, 9899974, 9899974, 9899974, 9899974, 9899974, 92925590, 1.41421, 9.29256e+07, 9.29256e+07, 92925590, 92925590, 92925590, 92925590, 92925590
Fri Jan 13 23:48:59 EST 2017, 1, 5, 0.000, 15, 220.113, 9.2678, 213.583, 226.643, 204.87, 211.62, 225.245, 230.28, 232.12, 750588, 569.623, 750187, 750989, 749740, 750100, 750628, 751460, 751528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 134945209, 2, 1.34945e+08, 1.34945e+08, 134945209, 134945209, 134945209, 134945209, 134945209
Sat Jan 14 00:01:08 EST 2017, 1, 10, 0.000, 15, 215.982, 12.3304, 207.295, 224.669, 191.89, 204.85, 224.835, 228.55, 230.02, 775669, 577.9, 775262, 776076, 774768, 775268, 775918, 776160, 776652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 146011537, 0, 146011537, 146011537, 146011537, 146011537, 146011537, 146011537, 146011537
Sat Jan 14 00:06:16 EST 2017, 1, 1, 0.250, 15, 103.573, 3.51745, 101.095, 106.051, 97.9, 101.51, 106.355, 106.95, 107.26, 590066, 608.54, 589637, 590495, 588948, 589596, 590426, 590748, 590800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9887762, 0, 9887762, 9887762, 9887762, 9887762, 9887762, 9887762, 9887762, 57842736, 0, 57842736, 57842736, 57842736, 57842736, 57842736, 57842736, 57842736
Sat Jan 14 00:15:14 EST 2017, 1, 2, 0.250, 15, 152.322, 7.92574, 146.738, 157.906, 137.92, 152.92, 154.545, 156.1, 166.73, 661611, 559.537, 661217, 662005, 660628, 661176, 661746, 662348, 662448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9899957, 0, 9899957, 9899957, 9899957, 9899957, 9899957, 9899957, 9899957, 92925689, 1, 9.29257e+07, 9.29257e+07, 92925689, 92925689, 92925689, 92925689, 92925689
Sat Jan 14 00:20:36 EST 2017, 1, 5, 0.250, 15, 220.743, 9.20404, 214.258, 227.228, 201.04, 216.95, 220.685, 232.19, 233.4, 743526, 426.233, 743226, 743826, 742820, 743164, 743814, 743944, 744124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 134945355, 2, 1.34945e+08, 1.34945e+08, 134945355, 134945355, 134945355, 134945355, 134945355
Sat Jan 14 00:30:39 EST 2017, 1, 10, 0.250, 15, 235.656, 6.37467, 231.165, 240.147, 225.75, 226.79, 239.19, 241.47, 242.13, 758223, 514.015, 757861, 758585, 757504, 757720, 758414, 758844, 758932, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 146011422, 0, 146011422, 146011422, 146011422, 146011422, 146011422, 146011422, 146011422
Sat Jan 14 00:34:31 EST 2017, 1, 1, 0.000, 20, 132.199, 5.08512, 128.616, 135.782, 123.86, 128.56, 132.155, 139.02, 139.72, 669464, 62.6469, 669420, 669508, 669440, 669440, 669444, 669452, 669652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9898774, 0, 9898774, 9898774, 9898774, 9898774, 9898774, 9898774, 9898774, 77123957, 0, 77123957, 77123957, 77123957, 77123957, 77123957, 77123957, 77123957
Sat Jan 14 00:39:58 EST 2017, 1, 2, 0.000, 20, 217.95, 4.20756, 214.986, 220.914, 210.53, 215.2, 219.905, 222.19, 222.93, 746723, 164.602, 746607, 746839, 746572, 746584, 746710, 747004, 747056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 123902454, 0, 123902454, 123902454, 123902454, 123902454, 123902454, 123902454, 123902454
Sat Jan 14 00:51:37 EST 2017, 1, 5, 0.000, 20, 297.291, 10.7745, 289.7, 304.882, 280.94, 285.03, 301.185, 309.68, 311.32, 842974, 113.957, 842894, 843054, 842932, 842932, 842936, 842948, 843316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 179925226, 2, 1.79925e+08, 1.79925e+08, 179925226, 179925226, 179925226, 179925226, 179925226
Sat Jan 14 01:02:21 EST 2017, 1, 10, 0.000, 20, 308.585, 27.2521, 289.384, 327.786, 262.57, 283.94, 317.415, 339.32, 344.88, 860106, 228.142, 859945, 860267, 859976, 859976, 860002, 860520, 860596, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 194682490, 2.82843, 1.94682e+08, 1.94682e+08, 194682490, 194682490, 194682490, 194682490, 194682490
Sat Jan 14 01:06:33 EST 2017, 1, 1, 0.250, 20, 136.07, 4.32351, 133.024, 139.116, 129.26, 131.55, 138.69, 140.4, 140.51, 652736, 175.372, 652612, 652860, 652552, 652556, 652762, 652960, 653036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9898636, 0, 9898636, 9898636, 9898636, 9898636, 9898636, 9898636, 9898636, 77125299, 0, 77125299, 77125299, 77125299, 77125299, 77125299, 77125299, 77125299
Sat Jan 14 01:13:51 EST 2017, 1, 2, 0.250, 20, 205.368, 6.53441, 200.764, 209.972, 196.3, 197.41, 210.48, 211.05, 212.42, 738043, 124.939, 737955, 738131, 737956, 737956, 738020, 738168, 738348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9899998, 0, 9899998, 9899998, 9899998, 9899998, 9899998, 9899998, 9899998, 123901877, 2, 1.23902e+08, 1.23902e+08, 123901877, 123901877, 123901877, 123901877, 123901877
Sat Jan 14 01:29:45 EST 2017, 1, 5, 0.250, 20, 302.01, 8.51981, 296.007, 308.013, 290.38, 292.38, 307.2, 311.75, 311.79, 839593, 249.281, 839417, 839769, 839380, 839380, 839534, 839964, 840084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 179924925, 0, 179924925, 179924925, 179924925, 179924925, 179924925, 179924925, 179924925
Sat Jan 14 01:39:18 EST 2017, 1, 10, 0.250, 20, 297.817, 16.8624, 285.937, 309.697, 272.25, 284.57, 310.9, 314.69, 317.16, 855738, 136.917, 855642, 855834, 855676, 855676, 855680, 855836, 856124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 194682438, 2.82843, 1.94682e+08, 1.94682e+08, 194682438, 194682438, 194682438, 194682438, 194682438
