# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 09:15:24 EST 2017, 873, 0.230, 3, 0.980, 595, 98, 16, 22, 42, 99.053, 104.340
Mon Jan  9 09:16:32 EST 2017, 5823, 0.730, 7, 0.480, 445, 53, 6, 47, 87, 68.383, 68.030
Mon Jan  9 09:16:34 EST 2017, 8298, 0.480, 5, 0.730, 370, 76, 1, 10, 19, 1.317, 1.330
Mon Jan  9 09:16:55 EST 2017, 3348, 0.980, 1, 0.230, 520, 31, 11, 35, 64, 20.753, 20.547
Mon Jan  9 09:17:23 EST 2017, 4585, 0.350, 9, 0.850, 332, 19, 18, 41, 53, 28.630, 28.333
Mon Jan  9 09:18:34 EST 2017, 9535, 0.850, 4, 0.350, 482, 64, 9, 16, 98, 70.410, 70.340
Mon Jan  9 09:18:42 EST 2017, 7060, 0.100, 2, 0.600, 557, 42, 4, 28, 31, 7.487, 7.483
Mon Jan  9 09:19:47 EST 2017, 2110, 0.600, 6, 0.100, 407, 87, 13, 3, 76, 61.847, 59.993
Mon Jan  9 09:20:27 EST 2017, 1492, 0.420, 1, 0.290, 426, 81, 17, 25, 47, 40.187, 40.047
Mon Jan  9 09:20:44 EST 2017, 6442, 0.920, 6, 0.790, 576, 36, 7, 0, 92, 16.617, 15.857
Mon Jan  9 09:20:55 EST 2017, 8917, 0.170, 8, 0.040, 501, 59, 3, 38, 25, 10.667, 10.640
Mon Jan  9 09:21:02 EST 2017, 3967, 0.670, 3, 0.540, 351, 14, 12, 13, 70, 7.483, 7.470
Mon Jan  9 09:21:16 EST 2017, 2729, 0.040, 7, 0.420, 464, 25, 19, 7, 36, 13.117, 12.660
Mon Jan  9 09:22:08 EST 2017, 7679, 0.540, 2, 0.920, 314, 70, 10, 32, 81, 51.190, 49.507
Mon Jan  9 09:22:11 EST 2017, 5204, 0.290, 5, 0.170, 389, 47, 5, 19, 14, 3.523, 3.493
Mon Jan  9 09:25:41 EST 2017, 254, 0.790, 9, 0.670, 539, 92, 14, 44, 59, 208.820, 208.130
Mon Jan  9 09:26:13 EST 2017, 332, 0.390, 5, 0.800, 363, 88, 8, 34, 31, 31.713, 31.450
Mon Jan  9 09:27:20 EST 2017, 5282, 0.890, 9, 0.300, 513, 43, 18, 9, 76, 65.977, 65.887
Mon Jan  9 09:29:48 EST 2017, 7757, 0.140, 7, 0.550, 588, 65, 13, 47, 54, 147.700, 147.130
Mon Jan  9 09:29:55 EST 2017, 2807, 0.640, 2, 0.050, 438, 20, 3, 22, 99, 5.953, 6.053
Mon Jan  9 09:29:57 EST 2017, 4044, 0.020, 8, 0.920, 550, 31, 6, 3, 20, 2.350, 2.400
Mon Jan  9 09:31:31 EST 2017, 8994, 0.520, 3, 0.420, 400, 76, 15, 28, 65, 92.313, 93.267
Mon Jan  9 09:31:40 EST 2017, 6519, 0.270, 1, 0.670, 325, 54, 10, 16, 43, 8.723, 8.603
Mon Jan  9 09:32:04 EST 2017, 1569, 0.770, 6, 0.170, 475, 99, 1, 41, 88, 23.217, 23.237
Mon Jan  9 09:32:12 EST 2017, 2188, 0.210, 2, 0.490, 494, 93, 9, 12, 14, 8.457, 8.457
Mon Jan  9 09:33:33 EST 2017, 7138, 0.710, 6, 0.990, 344, 48, 19, 37, 59, 78.993, 79.390
Mon Jan  9 09:33:53 EST 2017, 9613, 0.460, 8, 0.240, 419, 71, 14, 0, 37, 19.883, 20.330
Mon Jan  9 09:34:13 EST 2017, 4663, 0.960, 4, 0.740, 569, 26, 5, 25, 82, 18.480, 18.667
Mon Jan  9 09:34:17 EST 2017, 3425, 0.330, 5, 0.360, 382, 14, 7, 44, 26, 4.747, 4.790
Mon Jan  9 09:35:01 EST 2017, 8375, 0.830, 1, 0.860, 532, 59, 16, 19, 71, 43.353, 43.467
Mon Jan  9 09:35:33 EST 2017, 5900, 0.080, 3, 0.110, 457, 37, 12, 31, 48, 30.943, 31.433
Mon Jan  9 09:35:44 EST 2017, 950, 0.580, 7, 0.610, 307, 82, 2, 6, 93, 9.720, 10.027
Mon Jan  9 09:38:00 EST 2017, 1260, 0.110, 6, 0.640, 447, 57, 18, 20, 96, 132.977, 131.057
