# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 08:44:13 EST 2017, 4450, 0.060, 9, 0.660, 459, 38, 1, 12, 56, 4.260, 4.347
Mon Jan  9 08:44:27 EST 2017, 9400, 0.560, 5, 0.160, 309, 83, 11, 37, 11, 13.037, 13.017
Mon Jan  9 08:44:33 EST 2017, 6925, 0.310, 2, 0.910, 384, 15, 16, 0, 79, 5.863, 5.413
Mon Jan  9 08:44:56 EST 2017, 1975, 0.810, 7, 0.410, 534, 60, 6, 25, 34, 22.637, 22.703
Mon Jan  9 08:45:05 EST 2017, 1356, 0.120, 1, 0.230, 591, 55, 5, 3, 62, 8.120, 8.587
Mon Jan  9 08:45:08 EST 2017, 6306, 0.620, 5, 0.730, 441, 10, 14, 28, 17, 3.373, 3.433
Mon Jan  9 08:47:23 EST 2017, 8781, 0.370, 8, 0.480, 366, 77, 19, 15, 85, 131.853, 132.590
Mon Jan  9 08:47:49 EST 2017, 3831, 0.870, 3, 0.980, 516, 32, 10, 40, 40, 25.543, 25.410
Mon Jan  9 08:47:59 EST 2017, 2594, 0.250, 6, 0.100, 328, 43, 2, 34, 73, 9.847, 9.907
Mon Jan  9 08:48:19 EST 2017, 7544, 0.750, 2, 0.600, 478, 88, 12, 9, 28, 19.413, 18.563
Mon Jan  9 08:49:49 EST 2017, 5069, 0.000, 4, 0.350, 553, 21, 17, 46, 96, 90.280, 89.187
Mon Jan  9 08:50:19 EST 2017, 119, 0.500, 9, 0.850, 403, 66, 7, 21, 51, 28.313, 27.863
Mon Jan  9 08:51:27 EST 2017, 129, 0.250, 4, 0.150, 568, 49, 14, 21, 65, 67.017, 65.567
Mon Jan  9 08:51:49 EST 2017, 5079, 0.750, 8, 0.650, 418, 94, 5, 46, 20, 21.287, 21.537
Mon Jan  9 08:52:02 EST 2017, 7554, 0.000, 6, 0.400, 343, 26, 9, 8, 87, 12.823, 12.530
Mon Jan  9 08:53:20 EST 2017, 2604, 0.500, 2, 0.900, 493, 71, 19, 33, 42, 75.273, 77.200
Mon Jan  9 08:54:42 EST 2017, 3841, 0.120, 9, 0.020, 306, 60, 12, 39, 76, 80.257, 80.920
Mon Jan  9 08:54:44 EST 2017, 8791, 0.620, 5, 0.520, 456, 15, 2, 14, 31, 1.157, 1.167
Mon Jan  9 08:56:24 EST 2017, 6316, 0.370, 3, 0.270, 531, 83, 7, 27, 99, 95.747, 95.917
Mon Jan  9 08:56:43 EST 2017, 1366, 0.870, 7, 0.770, 381, 38, 17, 2, 54, 18.417, 17.713
Mon Jan  9 08:57:04 EST 2017, 1985, 0.060, 1, 0.580, 437, 32, 13, 30, 71, 20.903, 20.930
Mon Jan  9 08:57:11 EST 2017, 6935, 0.560, 5, 0.080, 587, 77, 3, 5, 26, 6.047, 6.273
Mon Jan  9 08:57:30 EST 2017, 9410, 0.310, 8, 0.830, 512, 10, 8, 43, 93, 18.803, 18.897
