# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 08:44:21 EST 2017, 2275, 0.090, 5, 0.450, 400, 69, 1, 32, 77, 11.207, 11.443
Mon Jan  9 08:44:24 EST 2017, 7225, 0.590, 1, 0.950, 550, 24, 10, 7, 32, 3.007, 3.003
Mon Jan  9 08:47:01 EST 2017, 9700, 0.340, 3, 0.200, 475, 91, 15, 44, 55, 154.857, 155.440
Mon Jan  9 08:47:04 EST 2017, 4750, 0.840, 8, 0.700, 325, 46, 6, 19, 10, 2.683, 2.683
Mon Jan  9 08:47:09 EST 2017, 3512, 0.470, 2, 0.330, 512, 35, 3, 0, 88, 4.650, 4.587
Mon Jan  9 08:48:05 EST 2017, 8462, 0.970, 7, 0.830, 362, 80, 13, 25, 43, 56.037, 54.227
Mon Jan  9 08:48:21 EST 2017, 5987, 0.220, 9, 0.080, 437, 13, 18, 13, 66, 15.137, 15.387
Mon Jan  9 08:48:44 EST 2017, 1037, 0.720, 4, 0.580, 587, 58, 8, 38, 21, 22.963, 22.800
Mon Jan  9 08:49:03 EST 2017, 728, 0.190, 1, 0.670, 466, 77, 12, 27, 29, 18.907, 18.677
Mon Jan  9 08:49:07 EST 2017, 5678, 0.690, 5, 0.170, 316, 32, 3, 2, 74, 3.367, 3.210
Mon Jan  9 08:49:43 EST 2017, 8153, 0.440, 7, 0.920, 391, 55, 7, 39, 52, 35.857, 36.357
Mon Jan  9 08:50:00 EST 2017, 3203, 0.940, 3, 0.420, 541, 10, 17, 14, 97, 16.797, 16.497
Mon Jan  9 08:50:04 EST 2017, 4440, 0.310, 6, 0.550, 428, 21, 15, 8, 18, 3.923, 3.873
Mon Jan  9 08:50:40 EST 2017, 9390, 0.810, 2, 0.050, 578, 66, 5, 33, 63, 35.233, 34.773
Mon Jan  9 08:51:04 EST 2017, 6915, 0.060, 4, 0.800, 503, 44, 10, 21, 41, 23.757, 23.673
Mon Jan  9 08:55:56 EST 2017, 1965, 0.560, 9, 0.300, 353, 89, 19, 46, 86, 290.537, 288.977
Mon Jan  9 08:56:07 EST 2017, 1347, 0.370, 3, 0.110, 334, 94, 11, 24, 12, 10.947, 10.927
Mon Jan  9 08:56:15 EST 2017, 6297, 0.870, 8, 0.610, 484, 49, 1, 49, 57, 8.293, 8.417
Mon Jan  9 08:56:34 EST 2017, 8772, 0.120, 6, 0.360, 559, 72, 6, 11, 35, 18.203, 18.137
Mon Jan  9 08:57:00 EST 2017, 3822, 0.620, 1, 0.860, 409, 27, 16, 36, 80, 25.907, 25.733
Mon Jan  9 08:57:14 EST 2017, 2584, 0.000, 9, 0.230, 597, 15, 13, 43, 24, 13.953, 14.093
Mon Jan  9 08:57:35 EST 2017, 7534, 0.500, 5, 0.730, 447, 60, 4, 18, 69, 20.693, 20.530
Mon Jan  9 08:57:51 EST 2017, 5059, 0.250, 2, 0.480, 372, 38, 9, 30, 46, 15.177, 15.057
Mon Jan  9 08:59:55 EST 2017, 109, 0.750, 7, 0.980, 522, 83, 18, 5, 91, 121.943, 120.660
Mon Jan  9 09:01:45 EST 2017, 114, 0.370, 8, 0.650, 483, 74, 17, 41, 38, 109.493, 109.373
Mon Jan  9 09:01:58 EST 2017, 5064, 0.870, 3, 0.150, 333, 29, 7, 16, 83, 12.203, 12.360
Mon Jan  9 09:02:00 EST 2017, 7539, 0.120, 1, 0.900, 408, 97, 2, 28, 15, 1.997, 2.100
Mon Jan  9 09:02:33 EST 2017, 2589, 0.620, 6, 0.400, 558, 52, 12, 3, 60, 32.840, 31.860
Mon Jan  9 09:03:25 EST 2017, 3827, 0.000, 5, 0.520, 446, 41, 19, 22, 49, 51.220, 50.087
Mon Jan  9 09:07:37 EST 2017, 8777, 0.500, 9, 0.020, 596, 86, 9, 47, 94, 247.623, 247.723
Mon Jan  9 09:07:40 EST 2017, 6302, 0.250, 7, 0.770, 521, 18, 5, 10, 26, 2.540, 2.530
Mon Jan  9 09:08:52 EST 2017, 1352, 0.750, 2, 0.270, 371, 63, 14, 35, 71, 68.177, 67.870
Mon Jan  9 09:09:20 EST 2017, 1970, 0.180, 5, 0.090, 314, 58, 15, 7, 54, 26.363, 26.577
Mon Jan  9 09:09:26 EST 2017, 6920, 0.680, 1, 0.590, 464, 13, 6, 32, 99, 6.177, 6.323
Mon Jan  9 09:09:30 EST 2017, 9395, 0.430, 3, 0.340, 539, 80, 1, 19, 32, 3.903, 3.827
Mon Jan  9 09:10:29 EST 2017, 4445, 0.930, 7, 0.840, 389, 35, 11, 44, 77, 57.620, 58.340
Mon Jan  9 09:11:16 EST 2017, 3208, 0.310, 2, 0.210, 577, 46, 18, 25, 43, 44.773, 46.347
Mon Jan  9 09:11:56 EST 2017, 8158, 0.810, 6, 0.710, 427, 91, 8, 0, 88, 38.910, 39.247
Mon Jan  9 09:11:58 EST 2017, 5683, 0.060, 8, 0.460, 352, 24, 3, 38, 21, 2.673, 2.683
Mon Jan  9 09:13:04 EST 2017, 733, 0.560, 4, 0.960, 502, 69, 13, 13, 66, 62.480, 62.157
Mon Jan  9 09:13:19 EST 2017, 1042, 0.090, 1, 0.810, 549, 89, 8, 2, 57, 14.777, 14.740
Mon Jan  9 09:13:31 EST 2017, 5992, 0.590, 5, 0.310, 399, 44, 17, 27, 12, 11.720, 11.720
Mon Jan  9 09:14:25 EST 2017, 8467, 0.340, 8, 0.560, 324, 66, 12, 14, 80, 52.383, 53.513
Mon Jan  9 09:14:29 EST 2017, 3517, 0.840, 3, 0.060, 474, 21, 3, 39, 35, 4.010, 4.087
Mon Jan  9 09:14:39 EST 2017, 4755, 0.470, 6, 0.930, 361, 10, 10, 33, 69, 9.407, 9.587
Mon Jan  9 09:14:55 EST 2017, 9705, 0.970, 2, 0.430, 511, 55, 19, 8, 24, 15.407, 15.573
Mon Jan  9 09:16:58 EST 2017, 7230, 0.220, 4, 0.680, 586, 32, 15, 46, 91, 118.977, 122.610
Mon Jan  9 09:17:23 EST 2017, 2280, 0.720, 9, 0.180, 436, 77, 5, 21, 46, 24.690, 24.850
Mon Jan  9 09:18:36 EST 2017, 1661, 0.280, 4, 0.490, 380, 83, 6, 49, 74, 71.207, 71.310
Mon Jan  9 09:19:04 EST 2017, 6611, 0.780, 8, 0.990, 530, 38, 16, 24, 29, 28.220, 28.080
Mon Jan  9 09:21:17 EST 2017, 9086, 0.030, 6, 0.240, 455, 60, 11, 36, 97, 129.237, 130.137
Mon Jan  9 09:21:18 EST 2017, 4136, 0.530, 1, 0.740, 305, 15, 2, 11, 52, 0.617, 0.647
Mon Jan  9 09:21:39 EST 2017, 2898, 0.150, 9, 0.370, 492, 27, 9, 18, 63, 21.093, 20.687
Mon Jan  9 09:22:16 EST 2017, 7848, 0.650, 5, 0.870, 342, 72, 18, 43, 18, 36.420, 36.367
Mon Jan  9 09:22:53 EST 2017, 5373, 0.400, 3, 0.120, 417, 49, 14, 5, 85, 35.430, 36.787
Mon Jan  9 09:23:27 EST 2017, 423, 0.900, 7, 0.620, 567, 94, 4, 30, 40, 33.383, 33.343
Mon Jan  9 09:23:44 EST 2017, 578, 0.140, 3, 0.200, 347, 20, 11, 23, 87, 16.883, 17.070
Mon Jan  9 09:24:00 EST 2017, 5528, 0.640, 8, 0.700, 497, 65, 2, 48, 42, 15.723, 15.763
Mon Jan  9 09:24:24 EST 2017, 8003, 0.390, 6, 0.450, 572, 42, 7, 11, 64, 23.290, 23.130
Mon Jan  9 09:24:45 EST 2017, 3053, 0.890, 1, 0.950, 422, 87, 16, 36, 19, 20.203, 19.930
Mon Jan  9 09:31:16 EST 2017, 4291, 0.260, 9, 0.070, 535, 98, 14, 42, 98, 385.827, 375.753
Mon Jan  9 09:31:28 EST 2017, 9241, 0.760, 4, 0.570, 385, 53, 4, 17, 53, 11.123, 10.973
Mon Jan  9 09:32:11 EST 2017, 6766, 0.010, 2, 0.320, 310, 76, 9, 29, 76, 42.843, 41.777
Mon Jan  9 09:32:23 EST 2017, 1816, 0.510, 7, 0.820, 460, 31, 19, 4, 31, 11.137, 11.247
Mon Jan  9 09:32:52 EST 2017, 2434, 0.450, 2, 0.510, 516, 25, 10, 26, 92, 27.960, 28.253
Mon Jan  9 09:32:54 EST 2017, 7384, 0.950, 6, 0.010, 366, 70, 1, 1, 47, 2.243, 2.330
Mon Jan  9 09:33:38 EST 2017, 9859, 0.200, 8, 0.760, 441, 48, 6, 39, 70, 42.617, 42.400
Mon Jan  9 09:34:23 EST 2017, 4909, 0.700, 4, 0.260, 591, 93, 15, 14, 25, 44.903, 44.847
Mon Jan  9 09:35:36 EST 2017, 3672, 0.070, 7, 0.630, 403, 82, 13, 7, 81, 72.470, 72.270
Mon Jan  9 09:35:44 EST 2017, 8622, 0.570, 3, 0.130, 553, 37, 3, 32, 36, 7.610, 7.653
Mon Jan  9 09:36:23 EST 2017, 6147, 0.320, 5, 0.880, 478, 59, 8, 20, 59, 38.097, 37.773
Mon Jan  9 09:36:28 EST 2017, 1197, 0.820, 9, 0.380, 328, 14, 17, 45, 14, 5.777, 5.770
Mon Jan  9 09:36:31 EST 2017, 887, 0.360, 6, 0.350, 413, 34, 3, 31, 16, 2.597, 2.567
Mon Jan  9 09:36:58 EST 2017, 5837, 0.860, 1, 0.850, 563, 79, 12, 6, 61, 26.573, 26.087
Mon Jan  9 09:37:14 EST 2017, 8312, 0.110, 4, 0.100, 488, 11, 17, 43, 39, 15.693, 15.647
Mon Jan  9 09:37:46 EST 2017, 3362, 0.610, 8, 0.600, 338, 56, 7, 18, 84, 31.887, 31.820
Mon Jan  9 09:37:50 EST 2017, 4600, 0.230, 2, 0.480, 450, 67, 5, 0, 28, 3.630, 3.780
Mon Jan  9 09:38:12 EST 2017, 9550, 0.730, 7, 0.980, 300, 22, 14, 25, 73, 21.603, 21.127
Mon Jan  9 09:39:32 EST 2017, 7075, 0.480, 9, 0.230, 375, 90, 19, 12, 50, 80.123, 79.887
Mon Jan  9 09:41:11 EST 2017, 2125, 0.980, 5, 0.730, 525, 45, 10, 37, 95, 97.957, 95.440
Mon Jan  9 09:41:13 EST 2017, 1506, 0.040, 7, 0.920, 581, 51, 1, 15, 22, 1.793, 1.883
Mon Jan  9 09:43:12 EST 2017, 6456, 0.540, 3, 0.420, 431, 96, 11, 40, 67, 117.660, 118.207
Mon Jan  9 09:43:16 EST 2017, 8931, 0.290, 1, 0.670, 356, 28, 16, 3, 45, 4.107, 4.210
Mon Jan  9 09:44:31 EST 2017, 3981, 0.790, 5, 0.170, 506, 73, 6, 28, 90, 74.287, 71.840
Mon Jan  9 09:44:35 EST 2017, 2744, 0.420, 4, 0.790, 319, 62, 4, 46, 11, 4.297, 4.303
Mon Jan  9 09:44:53 EST 2017, 7694, 0.920, 9, 0.290, 469, 17, 13, 21, 56, 17.357, 17.157
Mon Jan  9 09:46:48 EST 2017, 5219, 0.170, 6, 0.540, 544, 84, 18, 34, 33, 111.093, 113.920
Mon Jan  9 09:47:01 EST 2017, 269, 0.670, 2, 0.040, 394, 39, 8, 9, 78, 12.577, 12.800
Mon Jan  9 09:47:44 EST 2017, 346, 0.020, 6, 0.410, 499, 46, 14, 19, 50, 42.800, 42.117
Mon Jan  9 09:48:29 EST 2017, 5296, 0.520, 2, 0.910, 349, 91, 4, 44, 95, 43.983, 43.280
Mon Jan  9 09:48:32 EST 2017, 7771, 0.270, 4, 0.160, 424, 23, 9, 7, 27, 3.477, 3.540
Mon Jan  9 09:52:15 EST 2017, 2821, 0.770, 8, 0.660, 574, 68, 18, 32, 72, 218.533, 219.087
Mon Jan  9 09:52:34 EST 2017, 4059, 0.390, 1, 0.280, 387, 57, 11, 38, 38, 18.123, 17.870
Mon Jan  9 09:52:37 EST 2017, 9009, 0.890, 5, 0.780, 537, 12, 2, 13, 83, 2.587, 2.630
Mon Jan  9 09:52:51 EST 2017, 6534, 0.140, 7, 0.030, 462, 79, 7, 26, 16, 14.267, 14.257
Mon Jan  9 09:53:02 EST 2017, 1584, 0.640, 3, 0.530, 312, 34, 16, 1, 61, 11.030, 10.913
Mon Jan  9 09:53:28 EST 2017, 2202, 0.330, 9, 0.850, 368, 40, 12, 29, 33, 22.610, 21.050
Mon Jan  9 09:53:46 EST 2017, 7152, 0.830, 4, 0.350, 518, 85, 3, 4, 78, 17.957, 18.010
Mon Jan  9 09:53:49 EST 2017, 9627, 0.080, 2, 0.600, 593, 18, 8, 41, 10, 2.820, 2.810
Mon Jan  9 09:55:02 EST 2017, 4677, 0.580, 7, 0.100, 443, 63, 17, 16, 55, 72.027, 71.810
Mon Jan  9 09:55:34 EST 2017, 3440, 0.210, 3, 0.970, 556, 74, 10, 10, 44, 31.967, 31.197
Mon Jan  9 09:55:39 EST 2017, 8390, 0.710, 8, 0.470, 406, 29, 1, 35, 89, 5.297, 5.323
Mon Jan  9 09:55:50 EST 2017, 5915, 0.460, 6, 0.720, 331, 96, 5, 23, 21, 10.343, 10.673
Mon Jan  9 09:56:47 EST 2017, 965, 0.960, 1, 0.220, 481, 51, 15, 48, 66, 55.503, 54.450
Mon Jan  9 09:57:17 EST 2017, 1274, 0.490, 5, 0.000, 565, 32, 5, 37, 75, 29.190, 29.033
Mon Jan  9 09:57:51 EST 2017, 6224, 0.990, 9, 0.500, 415, 77, 14, 12, 30, 31.947, 29.823
Mon Jan  9 10:01:12 EST 2017, 8699, 0.240, 7, 0.250, 340, 54, 19, 49, 97, 197.853, 195.180
Mon Jan  9 10:02:11 EST 2017, 3749, 0.740, 2, 0.750, 490, 99, 10, 24, 52, 57.040, 56.957
Mon Jan  9 10:02:18 EST 2017, 4987, 0.110, 8, 0.130, 303, 88, 2, 5, 64, 7.197, 7.120
Mon Jan  9 10:02:33 EST 2017, 9937, 0.610, 4, 0.630, 453, 43, 12, 30, 19, 14.817, 14.780
Mon Jan  9 10:03:38 EST 2017, 7462, 0.360, 1, 0.380, 528, 65, 17, 18, 86, 63.800, 62.733
Mon Jan  9 10:03:48 EST 2017, 2512, 0.860, 6, 0.880, 378, 20, 7, 43, 41, 10.577, 10.587
Mon Jan  9 10:03:52 EST 2017, 1893, 0.180, 2, 0.690, 434, 15, 4, 15, 58, 2.543, 2.750
Mon Jan  9 10:04:19 EST 2017, 6843, 0.680, 6, 0.190, 584, 60, 13, 40, 13, 27.233, 27.103
Mon Jan  9 10:04:59 EST 2017, 9318, 0.430, 9, 0.940, 509, 37, 18, 2, 80, 38.900, 36.530
Mon Jan  9 10:05:26 EST 2017, 4368, 0.930, 4, 0.440, 359, 82, 8, 27, 35, 27.183, 26.403
Mon Jan  9 10:05:44 EST 2017, 3130, 0.300, 5, 0.560, 471, 93, 1, 46, 69, 17.450, 17.543
Mon Jan  9 10:05:49 EST 2017, 8080, 0.800, 1, 0.060, 321, 48, 11, 21, 24, 5.383, 5.427
Mon Jan  9 10:08:38 EST 2017, 5605, 0.050, 3, 0.810, 396, 71, 15, 34, 92, 149.977, 137.777
Mon Jan  9 10:08:46 EST 2017, 655, 0.550, 8, 0.310, 546, 26, 6, 9, 47, 7.297, 7.407
Mon Jan  9 10:11:40 EST 2017, 501, 0.250, 3, 0.990, 335, 78, 19, 39, 90, 172.170, 170.080
Mon Jan  9 10:11:55 EST 2017, 5451, 0.750, 7, 0.490, 485, 33, 9, 14, 45, 14.903, 14.913
Mon Jan  9 10:12:28 EST 2017, 7926, 0.000, 9, 0.740, 560, 56, 4, 27, 68, 32.020, 32.223
Mon Jan  9 10:12:29 EST 2017, 2976, 0.500, 5, 0.240, 410, 11, 14, 2, 23, 1.463, 1.533
Mon Jan  9 10:13:16 EST 2017, 4213, 0.130, 6, 0.860, 598, 22, 16, 20, 79, 45.667, 46.300
Mon Jan  9 10:13:42 EST 2017, 9163, 0.630, 2, 0.360, 448, 67, 7, 45, 34, 24.963, 25.043
Mon Jan  9 10:13:46 EST 2017, 6688, 0.380, 4, 0.610, 373, 44, 2, 8, 57, 3.663, 3.790
Mon Jan  9 10:14:13 EST 2017, 1738, 0.880, 8, 0.110, 523, 89, 12, 33, 12, 26.860, 27.183
Mon Jan  9 10:16:49 EST 2017, 2357, 0.070, 4, 0.300, 467, 95, 18, 11, 85, 154.647, 155.387
Mon Jan  9 10:17:12 EST 2017, 7307, 0.570, 9, 0.800, 317, 50, 8, 36, 40, 22.477, 22.500
Mon Jan  9 10:17:31 EST 2017, 9782, 0.320, 7, 0.050, 392, 72, 3, 23, 62, 18.273, 18.213
Mon Jan  9 10:17:42 EST 2017, 4832, 0.820, 2, 0.550, 542, 27, 13, 48, 17, 11.477, 11.433
Mon Jan  9 10:18:21 EST 2017, 3594, 0.440, 8, 0.420, 429, 16, 15, 30, 96, 38.343, 37.813
Mon Jan  9 10:18:36 EST 2017, 8544, 0.940, 3, 0.920, 579, 61, 6, 5, 51, 14.773, 14.660
Mon Jan  9 10:18:39 EST 2017, 6069, 0.190, 1, 0.170, 504, 39, 1, 42, 73, 3.350, 3.397
Mon Jan  9 10:19:01 EST 2017, 1119, 0.690, 5, 0.670, 354, 84, 10, 17, 28, 21.047, 20.697
Mon Jan  9 10:19:10 EST 2017, 810, 0.220, 9, 0.580, 401, 64, 10, 3, 26, 9.370, 8.933
