# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max
Sat Jan 14 09:50:50 EST 2017, 1, 5, 0.000, 2, 9.364, 0.141294, 9.26445, 9.46355, 9.17, 9.23, 9.45, 9.55, 9.56, 10831.2, 3.48712, 10828.7, 10833.7, 10828, 10828, 10832, 10836, 10836, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4729967, 0, 4729967, 4729967, 4729967, 4729967, 4729967, 4729967, 4729967, 9177160, 0, 9177160, 9177160, 9177160, 9177160, 9177160, 9177160, 9177160, 1.04159, 1.49012e-08, 1.04159, 1.04159, 1.04159, 1.04159, 1.04159, 1.04159, 1.04159, 1.94061, 2.98023e-08, 1.94061, 1.94061, 1.94061, 1.94061, 1.94061, 1.94061, 1.94061, 8.72867, 2.06477e-07, 8.72867, 8.72867, 8.72867, 8.72867, 8.72867, 8.72867, 8.72867, 6544824, 0, 6544824, 6544824, 6544824, 6544824, 6544824, 6544824, 6544824
Sat Jan 14 09:54:58 EST 2017, 1, 10, 0.000, 2, 9.74, 0.276405, 9.54526, 9.93474, 9.55, 9.59, 9.635, 10.21, 10.36, 10930.4, 2.6533, 10928.5, 10932.3, 10928, 10928, 10932, 10932, 10936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4963402, 0, 4963402, 4963402, 4963402, 4963402, 4963402, 4963402, 4963402, 9929356, 0, 9929356, 9929356, 9929356, 9929356, 9929356, 9929356, 9929356, 1.00009, 1.49012e-08, 1.00009, 1.00009, 1.00009, 1.00009, 1.00009, 1.00009, 1.00009, 2.00092, 2.98023e-08, 2.00092, 2.00092, 2.00092, 2.00092, 2.00092, 2.00092, 2.00092, 8.98924, 1.68587e-07, 8.98924, 8.98924, 8.98924, 8.98924, 8.98924, 8.98924, 8.98924, 6805823, 0, 6805823, 6805823, 6805823, 6805823, 6805823, 6805823, 6805823
Sat Jan 14 10:00:15 EST 2017, 1, 1, 0.250, 2, 5.204, 0.143262, 5.10306, 5.30494, 5.06, 5.08, 5.18, 5.39, 5.46, 9978.4, 1.95959, 9977.02, 9979.78, 9976, 9976, 9980, 9980, 9980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2884197, 0, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 3935528, 0, 3935528, 3935528, 3935528, 3935528, 3935528, 3935528, 3935528, 1.32124, 2.10734e-08, 1.32124, 1.32124, 1.32124, 1.32124, 1.32124, 1.32124, 1.32124, 1.36491, 1.49012e-08, 1.36491, 1.36491, 1.36491, 1.36491, 1.36491, 1.36491, 1.36491, 7.40432, 8.42937e-08, 7.40432, 7.40432, 7.40432, 7.40432, 7.40432, 7.40432, 7.40432, 4189493, 0, 4189493, 4189493, 4189493, 4189493, 4189493, 4189493, 4189493
Sat Jan 14 10:04:23 EST 2017, 1, 2, 0.250, 2, 7.066, 0.276087, 6.87148, 7.26052, 6.37, 7.05, 7.1, 7.19, 7.57, 10078.8, 3.1241, 10076.6, 10081, 10076, 10076, 10080, 10084, 10084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3871029, 0, 3871029, 3871029, 3871029, 3871029, 3871029, 3871029, 3871029, 6321081, 0, 6321081, 6321081, 6321081, 6321081, 6321081, 6321081, 6321081, 1.14389, 1.49012e-08, 1.14389, 1.14389, 1.14389, 1.14389, 1.14389, 1.14389, 1.14389, 1.63328, 3.65002e-08, 1.63328, 1.63328, 1.63328, 1.63328, 1.63328, 1.63328, 1.63328, 7.52796, 1.46001e-07, 7.52796, 7.52796, 7.52796, 7.52796, 7.52796, 7.52796, 7.52796, 5648072, 0, 5648072, 5648072, 5648072, 5648072, 5648072, 5648072, 5648072
Sat Jan 14 10:06:30 EST 2017, 1, 5, 0.250, 2, 8.535, 0.364561, 8.27815, 8.79185, 7.94, 8.38, 8.61, 8.78, 9.27, 10193.6, 1.95959, 10192.2, 10195, 10192, 10192, 10194, 10196, 10196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4587803, 0, 4587803, 4587803, 4587803, 4587803, 4587803, 4587803, 4587803, 9177148, 0, 9177148, 9177148, 9177148, 9177148, 9177148, 9177148, 9177148, 0.930408, 1.82501e-08, 0.930408, 0.930408, 0.930408, 0.930408, 0.930408, 0.930408, 0.930408, 2.00074, 2.98023e-08, 2.00074, 2.00074, 2.00074, 2.00074, 2.00074, 2.00074, 2.00074, 7.63871, 1.46001e-07, 7.63871, 7.63871, 7.63871, 7.63871, 7.63871, 7.63871, 7.63871, 6783855, 0, 6783855, 6783855, 6783855, 6783855, 6783855, 6783855, 6783855
Sat Jan 14 10:10:38 EST 2017, 1, 10, 0.250, 2, 9.126, 0.353191, 8.87716, 9.37484, 8.76, 8.81, 9.245, 9.38, 9.9, 10226, 3.2249, 10223.7, 10228.3, 10224, 10224, 10224, 10232, 10232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4719916, 0, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 9929348, 0, 9929348, 9929348, 9929348, 9929348, 9929348, 9929348, 9929348, 0.87167, 1.05367e-08, 0.87167, 0.87167, 0.87167, 0.87167, 0.87167, 0.87167, 0.87167, 2.10413, 4.21468e-08, 2.10413, 2.10413, 2.10413, 2.10413, 2.10413, 2.10413, 2.10413, 7.68149, 2.06477e-07, 7.68149, 7.68149, 7.68149, 7.68149, 7.68149, 7.68149, 7.68149, 7002174, 0, 7002174, 7002174, 7002174, 7002174, 7002174, 7002174, 7002174
Sat Jan 14 10:14:45 EST 2017, 1, 1, 0.000, 5, 10.033, 0.664245, 9.565, 10.501, 8.68, 10.27, 10.38, 10.45, 10.45, 10967.2, 3.48712, 10964.7, 10969.7, 10964, 10964, 10968, 10972, 10972, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4449600, 0, 4449600, 4449600, 4449600, 4449600, 4449600, 4449600, 4449600, 9836169, 0, 9836169, 9836169, 9836169, 9836169, 9836169, 9836169, 9836169, 2.95823, 4.21468e-08, 2.95823, 2.95823, 2.95823, 2.95823, 2.95823, 2.95823, 2.95823, 2.21105, 2.98023e-08, 2.21105, 2.21105, 2.21105, 2.21105, 2.21105, 2.21105, 2.21105, 9.35806, 2.06477e-07, 9.35806, 9.35806, 9.35806, 9.35806, 9.35806, 9.35806, 9.35806, 4987610, 0, 4987610, 4987610, 4987610, 4987610, 4987610, 4987610, 4987610
Sat Jan 14 10:18:53 EST 2017, 1, 2, 0.000, 5, 13.312, 0.60347, 12.8868, 13.7372, 12.34, 12.49, 13.545, 13.91, 13.94, 11190, 2.68328, 11188.1, 11191.9, 11188, 11188, 11190, 11192, 11196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4908956, 0, 4908956, 4908956, 4908956, 4908956, 4908956, 4908956, 4908956, 15795975, 0, 15795975, 15795975, 15795975, 15795975, 15795975, 15795975, 15795975, 2.23959, 2.98023e-08, 2.23959, 2.23959, 2.23959, 2.23959, 2.23959, 2.23959, 2.23959, 3.21843, 0, 3.21843, 3.21843, 3.21843, 3.21843, 3.21843, 3.21843, 3.21843, 9.43745, 1.19209e-07, 9.43745, 9.43745, 9.43745, 9.43745, 9.43745, 9.43745, 9.43745, 5484958, 0, 5484958, 5484958, 5484958, 5484958, 5484958, 5484958, 5484958
Sat Jan 14 10:23:05 EST 2017, 1, 5, 0.000, 5, 16.516, 0.734577, 15.9984, 17.0336, 15.09, 16.58, 16.69, 17.31, 17.58, 11457.6, 1.95959, 11456.2, 11459, 11456, 11456, 11458, 11460, 11460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4998430, 0, 4998430, 4998430, 4998430, 4998430, 4998430, 4998430, 4998430, 22938306, 0, 22938306, 22938306, 22938306, 22938306, 22938306, 22938306, 22938306, 1.5116, 2.10734e-08, 1.5116, 1.5116, 1.5116, 1.5116, 1.5116, 1.5116, 1.5116, 4.59002, 5.96046e-08, 4.59002, 4.59002, 4.59002, 4.59002, 4.59002, 4.59002, 4.59002, 9.25471, 2.06477e-07, 9.25471, 9.25471, 9.25471, 9.25471, 9.25471, 9.25471, 9.25471, 5943130, 0, 5943130, 5943130, 5943130, 5943130, 5943130, 5943130, 5943130
Sat Jan 14 10:27:13 EST 2017, 1, 10, 0.000, 5, 17.284, 0.361475, 17.0293, 17.5387, 16.96, 17.09, 17.15, 17.88, 18.1, 11560, 2.52982, 11558.2, 11561.8, 11556, 11560, 11560, 11564, 11564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 24821774, 0, 24821774, 24821774, 24821774, 24821774, 24821774, 24821774, 24821774, 1.31722, 2.98023e-08, 1.31722, 1.31722, 1.31722, 1.31722, 1.31722, 1.31722, 1.31722, 4.96634, 1.03238e-07, 4.96634, 4.96634, 4.96634, 4.96634, 4.96634, 4.96634, 4.96634, 9.26864, 2.06477e-07, 9.26864, 9.26864, 9.26864, 9.26864, 9.26864, 9.26864, 9.26864, 6216068, 0, 6216068, 6216068, 6216068, 6216068, 6216068, 6216068, 6216068
