# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Mon Jan  9 11:27:23 EST 2017, 107, 0.310, 6, 0.400, 397, 62, 13, 46, 40, 82.530, 75.053
Mon Jan  9 11:27:27 EST 2017, 5057, 0.810, 1, 0.900, 547, 17, 3, 21, 85, 3.690, 3.837
Mon Jan  9 11:27:54 EST 2017, 7532, 0.060, 4, 0.150, 472, 84, 8, 33, 18, 25.000, 24.590
Mon Jan  9 11:28:41 EST 2017, 2582, 0.560, 8, 0.650, 322, 39, 18, 8, 63, 40.433, 28.477
Mon Jan  9 11:29:20 EST 2017, 3819, 0.180, 3, 0.270, 510, 50, 11, 14, 51, 36.843, 31.813
Mon Jan  9 11:29:45 EST 2017, 8769, 0.680, 7, 0.770, 360, 95, 1, 39, 96, 20.950, 24.113
Mon Jan  9 11:29:48 EST 2017, 6294, 0.430, 9, 0.020, 435, 28, 6, 2, 29, 2.767, 2.757
Mon Jan  9 11:33:10 EST 2017, 1344, 0.930, 5, 0.520, 585, 73, 15, 27, 74, 190.060, 187.890
Mon Jan  9 11:33:58 EST 2017, 1963, 0.000, 8, 0.840, 529, 67, 14, 5, 46, 46.337, 35.183
Mon Jan  9 11:34:17 EST 2017, 6913, 0.500, 3, 0.340, 379, 22, 5, 30, 91, 16.063, 14.957
Mon Jan  9 11:34:26 EST 2017, 9388, 0.250, 1, 0.590, 304, 90, 9, 17, 23, 8.670, 8.347
Mon Jan  9 11:37:11 EST 2017, 4438, 0.750, 5, 0.090, 454, 45, 19, 42, 68, 148.997, 144.640
Mon Jan  9 11:37:35 EST 2017, 3200, 0.370, 4, 0.960, 341, 33, 12, 36, 34, 22.080, 20.897
Mon Jan  9 11:37:59 EST 2017, 8150, 0.870, 9, 0.460, 491, 78, 2, 11, 79, 22.253, 20.587
Mon Jan  9 11:38:04 EST 2017, 5675, 0.120, 6, 0.710, 566, 11, 7, 49, 12, 3.577, 4.037
Mon Jan  9 11:39:15 EST 2017, 726, 0.620, 2, 0.210, 416, 56, 17, 24, 57, 63.407, 54.253
Mon Jan  9 11:39:37 EST 2017, 1035, 0.150, 3, 0.050, 332, 81, 4, 10, 65, 15.777, 17.333
Mon Jan  9 11:40:05 EST 2017, 5985, 0.650, 7, 0.550, 482, 36, 14, 35, 20, 27.837, 23.083
Mon Jan  9 11:44:28 EST 2017, 8460, 0.400, 5, 0.300, 557, 59, 18, 22, 88, 240.477, 162.443
Mon Jan  9 11:44:33 EST 2017, 3510, 0.900, 1, 0.800, 407, 14, 9, 47, 43, 4.910, 4.810
