# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap2tQ_timing_secs
Wed May 17 14:09:33 EDT 2017, 0.210, 1, 5, 0.450, 4, 6, 11, 492, 77, 7, 46, 27, 11.693, 13.283
Wed May 17 14:10:22 EDT 2017, 0.710, 6, 1, 0.950, 8, 2, 56, 342, 32, 16, 21, 72, 47.927, 29.447
Wed May 17 14:11:34 EDT 2017, 0.960, 4, 3, 0.200, 6, 9, 79, 567, 55, 11, 34, 94, 71.330, 61.420
Wed May 17 14:11:35 EDT 2017, 0.460, 8, 8, 0.700, 1, 4, 34, 417, 10, 2, 9, 49, 1.143, 1.530
Wed May 17 14:12:46 EDT 2017, 0.340, 5, 2, 0.330, 7, 3, 23, 304, 88, 14, 27, 61, 70.537, 44.293
Wed May 17 14:12:49 EDT 2017, 0.840, 9, 7, 0.830, 2, 8, 68, 454, 43, 4, 2, 16, 1.873, 2.527
Wed May 17 14:13:01 EDT 2017, 0.590, 2, 9, 0.080, 5, 1, 90, 379, 66, 9, 40, 38, 8.907, 11.303
Wed May 17 14:13:31 EDT 2017, 0.090, 7, 4, 0.580, 9, 5, 45, 529, 21, 18, 15, 83, 29.240, 21.870
Wed May 17 14:13:38 EDT 2017, 0.060, 2, 1, 0.670, 5, 7, 65, 464, 29, 4, 10, 30, 6.827, 6.053
Wed May 17 14:14:15 EDT 2017, 0.560, 7, 5, 0.170, 1, 3, 20, 314, 74, 13, 35, 75, 36.430, 31.473
Wed May 17 14:15:16 EDT 2017, 0.810, 4, 7, 0.920, 3, 5, 42, 539, 52, 18, 23, 97, 60.490, 54.173
Wed May 17 14:15:54 EDT 2017, 0.310, 9, 3, 0.420, 8, 1, 87, 389, 97, 8, 48, 52, 37.177, 34.360
Wed May 17 14:16:02 EDT 2017, 0.430, 3, 6, 0.550, 4, 2, 76, 351, 18, 15, 17, 64, 8.013, 7.133
Wed May 17 14:16:14 EDT 2017, 0.930, 8, 2, 0.050, 9, 6, 31, 501, 63, 6, 42, 19, 11.810, 10.140
Wed May 17 14:16:17 EDT 2017, 0.680, 1, 4, 0.800, 7, 4, 54, 426, 41, 1, 4, 41, 1.927, 2.770
Wed May 17 14:17:17 EDT 2017, 0.180, 6, 9, 0.300, 2, 8, 99, 576, 86, 11, 29, 86, 52.783, 58.340
Wed May 17 14:17:23 EDT 2017, 0.120, 4, 3, 0.110, 2, 9, 59, 445, 12, 5, 26, 92, 5.843, 6.387
Wed May 17 14:17:51 EDT 2017, 0.620, 8, 8, 0.610, 6, 4, 14, 595, 57, 14, 1, 47, 25.727, 26.050
Wed May 17 14:17:58 EDT 2017, 0.870, 2, 6, 0.360, 8, 7, 37, 370, 35, 19, 38, 24, 7.270, 6.017
Wed May 17 14:26:48 EDT 2017, 0.370, 6, 1, 0.860, 4, 2, 82, 520, 80, 10, 13, 69, 221.100, 516.767
Wed May 17 14:26:57 EDT 2017, 0.250, 1, 9, 0.230, 9, 1, 70, 558, 24, 17, 45, 35, 7.500, 7.673
Wed May 17 14:27:31 EDT 2017, 0.750, 5, 5, 0.730, 5, 6, 25, 408, 69, 7, 20, 80, 27.650, 32.663
Wed May 17 14:27:44 EDT 2017, 0.500, 3, 2, 0.480, 3, 3, 48, 483, 46, 2, 32, 58, 10.137, 12.467
Wed May 17 14:27:50 EDT 2017, 0.000, 7, 7, 0.980, 7, 8, 93, 333, 91, 12, 7, 13, 5.997, 6.157
Wed May 17 14:28:29 EDT 2017, 0.000, 4, 8, 0.650, 6, 7, 85, 548, 38, 18, 47, 96, 38.703, 36.623
Wed May 17 14:29:04 EDT 2017, 0.500, 8, 3, 0.150, 2, 2, 40, 398, 83, 9, 22, 51, 34.370, 30.017
Wed May 17 14:29:08 EDT 2017, 0.750, 2, 1, 0.900, 4, 9, 18, 473, 15, 4, 34, 28, 3.370, 3.007
Wed May 17 14:29:34 EDT 2017, 0.250, 6, 6, 0.400, 8, 5, 63, 323, 60, 13, 9, 73, 26.013, 24.927
Wed May 17 14:29:37 EDT 2017, 0.370, 1, 5, 0.520, 5, 4, 97, 436, 49, 1, 28, 40, 1.953, 2.870
